"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771";"70.2837891635771"
"4am";" 9.544167";"14.560259";"10.668293";"14.153541";"13.581185";" 9.195933";"18.526821";" 9.491208";"12.610004";"11.244347";" 4.434385";" 8.974832";" 6.150348";"10.608741";" 9.440749";" 9.519367";"17.442161";" 5.295398";"12.785833";" 8.914717";"11.681707";" 9.455685";"13.459273";"10.300555";"17.307191";"10.469183";" 9.143306";"16.763367";"13.270901";"11.062796"
"5am";" 9.540649";"14.519017";"10.710961";"14.218981";"13.655989";" 9.269099";"18.187739";" 9.569883";"12.647359";"11.974056";" 4.371823";" 8.728366";" 6.116405";"12.018741";" 9.270280";" 9.137599";"17.585932";" 4.740916";"12.382712";" 8.900353";"12.107603";" 9.898190";"13.590568";"10.451267";"17.689015";"10.401859";" 9.174763";"16.582329";"13.573934";"11.032496"
"6am";" 9.653671";"14.853613";"10.957782";"13.236336";"13.921751";" 9.461806";"19.765241";" 9.765038";"11.861799";"12.078114";" 4.277358";"10.279968";" 6.138479";"12.143217";" 9.001987";" 9.136997";"18.212870";" 4.773260";"13.906368";" 8.870987";"12.501304";" 9.749663";"14.186886";"10.496187";"18.018348";"10.401859";"10.797380";"17.111684";"12.788635";"10.779148"
"7am";"10.374088";"16.158491";"11.496366";"12.917621";"17.475517";"10.504171";"20.118640";"11.252544";"10.309324";"13.950357";" 3.270574";"10.545960";" 8.467784";"11.861448";" 5.778471";" 8.056260";"18.716625";" 4.946394";"15.458455";"10.345718";"12.053008";"10.738524";"15.765397";"11.226196";"18.438221";"11.590226";"11.776397";"18.150231";"14.545878";"11.007338"
"8am";"10.401216";"17.188717";"10.786289";"12.621345";"18.463038";"11.459346";"21.596225";"12.884740";"10.047342";"16.071607";" 3.253429";"10.832015";" 8.125635";"12.750387";" 4.796682";" 6.311948";"20.753890";" 4.799907";"15.787587";"10.104287";"12.904129";"10.349834";"16.857462";"13.971585";"18.236646";"12.684540";"12.774945";"18.178733";"16.418980";"12.121193"
"9am";"10.857933";"15.240012";"11.194754";"13.952742";"15.637917";"13.429559";"20.205217";"12.861372";"10.028116";"16.543214";" 3.180785";"10.180438";" 8.652340";"12.539719";" 5.276323";" 6.309060";"20.628755";" 3.599728";"15.865793";" 9.235447";"14.585619";" 9.714992";"18.432539";"13.081073";"18.010148";"12.563037";"13.544376";"17.733455";"16.415024";"11.488296"
"10am";"10.479964";"14.732842";"10.445403";"14.773494";"17.052403";"13.750093";"21.224102";"12.950044";" 9.873426";"17.814681";" 3.516124";" 9.570211";" 8.706536";"12.536808";" 5.617827";" 5.195089";"21.725869";" 3.960902";"15.291376";"10.998580";"12.277933";"10.478380";"18.641381";"12.461995";"19.782097";"13.163147";"12.575707";"18.058531";"16.036726";"12.518382"
"11am";"10.410167";"14.606757";"10.852183";"13.223659";"17.212649";"12.744496";"20.079493";"13.163053";" 9.932073";"16.326245";" 3.164816";" 8.056262";" 9.339532";"11.384703";" 6.865431";" 5.678467";"21.111913";" 4.702853";"16.000071";" 9.677705";"12.075092";"12.788041";"17.844119";"11.328445";"19.400862";"12.808926";"14.116149";"18.146816";"15.611138";"11.723180"
"12am";"10.559504";"16.444087";"10.296238";"13.652019";"18.487320";"12.178834";"19.843071";"11.553741";" 9.869457";"12.581359";" 2.672164";"10.672687";" 5.837636";"11.325571";" 9.074969";" 7.160016";"20.730835";" 5.413329";"13.504003";"10.298347";"12.741026";"12.296820";"17.838585";"11.530420";"19.178169";"12.401765";"13.756038";"18.972301";"14.302657";"11.717587"
