"variable","CODE_SEC","RES_SEC","W_IND"
"h14","016","005",28.49023
"h14","016","007",163.98916
"h14","016","009",19.47126
"h14","016","010",105.9987
"h14","016","012",92.90356
"h14","016","013",28.54062
"h14","016","014",54.47274
"h14","016","018",35.4987
"h14","016","019",22.2847
"h14","016","022",28.04596
"h15","016","003",39.03996
"h15","016","009",19.47126
"h15","016","010",105.9987
"h15","016","012",150.07252
"h15","016","013",28.54062
"h15","016","014",54.47274
"h15","016","017",29.32709
"h15","016","018",45.6936
