"hour","resarea1","resarea2","resarea3"
"4am",0.210254072450097,0.151991682042032,0.751227659720472
"5am",0.208607663134583,0.164967832420006,0.769466990635979
"6am",0.215928772714004,0.170997612234871,0.769574342947472
"7am",0.22461032896364,0.192852912057021,0.763191930110202
"8am",0.250044541094821,0.233535356540751,0.764869975773759
"9am",0.271991386430824,0.278813502045452,0.768184466857491
"10am",0.278125330692432,0.284035361464587,0.77456936647024
"11am",0.260169067454039,0.268722567040933,0.764193344955742
"12am",0.242459586044605,0.225936140756327,0.74332130874766
"1pm",0.236958989042437,0.230732096817425,0.747678501155722
"2pm",0.259541655728125,0.250767366918513,0.729614194721731
"3pm",0.26325538672508,0.265277333887584,0.723184815880181
"4pm",0.255910721060454,0.229422893691209,0.732266293815713
"5pm",0.246927640426935,0.203388652067083,0.767191496004733
"6pm",0.226784267947689,0.173110241495211,0.756074353695619
"7pm",0.221344862148397,0.165379258909711,0.747290646969433
"8pm",0.214025528269446,0.154724007074648,0.744445517087002
"9pm",0.211199510779648,0.149620091544515,0.738541372839144
"10pm",0.209671576471556,0.140128720788364,0.739140072741051
"11pm",0.20841332526549,0.141532170957188,0.743439882770386
"12pm",0.207288230698796,0.143582991197481,0.745353688063133
"1am",0.209327519032289,0.143564211770286,0.744669260821587
"2am",0.209045685151172,0.143356307850202,0.744681831408102
"3am",0.207949414559283,0.142586117123043,0.74468491776824
