"variable";"CODE_SEC";"RES_SEC";"W_IND"
"h6";"011";"005";26,10715
"h6";"011";"008";103,7364
"h6";"011";"009";31,71812
"h6";"011";"012";111,4371
"h6";"011";"013";40,11938
"h6";"011";"014";36,90267
"h6";"011";"015";37,11818
"h6";"011";"016";33,49281
"h6";"011";"017";337,05099
"h6";"011";"019";18,77184
"h6";"011";"023";134,5743
"h6";"030";"024";43,55434
"h6";"030";"025";70,79606
"h6";"030";"027";299,14201
"h6";"030";"028";100,63255
"h6";"030";"029";75,26924
"h7";"003";"001";125,60527
"h7";"003";"002";525,58067
"h7";"003";"004";51,46925
"h7";"003";"005";206,11951
"h7";"003";"006";24,03096
"h7";"003";"007";61,75522
"h7";"003";"010";170,4673
"h7";"003";"011";49,18125
"h7";"003";"012";35,88815
"h7";"003";"014";31,0503
"h7";"003";"016";22,52309
"h7";"003";"017";421,4198
"h7";"003";"023";62,25158
"h7";"009";"004";51,26229
"h7";"009";"005";122,61167
"h7";"009";"006";478,40735
"h7";"009";"007";772,96543
"h7";"009";"008";133,45021
"h7";"009";"011";86,6461
"h7";"009";"012";51,98372
"h7";"009";"017";33,2333
"h7";"009";"019";86,82449
"h7";"009";"020";91,85836
"h7";"011";"002";58,64473
"h7";"011";"003";767,07212
"h7";"011";"004";51,32054
"h7";"011";"005";436,70035
"h7";"011";"006";255,92487
"h7";"011";"008";160,81035
"h7";"011";"009";31,71812
"h7";"011";"010";283,3422
"h7";"011";"012";774,7335
"h7";"011";"013";617,39344
"h7";"011";"014";36,90267
"h7";"011";"015";336,63412
"h7";"011";"016";161,13109
"h7";"011";"017";521,23879
"h7";"011";"018";503,36985
"h7";"011";"019";195,72927
"h7";"011";"020";430,06116
"h7";"011";"021";109,71666
"h7";"011";"022";70,17093
"h7";"011";"023";156,36171
"h7";"011";"024";48,17719
"h7";"012";"001";48,20359
"h7";"012";"004";122,5939
"h7";"012";"008";82,81686
"h7";"012";"009";18,31246
"h7";"012";"010";229,24114
"h7";"012";"013";215,44868
"h7";"012";"014";33,02558
"h7";"012";"015";158,13646
"h7";"012";"016";116,44454
"h7";"012";"018";78,74543
"h7";"012";"019";152,33839
"h7";"012";"020";30,11838
"h7";"012";"021";115,6297
"h7";"013";"001";40,34818
"h7";"013";"006";48,06192
"h7";"013";"008";76,0986
"h7";"013";"009";36,03485
"h7";"013";"010";171,66548
"h7";"013";"011";384,581
"h7";"013";"012";103,96744
"h7";"013";"014";117,56179
"h7";"013";"015";315,70857
"h7";"013";"016";384,4759
"h7";"013";"017";209,14019
"h7";"013";"018";269,11555
"h7";"013";"019";183,99238
"h7";"013";"020";148,67596
"h7";"013";"022";64,16219
"h7";"013";"023";264,06636
"h7";"013";"024";77,34472
"h7";"013";"030";31,73286
"h7";"014";"003";44,06435
"h7";"014";"005";47,69636
"h7";"014";"007";60,27038
"h7";"014";"011";196,6869
"h7";"014";"012";127,91292
"h7";"014";"013";69,59089
"h7";"014";"016";170,73592
"h7";"014";"017";107,1845
"h7";"014";"018";41,83156
"h7";"014";"020";162,46617
"h7";"014";"024";47,15066
"h7";"015";"001";111,6643
"h7";"015";"002";119,8843
"h7";"015";"003";44,06435
"h7";"015";"005";63,59515
"h7";"015";"009";75,99931
"h7";"015";"010";107,39457
"h7";"015";"011";73,28156
"h7";"015";"012";763,20615
"h7";"015";"014";407,2282
"h7";"015";"016";60,42864
"h7";"015";"018";123,60648
"h7";"015";"020";65,02052
"h7";"015";"024";77,80264
"h7";"015";"026";162,2691
"h7";"016";"001";69,84226
"h7";"016";"003";123,2506
"h7";"016";"004";185,98266
"h7";"016";"005";55,04368
"h7";"016";"006";91,0505
"h7";"016";"007";114,22824
"h7";"016";"008";77,30911
"h7";"016";"009";130,49719
"h7";"016";"010";315,96448
"h7";"016";"011";69,87976
"h7";"016";"012";86,15961
"h7";"016";"013";140,14874
"h7";"016";"014";109,17851
"h7";"016";"015";100,06304
"h7";"016";"017";128,5444
"h7";"016";"018";108,32213
"h7";"016";"019";428,91495
"h7";"016";"020";365,37025
"h7";"016";"022";571,31026
"h7";"016";"023";23,41558
"h7";"016";"024";88,09003
"h7";"016";"025";72,17896
"h7";"016";"026";79,96802
"h7";"016";"028";25,61838
"h7";"018";"001";175,69405
"h7";"018";"010";204,10172
"h7";"018";"011";313,8452
"h7";"018";"012";101,20838
"h7";"018";"014";972,71476
"h7";"018";"017";140,2071
"h7";"018";"020";90,86183
"h7";"018";"023";264,13653
"h7";"018";"024";33,91577
"h7";"019";"003";44,06435
"h7";"019";"005";120,17168
"h7";"019";"006";178,56487
"h7";"019";"010";243,55172
"h7";"019";"016";117,54913
"h7";"019";"020";155,88235
"h7";"019";"023";94,04241
"h7";"020";"005";99,23702
"h7";"020";"006";53,36959
"h7";"020";"007";61,75522
"h7";"020";"014";122,8283
"h7";"020";"019";532,02836
"h7";"020";"021";45,3064
"h7";"020";"023";47,28513
"h7";"020";"024";32,99787
"h7";"020";"025";72,17896
"h7";"020";"029";57,74311
"h7";"021";"013";50,70106
"h7";"021";"015";28,60202
"h7";"021";"017";47,504
"h7";"021";"018";94,51909
"h7";"021";"020";439,17118
"h7";"021";"022";169,95836
"h7";"021";"023";120,78962
"h7";"021";"024";36,00237
"h7";"021";"025";649,08395
"h7";"021";"027";56,89281
"h7";"021";"029";63,53025
"h7";"021";"030";75,28935
"h7";"030";"012";75,54895
"h7";"030";"015";66,70869
"h7";"030";"017";108,8914
"h7";"030";"020";68,14637
"h7";"030";"025";70,79606
"h7";"030";"026";61,23671
"h7";"030";"027";575,41835
"h7";"030";"028";229,51513
"h7";"030";"029";189,45042
"h8";"001";"002";86,07918
"h8";"001";"003";105,8877
"h8";"001";"004";37,78476
"h8";"001";"010";120,95914
"h8";"001";"011";49,66158
"h8";"001";"012";35,88815
"h8";"001";"017";47,8071
"h8";"001";"018";70,20997
"h8";"001";"020";45,92918
"h8";"001";"023";62,91662
"h8";"003";"001";281,11847
"h8";"003";"002";688,78626
"h8";"003";"004";102,9385
"h8";"003";"005";419,79186
"h8";"003";"006";24,03096
"h8";"003";"007";61,75522
"h8";"003";"008";57,07395
"h8";"003";"011";72,80123
"h8";"003";"012";111,4371
"h8";"003";"014";31,0503
"h8";"003";"016";22,52309
"h8";"003";"017";537,78467
"h8";"003";"019";91,97887
"h8";"003";"023";62,25158
"h8";"004";"002";438,4437
"h8";"004";"003";257,65263
"h8";"004";"005";122,59314
"h8";"004";"006";29,67367
"h8";"004";"012";27,15708
"h8";"004";"014";36,90267
"h8";"004";"017";95,6142
"h8";"006";"003";149,1296
"h8";"006";"005";399,39142
"h8";"006";"007";265,63212
"h8";"006";"008";102,52133
"h8";"006";"009";75,99931
"h8";"006";"017";107,1845
"h8";"009";"004";51,26229
"h8";"009";"005";87,0352
"h8";"009";"006";430,96313
"h8";"009";"007";894,99103
"h8";"009";"008";207,08596
"h8";"009";"011";505,1064
"h8";"009";"012";51,98372
"h8";"009";"016";50,41003
"h8";"009";"017";75,4212
