"variable","CODE_SEC","RES_SEC","W_IND"
"h7","003","001",77.40168
"h7","003","002",264.57647
"h7","003","004",51.46925
"h7","003","005",132.316
"h7","003","006",24.03096
"h7","003","007",61.75522
"h7","003","011",25.56127
"h7","003","012",35.88815
"h7","003","014",31.0503
"h7","003","016",22.52309
"h7","003","023",31.12579
"h7","009","005",58.80232
"h7","009","006",124.36739
"h7","009","007",616.25762
"h7","009","008",102.52133
"h7","009","012",51.98372
"h7","009","019",86.82449
"h7","009","020",45.92918
"h7","011","003",164.68567
"h7","011","005",122.59314
"h7","011","006",71.37432
"h7","011","008",57.07395
"h7","011","009",31.71812
"h7","011","010",201.67483
"h7","011","012",362.86838
"h7","011","013",587.92193
"h7","011","015",132.04732
"h7","011","016",98.82163
"h7","011","017",74.93833
"h7","011","018",361.54077
"h7","011","019",44.39547
"h7","011","020",139.9387
"h7","011","022",70.17093
"h7","011","023",134.5743
"h7","011","024",48.17719
"h7","012","001",48.20359
"h7","012","004",122.5939
"h7","012","008",82.81686
"h7","012","009",18.31246
"h7","012","013",215.44868
"h7","012","014",33.02558
"h7","012","015",121.01828
"h7","012","016",82.95173
"h7","012","018",78.74543
"h7","012","019",83.35424
"h7","012","020",30.11838
"h7","013","001",40.34818
"h7","013","010",81.82199
"h7","013","011",384.581
"h7","013","012",103.96744
"h7","013","014",16.51279
"h7","013","016",212.78871
"h7","013","017",114.46452
"h7","013","018",128.01626
"h7","013","020",70.73679
"h7","013","023",170.02395
"h7","013","024",29.16753
"h7","013","030",31.73286
"h7","016","001",44.29436
"h7","016","003",44.06435
"h7","016","004",37.78476
"h7","016","006",45.52525
"h7","016","007",57.11412
"h7","016","008",77.30911
"h7","016","009",44.18919
"h7","016","010",221.2698
"h7","016","011",46.25978
"h7","016","012",59.00253
"h7","016","013",116.82814
"h7","016","014",109.17851
"h7","016","015",50.03152
"h7","016","017",47.8071
"h7","016","018",32.92978
"h7","016","019",41.67712
"h7","016","020",45.92918
"h7","016","022",497.57579
"h7","016","026",59.63053
"h7","030","020",68.14637
"h7","030","025",70.79606
"h7","030","027",227.21595
"h7","030","028",180.67635
"h7","030","029",132.35983
"h8","003","001",77.40168
"h8","003","002",427.78206
"h8","003","004",102.9385
"h8","003","005",345.98835
"h8","003","006",24.03096
"h8","003","007",61.75522
"h8","003","008",57.07395
"h8","003","011",25.56127
"h8","003","012",35.88815
"h8","003","014",31.0503
"h8","003","016",22.52309
"h8","003","017",160.10908
"h8","003","019",91.97887
"h8","003","023",31.12579
"h8","009","005",23.22585
"h8","009","006",124.36739
