"district","hour","cs1","cs2","cs3","cs4","cs5"
"001","4am",4.5736883,20.437503,31.1207,34.47799,9.390125
"002","4am",3.3012145,20.768343,33.24249,35.40746,7.280494
"003","4am",3.9890692,18.648973,42.95893,21.64577,12.757259
"004","4am",4.8359199,19.833107,39.03197,22.77579,13.523215
"005","4am",1.4055661,13.778736,38.43396,35.82499,10.556748
"006","4am",2.4173408,20.785858,40.05612,21.30148,15.439195
"007","4am",2.676956,26.201201,41.82834,21.48281,7.810699
"008","4am",1.3736631,14.162459,43.47925,28.56489,12.419733
"009","4am",3.7974525,10.568663,38.58675,25.15126,21.895874
"010","4am",0.9450186,14.590224,40.07235,36.2911,8.101305
"011","4am",4.1297394,9.455445,38.43524,24.70523,23.274344
"012","4am",0.7642546,15.80206,38.7386,30.67127,14.023815
"013","4am",4.7306445,13.010212,36.31299,32.41579,13.530363
"014","4am",6.1409787,10.027994,45.07094,10.16593,28.594162
"015","4am",3.6824057,9.677225,38.07774,28.67515,19.887481
"016","4am",1.3793031,11.763581,42.698,19.47547,24.68364
"017","4am",4.2402342,18.793496,37.10611,24.76637,15.093795
"018","4am",0,10.837294,51.63133,26.24055,11.290826
"019","4am",1.0820136,11.516118,32.60685,37.5193,17.275721
"020","4am",3.1145013,12.235614,36.02312,23.35934,25.267427
"021","4am",2.4748417,7.561152,43.33973,33.92843,12.695848
"022","4am",5.4743682,19.359257,44.80301,15.40103,14.962333
"023","4am",0.4009496,10.389843,47.34042,30.40533,11.463455
"024","4am",3.6379293,24.950665,44.8774,21.07206,5.461944
"025","4am",5.0146205,22.878714,35.62468,27.57413,8.90786
"026","4am",1.791047,23.320039,41.91292,23.614,9.361987
"027","4am",5.2876592,25.884056,34.20885,28.5875,6.031932
"028","4am",5.9853294,21.969955,37.30022,23.17206,11.572435
"029","4am",1.5889554,17.725119,43.0426,28.7636,8.879726
"030","4am",4.2717091,18.128958,42.28813,18.75978,16.551426
"001","5am",4.5719159,20.429583,31.10864,34.86351,9.026359
"002","5am",3.2916942,20.708449,33.14662,35.59374,7.259497
