"district","hour","cs1","cs2","cs3","cs4","cs5"
"001","4am",512.23159,2288.9042,3485.372,3861.3725,1051.6499
"002","4am",268.69284,1690.3794,2705.677,2881.8882,592.5748
"003","4am",461.25848,2156.392,4967.367,2502.9137,1475.1296
"004","4am",381.44482,1564.384,3078.74,1796.4953,1066.6762
"005","4am",119.97525,1176.1149,3280.617,3057.9223,901.0949
"006","4am",205.52491,1767.2359,3405.615,1811.075,1312.657
"007","4am",230.02203,2251.383,3594.172,1845.9468,671.1477
"008","4am",121.02859,1247.8041,3830.803,2516.7515,1094.2587
"009","4am",222.16674,618.3107,2257.485,1471.453,1280.9995
"010","4am",69.5458,1073.7236,2949.004,2670.7342,596.1912
"011","4am",326.42876,747.3908,3038.054,1952.7859,1839.6839
"012","4am",59.00253,1219.9619,2990.725,2367.9052,1082.6765
"013","4am",313.07278,861.0123,2403.184,2145.2683,895.4358
"014","4am",398.80375,651.232,2926.97,660.1896,1856.9449
"015","4am",273.94676,719.9219,2832.733,2133.2425,1479.4977
"016","4am",89.15785,760.3953,2759.99,1258.8902,1595.5451
"017","4am",444.3452,1969.4195,3888.446,2595.3322,1581.7182
"018","4am",0,607.45,2894.03,1470.8302,632.8713
"019","4am",83.19639,885.4782,2507.152,2884.8715,1328.336
"020","4am",360.37175,1415.7546,4168.152,2702.8552,2923.6356
"021","4am",197.08523,602.1361,3451.381,2701.907,1011.0401
"022","4am",350.70737,1240.2224,2870.239,986.6447,958.5399
"023","4am",29.45372,763.2369,3477.623,2233.5731,842.1044
"024","4am",183.44244,1258.1363,2262.941,1062.5579,275.4183
"025","4am",484.25777,2209.3785,3440.246,2662.8109,860.2247
"026","4am",139.49944,1816.33,3264.476,1839.226,729.1779
"027","4am",374.51386,1833.3137,2422.942,2024.793,427.2292
"028","4am",514.02494,1886.7975,3203.373,1990.0353,993.8501
"029","4am",118.7952,1325.1845,3217.997,2150.4555,663.8757
"030","4am",354.01172,1502.4112,3504.567,1554.6895,1371.6755
"001","5am",512.23159,2288.9042,3485.372,3906.0624,1011.3017
"002","5am",268.69284,1690.3794,2705.677,2905.4287,592.5748
"003","5am",461.25848,2106.7277,4967.367,2502.9137,1475.1296
"004","5am",381.44482,1526.5993,3078.74,1796.4953,1066.6762
"005","5am",119.97525,1176.1149,3254.51,3034.3817,901.0949
"006","5am",205.52491,1696.0765,3405.615,1811.075,1312.657
"007","5am",230.02203,2251.383,3674.532,1935.2275,671.1477
"008","5am",121.02859,1171.7055,3830.803,2516.7515,1094.2587
"009","5am",222.16674,599.9982,2257.485,1471.453,1280.9995
"010","5am",69.5458,1029.905,2533.132,2670.7342,596.1912
"011","5am",326.42876,881.9651,3064.161,1929.1659,1839.6839
"012","5am",59.00253,1233.8522,3214.794,2367.9052,1082.6765
"013","5am",313.07278,861.0123,2441.033,2145.2683,895.4358
"014","5am",398.80375,651.232,2910.457,660.1896,1042.0241
"015","5am",273.94676,719.9219,3025.887,2088.5526,1479.4977
"016","5am",89.15785,785.0994,2986.234,1282.5102,1595.5451
"017","5am",444.3452,1969.4195,3888.446,2506.0515,1581.7182
"018","5am",0,584.7151,2799.511,1470.8302,1447.7921
"019","5am",83.19639,981.5203,2677.619,2884.8715,1328.336
"020","5am",360.37175,1435.5176,4168.152,2702.8552,2923.6356
"021","5am",197.08523,602.1361,3500.593,2344.1537,1011.0401
"022","5am",350.70737,1181.2722,2639.007,986.6447,958.5399
"023","5am",29.45372,688.5363,3477.623,2233.5731,842.1044
"024","5am",183.44244,1225.1384,2219.387,1062.5579,275.4183
"025","5am",484.25777,2209.3785,3440.246,2452.815,860.2247
"026","5am",139.49944,1838.1174,3293.495,1839.226,729.1779
"027","5am",374.51386,1778.2077,2452.875,2024.793,427.2292
"028","5am",514.02494,1938.7662,3245.82,1990.0353,993.8501
"029","5am",118.7952,1363.8728,3172.902,1988.637,663.8757
"030","5am",354.01172,1525.8104,3504.567,1554.6895,1371.6755
"001","6am",512.23159,2288.9042,3523.156,3842.0286,1011.3017
"002","6am",268.69284,1604.3002,2629.12,2880.8487,592.5748
"003","6am",461.25848,2192.5139,4885.157,2209.539,1485.224
"004","6am",381.44482,1404.0054,2984.417,1745.2331,1066.6762
"005","6am",119.97525,1094.9641,3313.665,2884.3045,901.0949
"006","6am",205.52491,1672.0455,3353.454,1758.4808,1259.2874
"007","6am",230.02203,2189.6278,3504.407,1504.8329,671.1477
"008","6am",121.02859,1171.7055,3773.729,2516.7515,967.8614
"009","6am",222.16674,563.9634,2308.554,1901.8476,1244.9647
"010","6am",69.5458,1051.6925,2489.313,2670.7342,596.1912
"011","6am",326.42876,915.4579,3189.33,1929.1659,1895.574
"012","6am",59.00253,1356.4461,3211.119,2133.6735,1082.6765
"013","6am",313.07278,887.1195,2313.881,2185.6165,931.4706
"014","6am",398.80375,651.232,2846.332,660.1896,1042.0241
"015","6am",273.94676,642.9537,3150.789,2322.7843,1442.3796
"016","6am",89.15785,779.1151,2992.669,1282.5102,1595.5451
"017","6am",444.3452,1969.4195,3746.792,2473.0289,1383.5461
"018","6am",0,584.7151,2754.362,1470.8302,1447.7921
"019","6am",83.19639,981.5203,2643.387,2334.2721,1073.8458
"020","6am",360.37175,1389.5884,4098.218,2975.6185,2885.2758
"021","6am",197.08523,648.0652,3545.9,1986.4004,1011.0401
"022","6am",350.70737,1208.2089,2639.007,1054.1709,958.5399
"023","6am",29.45372,666.7489,3283.365,2170.6564,842.1044
"024","6am",183.44244,1211.9035,2185.912,995.0317,275.4183
"025","6am",484.25777,2209.3785,3266.268,2452.815,860.2247
"026","6am",139.49944,1838.1174,3293.495,1839.226,729.1779
"027","6am",374.51386,1910.2499,2256.016,2005.6755,427.2292
"028","6am",514.02494,1871.8193,3195.936,1990.0353,840.2287
"029","6am",118.7952,1222.8307,3134.213,1826.8185,600.3455
"030","6am",354.01172,1525.8104,3705.36,1554.6895,1371.6755
"001","7am",512.23159,2237.5818,2915.837,3947.5198,756.003
"002","7am",216.04819,1239.3726,2250.361,2629.4383,466.5593
"003","7am",461.25848,2300.7806,4918.971,2163.2338,1437.491
"004","7am",381.44482,1511.6043,3082.911,1693.7638,1253.9988
"005","7am",119.97525,1013.6758,2718.753,2566.9677,619.3566
"006","7am",205.52491,1293.7503,3400.38,1535.8323,1083.9607
"007","7am",230.02203,2158.0263,3371.458,1725.5549,582.8677
"008","7am",121.02859,1171.5224,3114.06,2356.9601,815.6642
"009","7am",222.16674,623.6678,2450.507,2064.5297,1440.5935
"010","7am",69.5458,843.1692,2220.335,2260.7413,541.2115
"011","7am",326.42876,684.1419,3884.014,1852.1849,2465.0241
"012","7am",0,776.7179,3424.16,2350.1155,961.7084
"013","7am",313.07278,874.4941,2879.774,2246.9038,1188.6072
"014","7am",398.80375,576.971,2761.868,576.1017,1191.3646
"015","7am",273.94676,1161.2242,3281.545,2136.0002,1234.4007
"016","7am",148.16038,1323.7344,3484.482,1775.1517,1966.0559
"017","7am",444.3452,2342.064,3350.477,2288.825,962.1455
"018","7am",0,942.474,2794.884,1377.7569,1229.1135
"019","7am",83.19639,930.4694,2340.669,2195.9688,907.3706
"020","7am",360.37175,1122.5833,4205.516,2555.7565,1960.8282
"021","7am",197.08523,812.5146,3430.152,1729.9778,1518.6368
"022","7am",350.70737,1245.3268,2577.401,994.6881,510.0242
"023","7am",29.45372,514.2549,2857.54,2280.3535,669.0837
"024","7am",183.44244,1313.3751,2091.731,770.9768,231.864
"025","7am",484.25777,1928.7707,3376.899,2563.0699,629.2125
"026","7am",139.49944,1584.939,2838.345,1858.3435,669.5474
"027","7am",374.51386,1772.9859,2045.191,1896.8913,331.7135
"028","7am",514.02494,1558.6622,3341.414,1672.9463,840.2287
"029","7am",118.7952,1198.1694,2908.854,1283.8249,611.4085
"030","7am",354.01172,1577.4899,3609.638,1516.7807,1162.2263
"001","8am",512.23159,2129.9614,3088.789,3714.3346,895.6012
"002","8am",216.04819,1199.6358,2045.477,2488.5992,574.5444
"003","8am",461.25848,2300.7806,5298.233,2583.3117,1414.7225
"004","8am",381.44482,1528.9592,3157.591,1852.7889,1231.4916
"005","8am",119.97525,935.6476,2517.505,2340.5759,538.2058
"006","8am",205.52491,1400.6302,2998.445,1506.5366,769.5437
"007","8am",230.02203,2127.1457,2617.588,1663.7997,916.9766
"008","8am",121.02859,870.9901,2734.238,2170.8511,768.3697
"009","8am",222.16674,490.669,2618.373,2031.24,1723.068
"010","8am",69.5458,784.3953,1685.36,1965.2692,497.7452
"011","8am",326.42876,1171.4359,5093.296,2099.9477,2212.2917
"012","8am",0,846.5533,3403.857,2401.7157,1061.1646
"013","8am",249.8933,936.6595,2570.262,2333.0187,1305.8585
"014","8am",153.96815,438.8021,2435.822,628.6866,1316.3005
"015","8am",273.94676,1161.2242,3187.297,1824.8155,1639.4679
"016","8am",211.33986,1328.9217,4928.327,2959.0832,1643.7141
"017","8am",444.3452,2226.3708,3071.47,2188.3189,925.7456
"018","8am",0,960.0969,2941.204,1310.6911,1327.1309
"019","8am",83.19639,1093.4975,2512.291,2019.5724,699.5807
"020","8am",360.37175,1061.9206,3661.535,2139.5038,2028.9021
"021","8am",197.08523,802.5323,3793.176,1808.7894,1011.5638
"022","8am",350.70737,1221.3812,2569.139,1117.2546,632.9099
"023","8am",29.45372,563.9164,2744.634,2183.7122,455.7304
"024","8am",390.95928,1079.9198,1657.384,913.1645,265.3158
"025","8am",333.50127,1969.633,3435.981,2295.0168,620.4849
"026","8am",139.49944,1523.801,2362.911,1659.9846,669.1983
"027","8am",374.51386,1739.4602,1699.175,1923.2069,293.5144
"028","8am",274.93554,1334.1936,3750.442,1508.8278,782.0433
"029","8am",118.7952,1131.6124,2513.519,995.8912,603.8134
"030","8am",354.01172,1577.4899,3254.768,1618.6796,961.2916
"001","9am",512.23159,2129.9614,2909.582,3544.9528,789.6969
"002","9am",189.34911,1217.2853,1878.082,2513.0111,959.0735
"003","9am",487.95756,2300.7806,5439.993,2596.2671,1519.3792
"004","9am",381.44482,1555.6583,3288.957,1823.9945,845.7124
"005","9am",119.97525,935.6476,2409.733,2686.6227,413.6508
"006","9am",205.52491,1104.0015,2723.468,1323.832,818.5125
"007","9am",230.02203,1966.5837,2567.262,2025.1119,916.9766
"008","9am",121.02859,870.9901,2775.772,2141.7064,768.3697
"009","9am",222.16674,558.3504,3094.179,2076.7298,1735.3837
"010","9am",69.5458,748.6084,1799.591,1951.7275,497.7452
"011","9am",444.97246,1144.6947,5294.959,2446.3101,2464.9986
"012","9am",0,837.7188,3479.306,2452.6081,1169.3008
"013","9am",249.8933,1050.5932,2538.019,2087.2263,1266.981
"014","9am",83.47281,401.8995,2389.486,533.5343,1279.3978
"015","9am",273.94676,1176.7317,3103.789,1848.5687,1687.8507
"016","9am",362.09636,1441.2132,5525.447,2672.3617,2078.3932
