"district","hour","occ1","occ2","occ3","occ4","occ5"
"001","4am",52.97693,5.800679,7.877586,31.51432,1.8304803
"002","4am",50.01575,3.535456,2.0922223,39.39417,4.9624026
"003","4am",45.78777,7.917467,3.0790972,38.5176,4.6980663
"004","4am",41.00554,4.488528,3.0382616,44.78698,6.6806948
"005","4am",48.24888,5.797945,7.5421654,37.38012,1.0308878
"006","4am",55.85816,7.331138,2.1879624,30.23725,4.3854888
"007","4am",36.04878,7.811267,5.7849668,46.82193,3.5330576
"008","4am",49.79146,4.912153,0.9671262,42.05212,2.2771418
"009","4am",51.25689,5.875139,2.8237817,34.98104,5.063145
"010","4am",63.65434,10.55149,2.5446048,22.36539,0.8841808
"011","4am",47.12457,21.36098,4.8424453,25.08024,1.5917696
"012","4am",53.28735,12.947916,1.8239561,30.72198,1.2188018
"013","4am",52.67972,16.177339,1.4670665,26.74176,2.9341136
"014","4am",51.44317,13.605996,5.4640508,27.5109,1.9758847
"015","4am",62.23094,11.482785,2.5331378,22.35139,1.4017435
"016","4am",50.04063,8.884752,9.9644499,27.83025,3.2799157
"017","4am",49.05277,6.736992,8.0266083,30.69424,5.4893868
"018","4am",61.33829,6.915234,3.6733374,26.47359,1.5995451
"019","4am",59.90432,7.269121,2.284576,28.36227,2.1797143
"020","4am",49.38909,10.259053,1.2340637,36.24661,2.8711873
"021","4am",47.71113,9.290197,3.7341694,35.24324,4.0212652
"022","4am",53.69194,5.813469,3.9375657,32.63389,3.9231369
"023","4am",61.4774,5.073958,3.835343,28.81789,0.7954062
"024","4am",55.09568,7.612019,3.6013257,29.42678,4.2641902
"025","4am",46.09295,4.73734,3.9395794,41.38828,3.8418516
"026","4am",55.11456,1.584167,4.380829,38.28075,0.6396943
"027","4am",61.20329,5.303397,2.6970976,26.63382,4.1624012
"028","4am",42.58,4.0915,5.5076408,43.47493,4.3459289
"029","4am",54.63401,4.601547,5.6765919,32.22457,2.8632809
"030","4am",52.33928,8.073081,4.9328609,29.47066,5.1841119
"001","5am",52.99434,5.798532,7.8746694,31.50266,1.8298026
"002","5am",50.15564,3.525561,2.0863667,39.28392,4.9485142
"003","5am",45.56337,7.95024,3.0918426,38.67704,4.7175131
"004","5am",40.72636,4.509769,3.0526396,44.99892,6.7123099
"005","5am",47.95964,5.83035,7.5843191,37.58904,1.0366496
"006","5am",55.50351,7.390039,2.2055413,30.48019,4.4207233
"007","5am",37.26209,7.663068,5.6752119,45.9336,3.4660269
"008","5am",49.36695,4.953684,0.9753031,42.40766,2.2963948
"009","5am",51.10645,5.893273,2.8324972,35.08901,5.0787722
"010","5am",61.39832,11.206433,2.7025514,23.75364,0.9390629
"011","5am",47.86622,21.061364,4.7745236,24.72845,1.5694429
"012","5am",54.53335,12.602548,1.7753045,29.90251,1.1862919
"013","5am",52.91289,16.097625,1.4598375,26.60999,2.9196557
"014","5am",44.85209,15.452867,6.2057383,31.24521,2.2440903
"015","5am",62.93847,11.267678,2.4856845,21.93268,1.3754846
"016","5am",51.93795,8.547332,9.5860265,26.77334,3.1553532
"017","5am",48.63339,6.792448,8.0926801,30.94691,5.5345732
"018","5am",65.48265,6.173954,3.2795729,23.63575,1.4280814
