"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"081";"082";"083"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381";"17778.9381"
"4am";"3528.6586";"5683.0908";"3648.8029";"2444.3539";"3149.3450";" 948.3512";" 965.2109";"3869.2255";"2868.1682";"3496.3812";"1441.5782";"1816.4460";" 825.2228";"1277.8132";"1825.8592";"2867.8527";" 925.5709";" 734.8051";" 572.3859";"1411.1050";"1314.8058";" 843.9194";"1785.0914";"2234.2801";" 270.8945";" 854.3181";" 716.6916";"3976.0927";" 848.1710";" 977.5114";" 807.2944";" 803.3820";"1096.3262";" 767.9649";" 652.5590";"1099.2406";"2424.9383";"1665.3789";"2236.8985";"2701.4485";" 930.2182";"2484.3427";"2080.6675";" 862.2928";"1464.9076";"2181.6567";"3488.7834";"1968.3131";"3337.0547";"2810.3960";" 897.3426";"3759.5646";"2632.3094";"1600.3989";"2913.1939";"1082.3726";"2691.2103";"1698.9887";" 369.1512";"1103.8225";" 712.5991";"1141.4462";"2850.5388";" 990.9256";" 725.9503";"1658.9810";"2577.0728";" 824.9089"
"5am";"3427.6988";"5882.9491";"3648.8029";"2513.0775";"3149.3450";" 948.3512";" 965.2109";"3869.2255";"2767.7199";"3211.5290";"1443.1280";"1816.4460";"1025.8166";"1277.8132";"1825.8592";"3078.5956";" 819.2539";" 872.3716";" 526.6522";"1365.3117";"1269.0626";" 843.9194";"1785.0914";"2270.6028";" 246.9050";" 878.3077";" 716.6916";"4093.9013";" 848.1710";" 977.5114";"1047.0845";" 803.3820";"1096.3262";" 767.9649";" 685.6310";"1099.2406";"2498.7714";"1665.3789";"2025.4989";"2620.4671";" 930.2182";"2484.3427";"2186.9845";" 862.2928";"1359.8613";"2181.6567";"3488.7834";"1968.3131";"3337.0547";"2627.8856";" 897.3426";"3759.5646";"2632.3094";"1869.6418";"2834.1118";"1082.3726";"2691.2103";"1698.9887";" 369.1512";" 902.9698";" 712.5991";"1141.4462";"2649.9450";"1057.4321";" 725.9503";"1658.9810";"2769.9911";" 824.9089"
"6am";"2906.8567";"6660.7016";"3531.5895";"2673.0926";"3141.5690";" 871.2122";" 847.5936";"4130.8467";"2592.5538";"2899.6892";"1443.1280";"1871.6770";"1064.9851";"1132.8951";"1825.8592";"3070.4642";"1129.8686";" 885.7202";" 442.0175";"1402.9380";"1355.3922";" 792.4212";"1785.0914";"2271.2878";" 207.7365";" 945.4583";" 716.6916";"3437.1458";" 726.7957";" 886.4064";"1019.8461";" 973.6584";"1096.3262";" 767.9649";" 649.0595";"1099.2406";"2424.0140";"1665.3789";"2025.4989";"2662.3529";" 930.2182";"2484.3427";"2186.9845";" 862.2928";"1359.8613";"1843.4767";"3350.5193";"1688.1746";"3337.0547";"2507.9385";" 897.3426";"3688.8131";"2632.3094";"1869.6418";"3100.9656";"1082.3726";"2138.9795";"1167.8389";" 369.1512";"1009.7888";" 712.5991";"1079.7141";"2543.1260";" 949.0398";" 631.3433";"1658.9810";"2889.9382";" 824.9089"
"7am";"2887.3552";"6188.3675";"3097.3311";"2790.4776";"3470.6557";" 938.8565";" 847.5936";"4614.2425";"2492.1068";"2749.4329";"1800.0792";"1805.1910";"1287.8296";" 857.6695";"1823.4763";"3948.6094";" 954.9744";"1062.0118";" 203.3887";"1542.0063";"1286.9606";" 815.1114";"1760.6814";"2028.6305";" 143.6786";"1026.1889";" 586.0039";"3319.2152";" 926.1897";"1216.9529";" 933.6618";"1242.8744";" 694.1415";" 583.3433";" 744.5077";" 883.7757";"2278.4189";"1375.5950";"1856.3369";"2833.3735";" 722.7502";"2600.9400";"1900.4310";" 744.1620";"1198.4736";"1390.5319";"1782.1474";"1161.4736";"2689.7003";"1881.4036";" 839.0564";"2935.6433";"2632.3094";"2284.5201";"3422.2521";"1164.7471";"2138.9795";"1082.0141";" 524.8778";" 675.7350";" 541.9125";" 950.9346";"3008.6900";" 835.9475";" 945.1050";"1463.2967";"2802.5603";" 749.4067"
"8am";"2594.7804";"5490.9312";"2152.7807";"3187.1793";"4910.4738";"1201.8919";" 725.4243";"5493.7474";"2411.5092";"2778.7124";"2096.7002";"1202.8168";"2719.6315";" 574.6551";"1369.4873";"4884.9509";"1726.1788";"1305.1940";" 325.9320";"1396.9450";" 936.1738";" 789.1605";"2161.6861";"2172.3999";" 319.7386";"1750.1452";" 628.8424";"2445.8799";"1104.9192";" 663.3462";" 726.3971";" 949.8532";" 477.0373";" 517.3410";" 858.0046";" 586.4932";"2802.1943";"1435.9361";"1878.2942";"1928.8969";" 873.5815";"2600.2444";"1809.2156";"1275.5205";" 326.2014";"1293.8015";" 828.1803";"1131.8807";"2001.3060";"1316.9768";" 770.9117";"2232.9686";"1757.6536";"2717.5561";"4381.1439";" 740.6509";"1641.3279";"1335.0205";" 366.7042";" 774.2806";" 521.0904";" 473.1809";"3522.2458";" 518.8708";" 837.6417";"1420.4653";"2980.9393";" 715.9458"
"9am";"2586.5238";"5942.8141";"2253.8562";"3849.2225";"5470.0543";"1085.6463";" 725.4243";"5325.7304";"2731.2522";"2951.6467";"2385.6131";"1210.6740";"3350.1036";" 605.8864";"1314.6346";"6000.8116";"1875.5915";"1414.5572";" 295.5838";"1240.7783";" 796.7267";" 723.8294";"2142.0195";"2321.3187";" 319.7386";"1750.1452";" 738.4252";"2909.5785";"1298.3441";" 438.1172";" 779.4727";" 996.4534";" 477.0373";" 431.7988";" 914.7861";" 586.4932";"2469.4931";"1338.8794";"1815.4735";"1964.4880";" 765.9651";"2600.2444";"1761.7496";"1555.4745";" 326.2014";"1059.5849";"1134.6391";" 763.4580";"1395.5056";"1114.6363";" 770.9117";"2121.8885";"2075.8025";"2902.8906";"4562.5317";" 654.5226";"1140.9739";"1335.0205";" 273.6939";" 713.9440";" 521.0904";" 680.4465";"3743.5241";" 518.8708";" 964.6964";"1511.1740";"2790.6726";" 447.1054"
"10am";"2652.8495";"7062.7083";"2212.9858";"4027.4121";"5840.1772";"1245.0381";" 597.9375";"5275.3999";"2555.4023";"2705.8698";"1858.1179";"1251.4157";"3090.5579";" 605.8864";"1181.1624";"6042.0624";"2099.3604";"1302.2216";" 254.7432";"1343.3133";" 669.0643";" 669.4310";"2256.1920";"2349.4060";" 143.6786";"1699.9614";" 738.4252";"2865.9465";"1298.3441";" 507.8586";" 775.9286";" 999.9975";" 477.0373";" 396.1941";" 870.1181";" 690.5199";"2616.5846";"1495.8874";"1503.1634";"1842.8635";" 931.1838";"2089.5859";"1842.0223";"1555.4745";" 496.9928";" 967.3400";"1094.1331";" 639.7683";"1676.6373";"1114.6363";" 830.7797";"2121.8885";"1832.4339";"2717.5561";"4562.5317";" 897.8912";"1226.4127";"1335.0205";" 223.8457";" 713.9440";" 495.8489";" 683.4467";"3588.7443";" 518.8708";" 964.6964";"1511.1740";"2790.6726";" 447.1054"
