"hour","sex1","sex2"
"4am",0.0456,0.0456
"5am",0.0453,0.0453
"6am",0.0508,0.0508
"7am",0.0688,0.0688
"8am",0.089,0.089
"9am",0.0896,0.0896
"10am",0.0952,0.0952
"11am",0.0881,0.0881
"12am",0.0901,0.0901
"1pm",0.0952,0.0952
"2pm",0.0967,0.0967
"3pm",0.0963,0.0963
"4pm",0.0891,0.0891
"5pm",0.0706,0.0706
"6pm",0.0602,0.0602
"7pm",0.059,0.059
"8pm",0.0526,0.0526
"9pm",0.0509,0.0509
"10pm",0.0465,0.0465
"11pm",0.0431,0.0431
"12pm",0.0413,0.0413
"1am",0.0411,0.0411
"2am",0.0417,0.0417
"3am",0.0419,0.0419
