"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"001","4am",4.0790265,6.122675,16.6879,37.65918,35.451215
"002","4am",4.0966181,9.673714,27.03243,20.99928,38.197965
"003","4am",10.3657671,7.951829,16.8949,31.56731,33.220192
"004","4am",5.3942509,14.372368,24.09379,40.34947,15.790118
"005","4am",0,26.295827,40.44813,27.40373,5.852308
"006","4am",3.6130537,28.592577,17.46344,35.45808,14.872849
"007","4am",11.5208577,18.436699,40.05158,18.26076,11.730106
"008","4am",9.6298459,6.716869,36.21921,22.13778,25.296299
"009","4am",8.4743871,6.383624,32.88653,30.91669,21.338769
"010","4am",10.0183741,21.729201,40.85603,19.78674,7.60966
"011","4am",8.7584889,11.450692,48.24741,17.06514,14.478267
"012","4am",6.9481908,9.706847,47.84261,20.67158,14.830767
"021","4am",0,4.658658,37.99239,32.75572,24.593224
"022","4am",0.6779917,5.337308,36.05731,34.42169,23.505695
"023","4am",8.6449253,10.105422,29.42283,23.44396,28.382858
"024","4am",2.5166265,4.149048,32.34772,26.43793,34.548678
"025","4am",4.5520549,3.678055,50.23926,23.16076,18.36987
"026","4am",3.0772703,16.203459,43.88727,25.97489,10.857109
"027","4am",0,17.897097,49.59405,19.8272,12.681654
"028","4am",3.2341799,11.780084,43.9787,20.02165,20.985384
"029","4am",0.7265801,18.543738,56.35671,13.67166,10.701312
"030","4am",3.7337133,15.129854,43.00489,21.16412,16.967419
"031","4am",7.9286335,14.343986,47.74755,14.44057,15.539255
"032","4am",4.4604156,16.991723,50.94877,17.2991,10.299994
"033","4am",5.2058705,29.133318,21.23119,41.00419,3.425433
"034","4am",2.1993225,26.339789,22.50615,35.01015,13.944589
"035","4am",8.7409134,24.242903,32.2248,25.26416,9.527233
"036","4am",2.2208714,21.964743,35.11553,33.50864,7.190212
"037","4am",2.0395336,11.824797,21.80599,40.90171,23.427965
"038","4am",3.8876948,19.247422,26.38131,39.52746,10.956114
"041","4am",3.5109675,14.633542,25.41299,40.59724,15.845262
"042","4am",5.6221688,18.862398,27.01168,31.10767,17.396084
"043","4am",2.1891572,12.878763,39.37818,30.55888,14.99502
"044","4am",0,20.963709,37.973,29.01583,12.047456
"045","4am",0,13.247571,32.50516,29.96727,24.279997
"046","4am",2.6940996,23.663135,32.32642,34.63843,6.677918
"047","4am",0.689976,17.246241,39.67581,33.62528,8.762688
"048","4am",1.0442832,37.159433,31.31055,25.55424,4.931493
"049","4am",0.76312,31.087692,21.35433,34.18599,12.60887
"050","4am",0.5141442,21.700433,21.6056,41.75791,14.421918
"051","4am",0,12.564529,28.24112,42.55125,16.643095
"052","4am",2.8880978,34.081718,29.44122,22.03518,11.553779
"053","4am",0.6013142,30.782118,22.86003,34.15115,11.605387
"054","4am",9.207962,20.230148,41.95897,19.43273,9.170194
"055","4am",0.4056959,15.234232,38.71494,29.27957,16.36556
"056","4am",2.5698175,25.731674,33.08903,31.14935,7.460122
"057","4am",1.0489346,24.432955,35.77801,20.91972,17.820381
"058","4am",1.6891174,25.362944,31.96669,26.55646,14.424783
"059","4am",0,25.122711,40.17725,29.7399,4.960144
"060","4am",0,21.12155,39.03549,27.78753,12.055426
"061","4am",0.9284707,17.946584,37.19831,33.07999,10.846649
"062","4am",4.5931125,28.016443,26.26907,31.41329,9.708081
"063","4am",1.5827159,14.28914,35.11726,30.34938,18.661499
"064","4am",4.4572339,11.142784,30.9198,39.8325,13.647677
"065","4am",3.7619377,25.34824,32.60685,26.2266,12.056372
"066","4am",5.2431162,24.253415,26.28758,35.89584,8.320053
"067","4am",4.9366221,24.95959,33.14945,25.68257,11.271766
"068","4am",6.9639789,22.634789,33.10989,26.14875,11.142587
"069","4am",5.7487376,28.13584,28.86173,32.96687,4.286819
"070","4am",0.4703394,31.04581,28.96993,36.58453,2.929384
"071","4am",0.3399478,33.539816,28.64247,33.35765,4.120123
"072","4am",3.3958521,21.065237,40.55114,31.60519,3.382576
"073","4am",0.5929881,32.794013,34.14699,24.87845,7.587566
"074","4am",0.9468218,29.780539,25.9362,29.99722,13.339219
"075","4am",0,16.514896,42.05909,32.77782,8.648191
"081","4am",1.0223507,11.914326,42.29438,36.25366,8.515281
"082","4am",0.8545567,17.424806,38.93039,38.23774,4.552504
"083","4am",0,35.166377,21.38003,37.16167,6.291927
"001","5am",4.0790265,6.122675,16.6879,37.65918,35.451215
"002","5am",4.726288,9.73458,25.96943,21.1314,38.4383
"003","5am",10.3657671,7.951829,16.8949,31.56731,33.220192
"004","5am",5.3538874,15.013093,23.91351,40.04755,15.671965
"005","5am",0,25.336433,41.55117,27.28537,5.827029
"006","5am",3.6300689,28.727229,17.07475,35.62506,14.942891
"007","5am",11.9468628,19.11843,38.7988,18.93598,11.199921
"008","5am",8.9042363,6.956057,36.79772,22.04942,25.292568
"009","5am",8.5368163,6.430651,32.39212,31.14445,21.495968
"010","5am",10.3681996,20.476276,41.07312,20.20703,7.875377
"011","5am",8.0648705,11.669469,48.11959,17.39118,14.754889
"012","5am",6.9481908,9.706847,47.84261,20.67158,14.830767
"021","5am",1.5712466,4.266905,41.63545,30.00125,22.525146
"022","5am",0.6891679,5.42529,35.52052,34.47186,23.89317
"023","5am",8.7719756,10.253937,29.85525,22.924,28.194837
"024","5am",2.4785211,4.086225,33.99043,26.36857,33.076255
"025","5am",4.5476706,3.674513,49.36591,24.05973,18.352177
"026","5am",2.9909257,15.748808,45.46173,25.24606,10.552471
"027","5am",0,16.794002,49.9287,20.29587,12.981421
"028","5am",3.2430332,13.346766,42.74774,19.61963,21.04283
"029","5am",0.7217341,20.91581,54.15204,13.58048,10.629939
"030","5am",3.4237755,20.214823,40.9601,19.40727,15.994024
"031","5am",7.9061126,14.303243,48.77006,14.39955,14.621032
"032","5am",4.3686693,17.058712,52.38296,16.10152,10.088133
"033","5am",5.3201107,29.772633,21.6971,40.29347,2.916688
"034","5am",2.1899395,26.227416,22.41013,35.28742,13.885097
"035","5am",8.7409134,24.242903,32.2248,25.26416,9.527233
"036","5am",2.2212968,22.054884,35.01717,33.51506,7.191589
"037","5am",2.0537059,11.906965,21.95752,40.49105,23.590762
"038","5am",3.8876948,19.247422,26.38131,39.52746,10.956114
"041","5am",3.382024,14.096112,28.58987,38.66866,15.263331
"042","5am",5.6221688,18.862398,27.01168,31.10767,17.396084
"043","5am",2.2409692,13.183571,38.78378,30.44177,15.349915
"044","5am",0,20.04764,37.87823,29.73011,12.344026
"045","5am",0,16.057767,30.65438,29.60733,23.680521
"046","5am",2.6675721,24.414789,32.00812,34.29736,6.612163
"047","5am",0.6855902,16.542231,40.76243,33.30276,8.706988
"048","5am",1.0723875,39.524989,30.93041,23.40801,5.064213
"049","5am",0.7516028,31.383007,19.17519,36.27162,12.418572
"050","5am",0.5091761,20.290252,23.56361,41.35441,14.282561
"051","5am",0,12.641396,28.4139,42.19979,16.744914
"052","5am",2.9364234,32.723125,30.18946,22.40389,11.747105
"053","5am",0.6056676,29.782757,23.52377,34.3984,11.689408
"054","5am",9.2468185,20.315516,42.13603,18.38359,9.91805
"055","5am",0.4096823,14.102921,39.74165,29.56727,16.178476
"056","5am",2.5976234,25.621411,32.75373,31.4864,7.540841
"057","5am",1.0939517,24.315031,34.97336,21.03248,18.585178
"058","5am",1.7086721,25.656567,32.33677,26.8639,13.434091
"059","5am",0,24.922298,40.44122,29.71591,4.920575
"060","5am",0,21.385672,38.27314,28.13501,12.206177
"061","5am",0.922003,18.51816,36.93919,32.84956,10.771092
"062","5am",4.5712074,28.167439,25.8168,32.14029,9.304261
"063","5am",1.5994122,14.439877,34.43281,30.66954,18.858361
"064","5am",4.3873663,10.96812,32.00264,39.20812,13.433748
