"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021"
"min";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744";"151.367744"
"max";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544";"4623.596544"
"4am";"639.8727";"295.8551";"405.9408";"674.2745";"323.3765";"681.1548";"516.0264";"653.6334";"681.1548";"481.6246";"577.9496";"653.6334";"337.1372";"681.1548";"674.2745";"529.7871";"467.8639";"571.0692";"392.1801";"584.8299";"502.2657"
"5am";"632.9924";"295.8551";"405.9408";"674.2745";"337.1372";"688.0352";"516.0264";"653.6334";"681.1548";"474.7443";"564.1889";"646.7531";"337.1372";"708.6763";"653.6334";"529.7871";"460.9836";"564.1889";"405.9408";"564.1889";"495.3853"
"6am";"667.3941";"295.8551";"440.3425";"667.3941";"337.1372";"701.7959";"502.2657";"646.7531";"708.6763";"454.1032";"550.4282";"632.9924";"316.4962";"715.5566";"639.8727";"516.0264";"454.1032";"536.6675";"405.9408";"522.9068";"454.1032"
"7am";"1465.5150";" 213.2909";" 646.7531";" 433.4622";" 357.7783";" 488.5050";" 440.3425";" 605.4710";" 963.2493";" 385.2997";" 550.4282";" 536.6675";" 220.1713";" 591.7103";" 447.2229";" 433.4622";" 392.1801";" 447.2229";" 330.2569";" 454.1032";" 344.0176"
"8am";"1823.2933";" 185.7695";" 866.9244";" 337.1372";" 357.7783";" 371.5390";" 412.8211";" 509.1460";"1190.3009";" 357.7783";" 495.3853";" 412.8211";" 220.1713";" 460.9836";" 419.7015";" 378.4194";" 371.5390";" 378.4194";" 302.7355";" 399.0604";" 323.3765"
"9am";"1981.5414";" 227.0516";" 921.9672";" 316.4962";" 378.4194";" 357.7783";" 392.1801";" 502.2657";"1217.8223";" 309.6158";" 495.3853";" 385.2997";" 206.4106";" 460.9836";" 405.9408";" 378.4194";" 337.1372";" 364.6587";" 282.0944";" 385.2997";" 316.4962"
"10am";"1974.6610";" 275.2141";" 908.2065";" 309.6158";" 378.4194";" 371.5390";" 385.2997";" 516.0264";"1197.1812";" 323.3765";" 488.5050";" 378.4194";" 206.4106";" 467.8639";" 399.0604";" 371.5390";" 316.4962";" 371.5390";" 268.3337";" 385.2997";" 323.3765"
"11am";"1864.5754";" 282.0944";" 887.5654";" 330.2569";" 371.5390";" 385.2997";" 412.8211";" 550.4282";"1142.1384";" 309.6158";" 516.0264";" 357.7783";" 227.0516";" 502.2657";" 419.7015";" 350.8980";" 309.6158";" 385.2997";" 282.0944";" 399.0604";" 330.2569"
"12am";"1878.3361";" 344.0176";" 743.0780";" 357.7783";" 378.4194";" 399.0604";" 399.0604";" 543.5478";"1142.1384";" 309.6158";" 529.7871";" 330.2569";" 213.2909";" 516.0264";" 433.4622";" 378.4194";" 302.7355";" 440.3425";" 282.0944";" 371.5390";" 330.2569"
"1pm";"1947.1396";" 337.1372";" 749.9584";" 364.6587";" 364.6587";" 419.7015";" 357.7783";" 522.9068";"1162.7795";" 350.8980";" 550.4282";" 323.3765";" 213.2909";" 529.7871";" 378.4194";" 405.9408";" 295.8551";" 412.8211";" 268.3337";" 371.5390";" 330.2569"
"2pm";"1905.8575";" 330.2569";" 749.9584";" 350.8980";" 337.1372";" 440.3425";" 412.8211";" 529.7871";"1128.3777";" 357.7783";" 502.2657";" 337.1372";" 233.9320";" 522.9068";" 399.0604";" 378.4194";" 288.9748";" 440.3425";" 275.2141";" 378.4194";" 330.2569"
"3pm";"1630.6434";" 392.1801";" 653.6334";" 454.1032";" 309.6158";" 454.1032";" 440.3425";" 529.7871";"1011.4117";" 378.4194";" 516.0264";" 371.5390";" 247.6927";" 550.4282";" 440.3425";" 412.8211";" 309.6158";" 495.3853";" 275.2141";" 392.1801";" 323.3765"
"4pm";"1314.1472";" 426.5818";" 433.4622";" 522.9068";" 323.3765";" 522.9068";" 419.7015";" 488.5050";" 860.0440";" 433.4622";" 557.3085";" 440.3425";" 288.9748";" 605.4710";" 454.1032";" 399.0604";" 344.0176";" 481.6246";" 316.4962";" 426.5818";" 364.6587"
"5pm";"908.2065";"433.4622";"460.9836";"598.5906";"378.4194";"605.4710";"440.3425";"502.2657";"694.9156";"488.5050";"550.4282";"516.0264";"295.8551";"584.8299";"502.2657";"474.7443";"350.8980";"536.6675";"357.7783";"467.8639";"405.9408"
"6pm";"873.8047";"433.4622";"474.7443";"612.3513";"371.5390";"639.8727";"460.9836";"516.0264";"667.3941";"502.2657";"564.1889";"502.2657";"282.0944";"557.3085";"536.6675";"460.9836";"337.1372";"550.4282";"364.6587";"467.8639";"399.0604"
"7pm";"853.1636";"447.2229";"467.8639";"584.8299";"399.0604";"626.1120";"440.3425";"467.8639";"729.3173";"509.1460";"612.3513";"509.1460";"288.9748";"557.3085";"529.7871";"467.8639";"364.6587";"543.5478";"364.6587";"447.2229";"385.2997"
"8pm";"791.2405";"378.4194";"495.3853";"598.5906";"392.1801";"632.9924";"433.4622";"502.2657";"743.0780";"502.2657";"584.8299";"529.7871";"295.8551";"591.7103";"584.8299";"467.8639";"364.6587";"564.1889";"350.8980";"460.9836";"385.2997"
"9pm";"729.3173";"316.4962";"419.7015";"660.5138";"385.2997";"632.9924";"440.3425";"536.6675";"694.9156";"488.5050";"598.5906";"564.1889";"295.8551";"612.3513";"626.1120";"467.8639";"371.5390";"543.5478";"371.5390";"481.6246";"412.8211"
"10pm";"688.0352";"302.7355";"378.4194";"639.8727";"364.6587";"626.1120";"460.9836";"584.8299";"694.9156";"474.7443";"598.5906";"605.4710";"295.8551";"619.2317";"632.9924";"495.3853";"378.4194";"550.4282";"357.7783";"481.6246";"433.4622"
"11pm";"681.1548";"275.2141";"371.5390";"660.5138";"337.1372";"626.1120";"474.7443";"598.5906";"715.5566";"454.1032";"571.0692";"612.3513";"309.6158";"612.3513";"646.7531";"488.5050";"399.0604";"557.3085";"350.8980";"529.7871";"454.1032"
"12pm";"667.3941";"288.9748";"364.6587";"660.5138";"330.2569";"619.2317";"481.6246";"598.5906";"715.5566";"454.1032";"564.1889";"612.3513";"309.6158";"619.2317";"632.9924";"481.6246";"405.9408";"557.3085";"350.8980";"529.7871";"460.9836"
"1am";"660.5138";"288.9748";"364.6587";"660.5138";"330.2569";"619.2317";"481.6246";"598.5906";"715.5566";"454.1032";"564.1889";"612.3513";"309.6158";"619.2317";"632.9924";"481.6246";"405.9408";"564.1889";"350.8980";"529.7871";"460.9836"
"2am";"653.6334";"288.9748";"364.6587";"660.5138";"330.2569";"619.2317";"481.6246";"591.7103";"715.5566";"454.1032";"564.1889";"612.3513";"309.6158";"619.2317";"632.9924";"474.7443";"405.9408";"571.0692";"350.8980";"529.7871";"460.9836"
"3am";"639.8727";"288.9748";"371.5390";"660.5138";"323.3765";"626.1120";"481.6246";"591.7103";"708.6763";"454.1032";"564.1889";"612.3513";"309.6158";"619.2317";"632.9924";"474.7443";"405.9408";"564.1889";"350.8980";"536.6675";"460.9836"
