"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021"
"min";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125";"4.8828125"
"max";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789";"38.4210526315789"
"4am";"20.22792";"25.00000";"25.82677";"23.54571";"22.41087";"25.21368";"28.00000";"21.95448";"26.29482";"27.98790";"30.38516";"30.20690";"36.03083";"24.43609";"29.08587";"33.10345";"35.19637";"33.86243";"27.99401";"33.85621";"34.86647"
"5am";"20.62147";"24.83974";"25.78616";"24.09972";"22.63514";"25.21246";"27.88321";"21.96765";"26.22517";"27.96353";"30.88023";"30.31989";"35.44554";"24.08759";"29.15493";"33.10249";"35.55901";"33.95473";"27.32733";"33.55615";"34.96183"
"6am";"20.58433";"24.72784";"26.07362";"24.54672";"22.54902";"24.82566";"27.74390";"22.81167";"26.94370";"27.64977";"30.22556";"30.62130";"36.21053";"25.87571";"29.28680";"34.62687";"35.69024";"33.24324";"27.74295";"33.03835";"33.88158"
"7am";"21.98113";"25.81699";"26.93498";"29.28803";"21.83755";"22.08158";"29.07563";"26.15156";"26.36816";"25.48435";"29.66867";"31.23878";"36.93046";"27.86720";"28.07339";"33.44768";"36.73870";"32.41279";"28.04878";"32.40589";"35.15625"
"8am";"22.41667";"26.89970";"28.09458";"28.67012";"22.48804";"22.58993";"30.67151";"27.96053";"26.59698";"23.91304";"28.89843";"32.23819";"37.01799";"28.07193";"27.92969";"32.47706";"36.87500";"33.13433";"26.49254";"32.63158";"34.57557"
"9am";"22.15036";"27.77778";"27.91005";"29.26391";"23.59033";"22.25519";"29.14286";"27.31788";"27.48869";"24.81315";"30.04115";"31.19469";"36.75676";"28.37707";"27.21649";"32.76836";"37.83186";"32.87671";"26.12967";"31.93431";"35.29412"
"10am";"22.07897";"27.81290";"27.87318";"27.17584";"24.04181";"21.91358";"29.94242";"26.38655";"27.27273";"24.92582";"29.65517";"31.37255";"37.43017";"29.05983";"28.27004";"32.88201";"38.35616";"32.34375";"26.45914";"32.14286";"35.46911"
"11am";"22.29787";"26.14622";"25.81486";"26.60870";"23.12349";"20.51672";"30.53435";"25.87302";"28.18713";"24.38650";"30.83220";"30.98901";"38.12155";"29.28709";"30.56680";"33.78906";"38.33718";"31.06646";"27.48092";"32.11679";"35.63474"
"12am";"22.89157";"25.78616";"27.41047";"27.47440";"22.56532";"21.67939";"30.16760";"25.27822";"28.46975";"24.58771";"30.81081";"32.57919";"37.98883";"28.35366";"29.54990";"34.96094";"37.30337";"30.87558";"28.62595";"32.20036";"34.90991"
"1pm";"22.90640";"26.35379";"28.26948";"29.26391";"22.74882";"19.67456";"31.82752";"26.91030";"28.47380";"25.45455";"29.07609";"32.72311";"37.50000";"28.74763";"29.59184";"33.99209";"36.36364";"30.90062";"27.72074";"32.78689";"34.55378"
"2pm";"22.88557";"25.37500";"28.32215";"28.16399";"22.08738";"20.49780";"30.84479";"27.74086";"27.41752";"25.59172";"29.05501";"32.50564";"38.42105";"28.00000";"29.40000";"35.04950";"37.70115";"31.82527";"28.84990";"32.38434";"34.52116"
"3pm";"21.66225";"26.04457";"28.02817";"26.96817";"24.75248";"21.66911";"30.75540";"27.63158";"26.52124";"24.48071";"29.26829";"34.36853";"37.50000";"29.22923";"28.67925";"33.03571";"37.58099";"30.87349";"28.24859";"32.76158";"34.54936"
"4pm";"21.18451";"24.26367";"26.95140";"26.49311";"21.82081";"24.54545";"28.95175";"23.54788";"26.86567";"25.36116";"30.29453";"32.57042";"36.28510";"27.36264";"29.31323";"34.17936";"37.61639";"31.85841";"28.32470";"33.17460";"34.92647"
"5pm";"21.66247";"23.27586";"26.92890";"24.22907";"23.06502";"24.34783";"29.11392";"22.65861";"26.01078";"26.38889";"30.40541";"32.95820";"35.84906";"25.50505";"29.03727";"32.92308";"36.18538";"33.23823";"27.34628";"33.38279";"34.67337"
"6pm";"21.59091";"23.91931";"25.41857";"24.51709";"23.98190";"24.24677";"28.15385";"22.91667";"25.49801";"26.51163";"30.94595";"32.95638";"36.38298";"25.18892";"29.15408";"33.63914";"35.85237";"32.48227";"27.60252";"33.67496";"33.98693"
"7pm";"21.12676";"23.14286";"25.65284";"25.00000";"24.10714";"25.73529";"28.48200";"21.79104";"25.19380";"26.39517";"31.25828";"32.32964";"36.00000";"25.63452";"28.91566";"33.43373";"35.37415";"32.57468";"27.18750";"33.43066";"34.15435"
"8pm";"21.42857";"23.26656";"25.81649";"24.23358";"23.29193";"24.89270";"28.68098";"21.55172";"25.34678";"26.49311";"30.63428";"31.81126";"36.25000";"25.70694";"28.44575";"32.58595";"35.29412";"32.34880";"28.39695";"33.90805";"34.52769"
"9pm";"20.05610";"24.39807";"25.76490";"23.98317";"23.21429";"24.78386";"28.93939";"21.79487";"25.45455";"27.35562";"30.39890";"31.36966";"36.21730";"25.00000";"28.44828";"33.38192";"35.47855";"32.40997";"27.96992";"32.95775";"34.00621"
"10pm";"20.31474";"24.83766";"25.72816";"23.06610";"23.02521";"24.46043";"29.00302";"21.94093";"26.30890";"27.27273";"29.87377";"30.78035";"35.85657";"24.93639";"28.85431";"33.61702";"35.34202";"32.40997";"28.03598";"33.19386";"34.24658"
"11pm";"20.00000";"24.58746";"25.52167";"23.28191";"22.84264";"24.35159";"28.67647";"22.11405";"26.50919";"28.19723";"30.00000";"30.55954";"35.84158";"24.55013";"29.20723";"33.00142";"35.31300";"32.50689";"28.48576";"33.51648";"33.83686"
"12pm";"20.28986";"24.67320";"25.48077";"23.21678";"22.69625";"24.31655";"28.63436";"22.05270";"26.58730";"28.04314";"30.08596";"30.61516";"35.82677";"24.48718";"29.06815";"33.04843";"35.24721";"32.59972";"28.50679";"33.33333";"33.98792"
"1am";"20.20349";"24.67320";"25.48077";"23.21678";"22.61905";"24.38672";"28.63436";"22.02216";"26.56042";"28.04314";"30.00000";"30.57143";"35.75639";"24.51861";"29.10864";"33.04843";"35.35032";"32.64746";"28.50679";"33.37893";"33.98792"
"2am";"20.26239";"24.75410";"25.55911";"23.18436";"22.75042";"24.38672";"28.63436";"21.80556";"26.56042";"28.04314";"29.95720";"30.57143";"35.75639";"24.42159";"29.10864";"32.90598";"35.35032";"32.55814";"28.39879";"33.42466";"33.98792"
"3am";"20.46784";"24.75410";"25.51834";"23.21678";"22.75042";"24.49568";"28.63436";"21.80556";"26.49800";"28.11060";"29.89986";"30.47210";"35.75639";"24.45302";"29.10864";"32.90598";"35.35032";"32.60274";"28.39879";"33.28786";"33.98792"
