"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384";"2029.70384"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"6am";"151.36774";"  0.00000";"  0.00000";"  0.00000";" 82.56422";" 82.56422";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"130.72669";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"7am";"426.58182";" 82.56422";"116.96598";"  0.00000";"261.45338";"178.88915";"  0.00000";"123.84634";"172.00880";"144.48739";"151.36774";"  0.00000";"  0.00000";"337.13725";"  0.00000";"  0.00000";"  0.00000";" 89.44458";"  0.00000";"  0.00000";"  0.00000"
"8am";"626.11203";"165.12845";"240.81232";" 89.44458";"405.94077";"227.05162";" 89.44458";"137.60704";"309.61584";"227.05162";"227.05162";"  0.00000";"  0.00000";"419.70147";" 82.56422";"  0.00000";"  0.00000";"137.60704";"  0.00000";"  0.00000";"  0.00000"
"9am";"681.15485";"309.61584";"337.13725";"  0.00000";"460.98358";"240.81232";" 96.32493";"144.48739";"371.53901";"227.05162";"282.09443";"  0.00000";"  0.00000";"536.66746";" 96.32493";"  0.00000";"  0.00000";"137.60704";"  0.00000";"  0.00000";"  0.00000"
"10am";"681.15485";"426.58182";"392.18006";"110.08563";"440.34253";"240.81232";" 89.44458";"178.88915";"357.77830";"247.69267";"316.49619";"  0.00000";"  0.00000";"550.42816";" 82.56422";"  0.00000";"  0.00000";"137.60704";"  0.00000";"  0.00000";"  0.00000"
"11am";"646.75309";"419.70147";"378.41936";" 96.32493";"454.10323";"254.57302";"  0.00000";"192.64986";"323.37654";"220.17126";"295.85514";"  0.00000";"  0.00000";"522.90675";" 82.56422";"  0.00000";"  0.00000";"137.60704";"  0.00000";"  0.00000";"  0.00000"
