"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021"
"min";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286";"38.5714285714286"
"max";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714";"61.4285714285714"
"4am";"49.71510";"54.03226";"54.01575";"53.60111";"52.97114";"50.71225";"50.42857";"51.27175";"49.40239";"53.85779";"51.35521";"51.72414";"47.59152";"48.62155";"52.63158";"51.03448";"50.45317";"51.58730";"55.38922";"49.28105";"49.55490"
"5am";"49.71751";"54.00641";"54.08805";"53.04709";"53.04054";"50.56657";"50.94891";"51.61725";"49.66887";"53.64742";"51.51515";"52.01669";"48.71287";"48.17518";"53.23944";"51.38504";"51.24224";"51.53129";"56.00601";"49.59893";"50.53435"
"6am";"51.92563";"54.58787";"53.68098";"52.44073";"54.24837";"48.53556";"51.21951";"52.38727";"49.73190";"55.29954";"53.08271";"53.55030";"49.47368";"44.29379";"55.08346";"53.13433";"53.03030";"50.40541";"57.36677";"50.14749";"51.80921"
"7am";"55.84906";"55.88235";"54.95356";"50.32362";"56.59121";"47.53868";"52.10084";"51.85736";"48.13433";"59.16542";"54.51807";"54.57810";"49.16067";"40.14085";"54.86239";"53.85935";"52.65226";"48.83721";"58.36237";"50.57283";"50.58594"
"8am";"56.08333";"57.29483";"56.60640";"47.84111";"58.13397";"46.61871";"52.26860";"51.97368";"48.43206";"59.85507";"56.22318";"52.56674";"48.58612";"39.46054";"54.88281";"53.94495";"52.29167";"48.65672";"58.76866";"48.77193";"49.89648"
"9am";"55.61843";"58.26558";"56.21693";"47.75583";"58.57307";"46.58754";"52.38095";"52.31788";"48.75566";"60.23916";"56.37860";"52.43363";"48.10811";"39.16424";"55.46392";"54.99058";"51.99115";"48.09741";"59.13556";"48.54015";"49.23747"
"10am";"55.84206";"60.05057";"57.06737";"47.60213";"57.49129";"45.98765";"52.78311";"51.76471";"47.41082";"59.79228";"56.96552";"51.41612";"48.04469";"40.45584";"55.90717";"55.12573";"52.05479";"47.81250";"58.75486";"48.49624";"48.97025"
"11am";"55.91489";"60.71871";"57.10561";"48.52174";"57.74818";"46.20061";"52.29008";"51.26984";"48.77193";"59.04908";"55.52524";"52.08791";"48.34254";"40.46243";"54.04858";"55.27344";"51.27021";"47.44977";"58.39695";"49.63504";"49.44321"
"12am";"55.24957";"61.38365";"55.92287";"49.31741";"57.00713";"45.03817";"52.88641";"52.62321";"49.34757";"58.62069";"55.81081";"52.03620";"47.20670";"39.93902";"55.96869";"52.92969";"49.88764";"48.54071";"58.77863";"48.83721";"49.54955"
"1pm";"56.56814";"60.40915";"56.93527";"47.75583";"56.87204";"45.71006";"53.18275";"51.99336";"48.51936";"60.15152";"55.84239";"51.48741";"47.22222";"39.37381";"57.14286";"52.76680";"49.18415";"47.82609";"58.93224";"49.18033";"49.42792"
"2pm";"56.55058";"60.12500";"57.18121";"49.55437";"55.94660";"46.55930";"50.68762";"51.99336";"49.94312";"59.31953";"57.40480";"50.33860";"47.36842";"38.57143";"56.20000";"53.26733";"49.19540";"48.82995";"58.86940";"48.57651";"49.88864"
"3pm";"56.94076";"57.93872";"56.05634";"51.08878";"54.20792";"46.70571";"48.38129";"53.28947";"49.13892";"58.60534";"57.10187";"51.34576";"46.81373";"41.34134";"55.28302";"53.39286";"49.24406";"50.15060";"58.38041";"47.34134";"50.00000"
"4pm";"53.53075";"57.22300";"55.22828";"51.14855";"52.45665";"47.87879";"49.91681";"51.17739";"49.75124";"56.17978";"55.11921";"53.87324";"47.08423";"44.83516";"52.09380";"53.13029";"50.27933";"52.50737";"57.68566";"47.61905";"50.00000"
