"district","hour","act1","act2","act3","act4","act5"
"001","4am",4561.673,96.32493,0,0,89.444576
"002","4am",4155.733,41.28211,13.760704,0,27.521408
"003","4am",4245.177,34.40176,6.880352,6.880352,34.40176
"004","4am",4823.127,48.16246,0,0,41.282112
"005","4am",3908.04,41.28211,0,0,34.40176
"006","4am",4664.879,96.32493,0,0,34.40176
"007","4am",4616.716,55.04282,0,0,61.923168
"008","4am",4946.973,55.04282,13.760704,0,48.162464
"009","4am",4974.494,68.80352,0,0,55.042816
"010","4am",4396.545,27.52141,0,0,48.162464
"011","4am",4706.161,34.40176,0,0,48.162464
"012","4am",4740.563,75.68387,0,0,55.042816
"013","4am",3495.219,48.16246,0,0,0
"014","4am",5180.905,172.0088,6.880352,0,103.20528
"015","4am",4816.246,41.28211,0,0,48.162464
"016","4am",4809.366,41.28211,0,0,48.162464
"017","4am",4458.468,27.52141,0,0,6.880352
"018","4am",5063.939,41.28211,0,0,48.162464
"019","4am",4444.707,55.04282,13.760704,0,27.521408
"020","4am",5008.896,103.20528,0,0,34.40176
"021","4am",4451.588,48.16246,0,0,68.80352
"001","5am",4513.511,172.0088,0,0,103.20528
"002","5am",4141.972,68.80352,13.760704,0,41.282112
"003","5am",4155.733,123.84634,6.880352,6.880352,41.282112
"004","5am",4774.964,110.08563,0,0,41.282112
"005","5am",3859.877,96.32493,6.880352,0,48.162464
"006","5am",4547.913,240.81232,0,0,34.40176
"007","5am",4506.631,68.80352,0,0,61.923168
"008","5am",4878.17,82.56422,13.760704,0,48.162464
"009","5am",4878.17,165.12845,0,0,68.80352
"010","5am",4341.502,68.80352,0,0,48.162464
"011","5am",4644.238,41.28211,0,0,48.162464
"012","5am",4699.28,82.56422,0,0,55.042816
"013","5am",3385.133,61.92317,0,0,0
"014","5am",5084.58,419.70147,6.880352,0,110.085632
"015","5am",4733.682,41.28211,0,0,48.162464
"016","5am",4747.443,68.80352,0,0,61.923168
"017","5am",4327.741,34.40176,0,0,6.880352
"018","5am",4974.494,96.32493,0,0,55.042816
"019","5am",4375.904,96.32493,13.760704,0,41.282112
"020","5am",4871.289,123.84634,0,0,34.40176
"021","5am",4334.622,41.28211,0,0,68.80352
"001","6am",4307.1,529.7871,48.162464,6.880352,185.769504
"002","6am",4052.527,254.57302,13.760704,6.880352,82.564224
"003","6am",4066.288,268.33373,34.40176,6.880352,55.042816
"004","6am",4506.631,323.37654,0,0,55.042816
"005","6am",3701.629,364.65866,13.760704,0,82.564224
"006","6am",4141.972,729.31731,0,0,34.40176
"007","6am",4197.015,185.7695,0,0,55.042816
"008","6am",4623.597,399.06042,34.40176,0,55.042816
"009","6am",4534.152,447.22288,13.760704,0,61.923168
"010","6am",4107.57,220.17126,0,0,75.683872
"011","6am",4307.1,172.0088,0,0,68.80352
"012","6am",4389.665,123.84634,0,0,41.282112
"013","6am",3151.201,96.32493,0,0,0
"014","6am",4616.716,1314.14723,6.880352,6.880352,96.324928
"015","6am",4327.741,82.56422,0,0,61.923168
"016","6am",4355.263,123.84634,0,0,61.923168
"017","6am",3949.322,68.80352,0,0,6.880352
"018","6am",4602.955,399.06042,0,0,55.042816
"019","6am",4093.809,172.0088,13.760704,6.880352,48.162464
"020","6am",4258.938,247.69267,0,0,48.162464
"021","6am",3983.724,68.80352,0,0,75.683872
"001","7am",3564.022,2187.9519,935.727872,20.641056,405.94077
"002","7am",3357.612,639.8727,13.760704,68.80352,110.08563
"003","7am",3226.885,708.6763,330.256896,20.641056,75.68387
"004","7am",3426.415,722.437,0,0,48.16246
"005","7am",3178.723,1637.5238,123.846336,0,137.60704
"006","7am",3220.005,1548.0792,13.760704,6.880352,41.28211
"007","7am",3412.655,460.9836,68.80352,6.880352,55.04282
"008","7am",3522.74,791.2405,158.248096,13.760704,55.04282
"009","7am",3570.903,1410.4722,350.897952,48.162464,61.92317
"010","7am",3515.86,901.3261,6.880352,6.880352,96.32493
"011","7am",3667.228,694.9156,34.40176,20.641056,96.32493
"012","7am",3515.86,213.2909,0,0,27.52141
"013","7am",2731.5,110.0856,0,0,0
"014","7am",3584.663,3041.1156,13.760704,20.641056,68.80352
"015","7am",3330.09,275.2141,20.641056,6.880352,75.68387
"016","7am",3474.578,378.4194,27.521408,6.880352,68.80352
"017","7am",3323.21,130.7267,0,0,13.7607
"018","7am",3866.758,749.9584,20.641056,0,41.28211
"019","7am",3309.449,440.3425,6.880352,6.880352,116.96598
"020","7am",3591.544,440.3425,20.641056,0,48.16246
"021","7am",3275.048,123.8463,0,0,82.56422
"001","8am",3151.201,2862.2264,1410.47216,27.521408,598.59062
"002","8am",2972.312,1011.4117,13.760704,254.573024,213.29091
"003","8am",2841.585,1197.1812,584.82992,89.444576,165.12845
"004","8am",2889.748,873.8047,0,34.40176,89.44458
"005","8am",2834.705,2394.3625,172.0088,34.40176,213.29091
"006","8am",2738.38,1837.054,27.521408,0,151.36774
"007","8am",2896.628,577.9496,110.085632,34.40176,123.84634
