"variable","CODE_SEC","RES_SEC","W_IND"
"h9","001","002",292.549
"h9","001","003",44.143
"h9","001","004",108.06
"h9","001","005",160.502
"h9","001","006",128.518
"h9","001","007",237.911
"h9","001","008",120.798
"h9","001","010",54.468
"h9","001","011",36.625
"h9","001","016",48.492
"h9","001","029",16.529
"h9","001","030",59.494
"h9","001","040",30.793
"h9","001","052",44.118
"h9","002","001",196.836
"h9","002","003",283.12
"h9","002","004",115.142
"h9","002","006",79.45
"h9","002","008",52.652
"h9","002","009",350.112
"h9","002","011",172.27
"h9","002","012",126.884
"h9","002","026",34.93
"h9","002","036",40.727
"h9","002","046",182.619
"h9","007","002",89.886
"h9","007","006",121.685
"h9","007","008",93.049
"h9","007","010",143.412
"h9","007","018",211.628
"h9","007","019",28.493
"h9","007","052",17.85
"h9","017","004",48.329
"h9","017","005",236.771
"h9","017","006",70.834
"h9","017","007",46.077
"h9","017","011",32.266
"h9","017","014",84.041
"h9","017","018",96.011
"h9","017","019",51.754
"h9","017","035",55.274
"h9","017","042",40.711
"h9","017","044",14.233
"h9","017","047",95.216
"h9","025","024",108.25
"h9","025","026",87.144
"h9","025","027",150.144
"h9","025","029",33.058
"h10","001","002",200.739
"h10","001","003",303.175
"h10","001","004",108.06
"h10","001","005",80.251
"h10","001","006",186.089
"h10","001","009",74.802
"h10","001","010",54.468
"h10","001","016",48.492
"h10","001","029",16.529
"h10","001","047",95.216
"h10","001","052",44.118
"h10","002","001",103.599
"h10","002","003",371.406
"h10","002","004",102.359
"h10","002","007",57.679
"h10","002","008",93.049
"h10","002","009",195.394
"h10","002","011",218.674
"h10","002","012",63.17
"h10","002","046",267.282
"h10","002","051",19.896
"h10","007","006",101.476
"h10","007","008",60.399
"h10","007","010",143.412
"h10","007","013",93.341
"h10","007","015",76.026
"h10","007","018",137.01
"h10","007","020",58.377
"h10","007","028",40.577
"h10","007","052",17.85
"h10","017","004",114.169
"h10","017","005",317.022
"h10","017","006",70.834
"h10","017","008",60.399
"h10","017","010",44.472
"h10","017","011",36.625
"h10","017","018",96.011
"h10","017","019",25.877
"h10","017","035",55.274
"h10","017","037",16.914
"h10","017","039",52.092
"h10","017","040",63.299
"h10","017","046",169.326
"h10","017","051",47.737
"h10","039","024",80.673
"h10","039","030",437.815
"h10","039","033",26.787
"h10","039","041",75.228
"h10","039","042",78.996
"h11","001","006",115.142
"h11","001","008",60.399
"h11","001","019",25.877
"h11","001","023",48.341
"h11","001","041",37.614
"h11","001","047",95.216
"h11","001","052",70.292
"h11","002","003",44.143
"h11","002","004",48.329
"h11","002","008",93.049
"h11","002","009",74.802
"h11","002","011",132.539
"h11","002","012",126.884
"h11","002","021",43.335
"h11","002","046",97.791
"h11","002","051",18.874
"h11","017","004",56.598
"h11","017","005",76.269
"h11","017","008",60.399
"h11","017","015",76.026
"h11","017","019",57.123
"h11","017","025",105.88
"h11","017","031",7.467
