"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78";"8450.78"
"4am";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"565.636";"  0.000";"0";"  0.000";"0";"  0.000";"0";"  0.000";"  0.000";"0";"0";"0";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"873.642";"  0.000";"  0.000";"0";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0"
"5am";"   0.000";"   0.000";"   0.000";"0";"   0.000";" 819.001";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1095.374";"   0.000";"0";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1310.624";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0"
"6am";"   0.000";" 603.284";" 766.604";"   0.000";"   0.000";"1388.383";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 987.936";"   0.000";" 806.801";"   0.000";"   0.000";"1576.481";" 810.091";"0";"   0.000";"   0.000";"   0.000";"   0.000";" 573.264";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 385.665";"   0.000";"0";"   0.000";"   0.000";"1590.637";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0"
"7am";"2232.556";"1555.326";"1989.465";" 572.050";"1221.470";"4330.677";"1319.793";"   0.000";" 776.647";"   0.000";" 747.897";"1973.683";"1299.924";"1409.688";"1301.172";"   0.000";"3085.830";"2002.726";"   0.000";" 527.869";"   0.000";"1192.464";" 561.478";"1517.000";" 642.584";"   0.000";"   0.000";"   0.000";"   0.000";" 804.485";"   0.000";" 659.725";"   0.000";"1327.650";"   0.000";"   0.000";"   0.000";" 619.000";"2967.490";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 872.815";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000"
"8am";"6235.785";"3361.255";"2599.213";" 682.378";"2037.702";"6641.924";"3185.767";" 932.731";"1369.400";" 822.634";"1314.926";"3120.685";"2059.522";"1872.665";"2586.354";"1123.108";"4635.470";"2695.865";"   0.000";" 868.642";" 629.777";"2298.447";" 910.539";"1794.571";"1324.107";"   0.000";"   0.000";"   0.000";"   0.000";"1009.532";"   0.000";" 607.507";"   0.000";"2316.036";"   0.000";"   0.000";"   0.000";" 784.816";"4471.590";" 669.123";"1136.007";" 690.277";"   0.000";"   0.000";" 598.736";"1491.464";" 774.556";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";"7292.532";"4027.209";"2758.202";" 739.393";"2783.545";"6580.850";"3955.189";"1024.934";"1605.390";" 941.511";"1483.605";"3468.924";"2318.787";"1881.304";"3211.068";"1108.136";"5760.034";"2869.070";"   0.000";" 878.525";" 926.597";"2773.561";" 855.474";"1946.078";"1304.498";"   0.000";"   0.000";"   0.000";"   0.000";"1036.857";"   0.000";" 811.969";" 613.897";"2853.734";"   0.000";"   0.000";"   0.000";" 699.285";"4674.717";" 704.303";"1042.569";" 774.186";"   0.000";"   0.000";" 607.049";"1596.253";" 821.856";"1104.319";"   0.000";"   0.000";"   0.000";"0"
"10am";"8450.780";"3348.448";"2645.891";" 906.842";"2661.931";"6684.083";"3703.760";"1034.479";"1951.478";" 995.348";"1403.191";"3471.953";"2259.086";"1723.909";"2892.129";" 794.869";"5881.661";"2836.660";"   0.000";" 849.392";" 808.840";"2817.999";" 890.247";"1988.243";"1140.506";"   0.000";"   0.000";"   0.000";"   0.000";"1202.386";"   0.000";" 752.230";"   0.000";"2824.669";"   0.000";"   0.000";"   0.000";" 907.928";"4655.242";" 741.329";"1378.735";" 828.492";"   0.000";"   0.000";" 610.782";"2088.514";" 821.856";"1152.056";"   0.000";"   0.000";"   0.000";"   0.000"
"11am";"7672.612";"3761.429";"2576.789";" 954.353";"2503.931";"5936.515";"3554.494";" 945.144";"1624.365";" 859.439";"1166.161";"2872.555";"1753.200";"1831.340";"2741.310";" 794.869";"5245.848";"2663.423";"   0.000";" 740.392";" 641.172";"2492.155";" 767.721";"1852.237";" 889.518";"   0.000";"   0.000";"   0.000";"   0.000";" 815.139";"   0.000";" 682.563";"   0.000";"2637.970";"   0.000";"   0.000";"   0.000";" 593.866";"3977.705";" 700.618";"1260.094";" 865.695";"   0.000";"   0.000";" 590.886";"1674.593";" 706.674";"1090.701";"   0.000";"   0.000";"   0.000";"0"
"12am";"6057.699";"3391.871";"2289.429";" 697.256";"2037.321";"4714.724";"2979.986";" 826.020";"1179.891";"   0.000";" 802.465";"2433.785";"1451.459";"1401.852";"2047.209";" 866.865";"5012.505";"2489.575";"   0.000";" 751.623";" 632.140";"1771.136";"   0.000";"1091.704";" 716.599";"   0.000";"   0.000";"   0.000";"   0.000";" 724.131";"   0.000";" 460.089";"   0.000";"1517.613";"   0.000";"   0.000";"   0.000";" 611.324";"3590.062";"   0.000";" 972.928";" 868.675";"   0.000";"   0.000";"   0.000";"1087.203";" 681.383";"   0.000";"   0.000";"   0.000";"   0.000";"0"
"1pm";"6839.964";"3784.056";"2460.908";" 901.859";"2374.844";"5555.494";"3338.609";" 966.974";"1332.929";"1010.036";" 884.725";"3208.896";"2043.464";"1526.658";"2948.951";"1026.492";"5800.669";"2706.355";"   0.000";" 762.790";" 582.551";"2248.248";" 787.990";"1657.205";" 848.102";"   0.000";"   0.000";"   0.000";"   0.000";" 688.787";"   0.000";" 825.376";"   0.000";"2312.426";"   0.000";"   0.000";"   0.000";" 735.682";"3595.296";" 551.001";"1132.967";" 945.312";"   0.000";"   0.000";" 676.529";"   0.000";" 810.416";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"2pm";"8293.239";"4156.688";"2684.400";" 805.013";"2582.656";"5551.888";"4221.447";"1426.456";"1435.905";"1089.964";"1049.591";"3097.234";"2070.816";"1787.618";"3747.560";"1383.063";"6579.183";"2613.616";"   0.000";" 810.226";" 849.889";"2695.381";" 711.475";"1757.269";"1018.643";"   0.000";" 457.618";"   0.000";"   0.000";" 830.848";"   0.000";" 937.634";"   0.000";"2836.031";"   0.000";"   0.000";"   0.000";" 559.819";"3801.438";"   0.000";"1540.599";"1340.280";"   0.000";"   0.000";" 833.936";" 937.174";" 817.549";" 610.051";"   0.000";"   0.000";"   0.000";"   0.000"
"3pm";"8221.970";"3813.320";"2253.097";" 889.147";"2857.384";"5850.794";"3894.044";"1285.681";"1465.168";"1142.245";"1189.759";"2647.003";"2252.660";"1440.711";"3556.281";"1329.385";"6174.797";"2261.974";"   0.000";" 871.732";" 702.146";"2593.130";" 658.238";"1747.522";" 936.697";"   0.000";"   0.000";"   0.000";"   0.000";" 560.671";"   0.000";" 913.842";"   0.000";"3149.797";" 744.197";"   0.000";"   0.000";" 847.462";"3364.610";" 471.965";"1777.976";"1241.115";"   0.000";"   0.000";" 865.401";" 849.753";" 852.637";" 536.951";" 641.194";"   0.000";"   0.000";"   0.000"
"4pm";"6702.267";"3759.066";"1554.576";" 653.771";"2146.625";"4948.408";"3643.265";" 812.951";"1493.793";" 861.859";" 690.367";"2117.254";"1433.577";"1082.839";"3263.601";" 786.135";"5065.128";"2096.579";"   0.000";" 816.240";" 771.835";"2260.064";" 659.204";"1344.473";" 861.823";"   0.000";"   0.000";"   0.000";"0";" 666.739";"   0.000";" 860.345";"   0.000";"2773.453";"   0.000";"   0.000";"   0.000";" 663.542";"2565.956";"   0.000";"1661.624";"1041.648";"   0.000";"   0.000";"   0.000";"1142.312";" 691.199";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"5pm";"4298.874";"2610.884";"1350.985";"   0.000";"1430.964";"2977.853";"2622.239";" 730.725";" 818.925";"   0.000";"   0.000";"1373.415";"1423.035";" 776.404";"2349.756";" 739.154";"3597.046";"1707.221";"   0.000";" 747.018";" 714.206";"1370.304";"   0.000";" 933.089";" 670.599";"   0.000";"   0.000";"   0.000";"0";" 616.933";"   0.000";" 820.151";"   0.000";"1290.096";"   0.000";"   0.000";"   0.000";"   0.000";"2169.813";"   0.000";"1184.642";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"6pm";"2785.057";"1523.197";" 839.818";"   0.000";"1551.104";"1702.574";"1472.358";" 672.194";"   0.000";"   0.000";"   0.000";" 733.970";" 919.535";"   0.000";" 972.453";"   0.000";"2247.767";" 867.233";"   0.000";" 575.034";"   0.000";" 728.159";"   0.000";"   0.000";" 485.040";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"   0.000";" 726.192";"   0.000";"   0.000";"   0.000";"   0.000";"1595.435";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000"
"7pm";"1959.057";"   0.000";"   0.000";"   0.000";"   0.000";"1225.387";" 766.314";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 922.978";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";" 670.169";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000"
"8pm";"1495.094";"   0.000";"   0.000";"   0.000";"   0.000";"1115.654";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 997.900";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000"
"9pm";"1123.978";"   0.000";"   0.000";"   0.000";"   0.000";" 909.060";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0"
"10pm";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"576.139";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0"
"11pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0"
"12pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";"0"
"1am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";"0"
"2am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";"0"
"3am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";"0"
