"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402";"59.8598618494402"
"4am";"15.992773";"11.349643";"27.374479";"14.052668";"11.168244";"26.973385";"16.884443";"17.468604";" 9.518539";"11.051585";"10.004296";"12.982556";"13.675359";"10.712008";"13.250285";" 4.813245";" 6.730001";" 3.387296";" 6.186278";"15.103574";"12.879706";"21.811541";" 9.826713";"19.073340";"28.768136";" 2.270277";" 8.507078";" 6.686959";" 6.555488";" 8.013335";" 8.776555";"14.769925";" 4.379850";"16.388504";" 5.764551";" 4.256979";" 6.323347";" 6.363991";" 5.217454";" 5.599750";" 2.637594";"10.718716";" 3.118824";" 3.281820";" 4.220020";" 6.919549";" 3.881637";" 3.575386";"12.330174";" 3.499197";" 6.311199";"10.394469"
"5am";"14.918580";"10.908573";"28.093256";"12.892853";"11.013821";"26.424327";"16.480555";"17.264756";" 9.576954";"11.149607";"10.320227";"13.113173";"13.440341";"10.647949";"13.422466";" 4.858596";" 7.841963";" 3.747507";" 6.460093";"14.353906";"13.507097";"21.891875";"10.081623";"18.837264";"28.797786";" 2.403107";" 7.835818";" 6.741239";" 6.036724";" 8.129445";" 9.040650";"15.322698";" 4.510068";"15.938027";" 5.764551";" 4.372407";" 6.323347";" 7.649661";" 4.846599";" 5.583705";" 2.629339";"10.985182";" 3.146528";" 2.310616";" 4.205969";" 6.988043";" 3.824322";" 3.529122";"12.855781";" 3.544041";" 6.354952";"10.488877"
"6am";"17.183490";"10.817557";"27.103440";"12.350206";"10.976668";"26.066508";"16.099834";"16.892284";" 9.934712";"11.742269";" 9.413671";"12.288495";"13.533793";"10.574483";"12.784989";" 4.945794";" 7.733888";" 4.120137";" 6.951580";"14.246827";"14.454548";"19.901662";"12.214955";"19.841390";"29.980111";" 2.660774";" 8.288667";" 5.211280";" 6.751632";" 9.328599";" 9.169950";"14.667123";" 4.782892";"16.252399";" 6.103949";" 4.842697";" 6.793440";" 7.693890";" 5.006686";" 5.690982";" 2.622452";"10.899072";" 3.246293";" 2.384793";" 4.461317";" 7.278211";" 4.071987";" 3.527662";"13.116956";" 3.636205";" 6.840710";"11.833634"
"7am";"17.410789";"13.596297";"22.839847";"11.824048";"11.980008";"20.336006";"14.704496";"15.850615";"11.105239";"15.944786";"11.581263";" 9.911641";"12.999439";" 8.667818";"11.806927";" 5.322131";" 8.257707";" 4.559730";" 9.142855";"12.967988";"16.849868";"17.894029";"14.367663";"18.493036";"29.082788";" 3.414107";" 8.016714";" 8.451707";" 7.535662";"10.098230";" 8.714333";"14.405979";" 5.593737";"15.633545";" 7.238184";" 4.939174";" 6.637149";" 6.993670";" 6.563784";" 4.091136";" 3.703518";"11.316416";" 3.694882";" 2.521674";" 3.615667";" 6.170793";" 7.812765";" 4.274815";"13.259313";" 3.477969";" 6.985048";"14.170156"
"8am";"13.774565";"15.649022";"21.819103";"11.152631";"11.075790";"17.718307";"13.399836";"14.232046";"11.403850";"17.634081";"11.007475";" 9.278161";"14.301056";" 8.513948";"12.245141";" 5.324831";" 7.968476";" 4.716221";" 9.672573";"12.947927";"17.948651";"17.143707";"14.318976";"18.367012";"27.841688";" 3.053639";" 7.726406";" 7.722236";" 7.250015";"11.288109";" 9.427677";"14.930163";" 8.590882";"14.579624";" 7.765829";" 5.763298";" 5.649991";" 7.886458";" 5.821722";" 4.581102";" 4.146613";" 8.979973";" 4.017990";" 3.019481";" 3.169067";" 6.985167";" 8.735824";" 4.173789";"11.382703";" 3.901295";" 7.712338";"15.192302"
"9am";"14.053000";"15.226532";"21.451977";"10.298881";"10.606931";"17.945114";"12.930287";"13.907505";" 9.706451";"18.807676";"11.297987";" 9.320728";"14.064419";" 8.868629";"11.879023";" 8.804047";" 6.994767";" 3.941695";" 9.228185";"13.270462";"16.671399";"16.453228";"15.657230";"18.688410";"27.755616";" 4.225367";" 8.147068";" 7.619398";" 7.385577";"10.975046";" 8.806097";"15.909606";" 8.945264";"14.773631";" 6.413001";" 4.301406";" 7.401726";" 7.986974";" 6.547759";" 2.389090";" 4.440817";" 8.394138";" 3.424346";" 2.947004";" 2.702216";" 7.153546";" 8.979398";" 4.257523";"11.265555";" 3.919861";" 7.210647";"16.312057"
"10am";"15.121367";"13.647084";"22.362121";"10.916135";"13.038053";"17.637348";"12.847891";"14.238020";" 9.746605";"23.156369";" 7.140367";" 8.323720";"14.841734";" 8.965823";"11.811488";" 6.344535";" 7.648010";" 4.298137";" 9.088108";"13.945892";"17.729352";"17.208968";"14.434763";"17.453290";"27.395601";" 3.913714";" 8.533519";"10.356509";" 8.359166";"11.666862";" 7.818644";"15.249334";" 7.974879";"14.662495";" 5.955739";" 4.294526";" 8.140549";" 8.121540";" 5.930754";" 4.042213";" 6.802128";" 8.436434";" 4.438922";" 3.064207";" 2.659858";" 5.884262";" 9.622833";" 4.239909";"13.565036";" 4.066748";" 8.742406";"15.784853"
"11am";"13.893050";"13.166784";"24.183948";"12.841720";"12.223558";"18.874429";"14.851452";"14.703800";" 9.799359";"19.640201";" 9.257668";" 8.477303";"15.786164";" 8.615686";"11.518660";" 6.395908";" 6.614662";" 3.730962";" 9.685732";"12.990385";"17.212430";"15.799272";"15.200650";"20.254606";"25.990902";" 3.917095";" 8.690597";" 9.067223";" 8.818450";"12.397548";" 7.720030";"14.464781";" 8.186512";"14.258938";" 5.954283";" 3.510654";" 8.026410";" 8.157854";" 6.160936";" 3.934369";" 7.608133";" 8.675662";" 3.317962";" 1.683816";" 2.650431";" 5.937462";" 9.596141";" 4.154096";"12.931029";" 3.996176";"10.155347";"16.462216"
