"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12";"11850.12"
"4am";"2185.136";" 941.174";"1082.490";" 652.152";" 705.588";" 780.652";"1434.545";" 854.452";" 624.092";" 514.411";" 561.929";" 294.207";"1316.394";" 911.921";"1481.663";" 782.734";" 438.807";" 506.308";" 200.082";" 619.133";" 636.400";" 371.641";"  57.936";" 657.070";" 595.198";" 109.198";" 221.141";" 142.114";" 103.536";" 238.566";"  43.724";" 528.448";"  84.872";" 627.125";" 238.273";"  85.442";"  41.451";" 291.093";" 796.276";" 211.640";" 236.330";" 250.725";" 146.617";"  60.029";" 312.612";" 411.628";" 212.792";" 389.237";" 813.221";" 340.872";"  74.105";" 224.108"
"5am";"1993.221";" 941.174";"1274.405";" 652.152";" 705.588";" 780.652";"1434.545";" 854.452";" 624.092";" 514.411";" 561.929";" 294.207";"1316.394";" 911.921";"1481.663";" 734.242";" 438.807";" 506.308";" 200.082";" 619.133";" 636.400";" 371.641";"  57.936";" 657.070";" 595.198";" 109.198";" 221.141";" 142.114";" 103.536";" 238.566";"  43.724";" 528.448";"  84.872";" 627.125";" 238.273";"  85.442";"  41.451";" 291.093";" 796.276";" 211.640";" 236.330";" 250.725";" 146.617";"  60.029";" 312.612";" 411.628";" 212.792";" 389.237";" 813.221";" 340.872";"  74.105";" 224.108"
"6am";"2185.136";" 941.174";"1082.490";" 652.152";" 705.588";" 780.652";"1434.545";" 854.452";" 624.092";" 514.411";" 561.929";" 387.941";"1316.394";" 911.921";"1481.663";" 734.242";" 438.807";" 506.308";" 200.082";" 619.133";" 542.666";" 371.641";"  57.936";" 657.070";" 595.198";" 109.198";" 221.141";" 142.114";" 103.536";" 238.566";"  61.574";" 528.448";"  84.872";" 627.125";" 238.273";"  85.442";"  41.451";" 291.093";" 844.768";" 211.640";" 236.330";" 250.725";" 146.617";"  60.029";" 312.612";" 411.628";" 212.792";" 389.237";" 813.221";" 340.872";"  74.105";" 206.258"
"7am";"2185.136";" 941.174";"1082.490";" 595.554";" 756.326";" 729.914";"1434.545";" 854.452";" 624.092";" 514.411";" 561.929";" 350.805";"1316.394";" 911.921";"1481.663";" 734.242";" 438.807";" 431.690";" 200.082";" 619.133";" 636.400";" 371.641";"  57.936";" 657.070";" 595.198";" 109.198";" 158.077";"  87.337";" 103.536";" 259.493";"  40.647";" 528.448";"  84.872";" 627.125";" 238.273";"  85.442";"  41.451";" 291.093";" 844.768";" 211.640";" 236.330";" 250.725";" 146.617";"  60.029";" 266.677";" 411.628";" 212.792";" 389.237";" 813.221";" 340.872";"  74.105";" 206.258"
"8am";"2200.457";" 941.174";"1145.501";" 595.554";" 705.588";" 886.868";"1358.655";" 620.603";" 835.563";" 514.411";" 561.929";" 405.344";"1255.801";" 824.231";"1542.309";" 778.087";" 532.572";" 431.690";" 200.082";" 716.103";" 542.666";" 371.641";"  99.076";" 612.694";" 608.151";"  96.245";" 158.077";"  87.337";"  87.007";" 259.493";"  22.797";" 462.320";"  84.872";" 659.144";" 146.598";"  85.442";"  41.451";" 291.093";" 792.676";" 173.542";" 236.330";" 210.014";" 146.617";"  60.029";" 220.742";" 411.628";" 212.792";" 303.768";" 813.221";" 340.872";"  55.231";" 224.108"
"9am";"2657.148";"1182.517";" 967.764";" 595.554";" 629.319";" 824.005";"1426.859";" 620.603";" 700.246";" 506.272";" 424.747";" 510.577";"1223.106";" 745.426";"1454.741";" 661.101";" 708.805";" 407.460";" 174.205";" 671.727";" 602.284";" 416.017";"  99.076";" 558.226";" 608.151";"  96.245";" 158.077";"  87.337";"  87.007";" 179.971";"  22.797";" 462.320";"  84.872";" 696.805";" 146.598";"  44.715";"  41.451";" 253.432";" 880.440";" 173.542";" 198.716";" 210.014";" 146.617";"  60.029";" 220.742";" 457.563";" 212.792";" 303.768";" 813.221";" 274.098";"  55.231";" 192.498"
"10am";"2986.225";"1082.944";" 882.099";" 541.524";" 826.556";" 757.818";"1494.494";" 669.095";" 755.308";" 461.800";" 375.237";" 538.544";"1270.385";" 745.426";"1447.209";" 495.623";" 490.106";" 358.968";" 200.082";" 577.993";" 657.322";" 644.749";"  78.667";" 474.854";" 703.164";"  96.245";"  63.064";"  87.337";"  87.007";" 179.971";"  22.797";" 576.424";"  84.872";" 630.734";" 118.961";"  44.715";"  41.451";" 321.311";" 786.556";" 211.640";" 161.102";" 210.014";" 185.921";"  60.029";" 287.516";" 671.575";" 141.697";" 303.768";" 670.304";" 196.674";"  55.231";" 224.108"
"11am";"2741.865";" 970.797";"1136.958";" 652.152";" 662.157";" 840.928";"1418.018";" 837.208";" 643.648";" 336.498";" 408.756";" 408.533";"1157.669";" 745.426";"1374.445";" 681.103";" 492.871";" 431.690";" 200.082";" 577.993";" 597.704";" 517.001";"  99.076";" 602.602";" 690.211";" 109.198";"  63.064";"  87.337";"  87.007";" 207.608";"  22.797";" 576.424";"  84.872";" 663.847";" 150.980";"  44.715";"  41.451";" 266.847";" 842.342";" 256.112";" 198.716";" 210.014";"  72.298";"  60.029";" 220.742";" 625.640";" 141.697";" 303.768";" 670.304";" 196.674";"  55.231";" 224.108"
"12am";"2625.940";" 960.048";"1184.312";" 652.152";" 712.895";" 802.834";"1224.500";" 897.607";" 643.648";" 524.407";" 478.900";" 278.060";"1221.893";" 824.231";"1450.471";" 729.595";" 492.871";" 431.690";" 200.082";" 519.616";" 636.400";" 488.190";"  99.076";" 602.602";" 658.262";" 109.198";"  95.013";"  87.337";"  87.007";" 207.608";"  22.797";" 576.424";"  84.872";" 665.430";" 178.617";"  44.715";"  41.451";" 291.093";" 845.942";" 256.112";" 198.716";" 210.014";"  72.298";"  60.029";" 266.677";" 411.628";" 212.792";" 303.768";" 813.221";" 263.448";"  55.231";" 224.108"
"1pm";"2702.416";" 941.174";"1126.633";" 595.554";" 761.157";" 732.000";"1288.628";" 787.044";" 643.648";" 412.241";" 359.246";" 410.599";"1157.422";" 693.642";"1440.226";" 761.354";" 602.009";" 507.580";" 213.035";" 568.654";" 636.400";" 478.718";"  57.936";" 602.602";" 658.262";"  96.245";" 111.542";"  87.337";"  70.478";" 179.971";"  22.797";" 495.403";"  84.872";" 784.756";" 206.254";"  44.715";"  41.451";" 252.788";" 845.942";" 218.014";" 198.716";" 210.014";"  72.298";"  60.029";" 208.408";" 411.628";" 212.792";" 303.768";" 795.151";" 217.383";"  74.105";" 224.108"
"2pm";"2893.956";" 911.941";"1115.774";" 538.956";" 712.954";" 844.039";"1082.310";" 637.711";" 750.385";" 292.026";" 502.111";" 278.060";"1406.802";" 486.951";"1331.358";" 833.112";" 911.868";" 439.075";" 181.789";" 510.277";" 444.159";" 697.828";" 155.009";" 558.226";" 478.638";"  74.449";" 111.542";"  87.337";"  70.478";" 316.585";"  22.797";" 413.851";"  66.038";" 565.034";" 206.254";"  44.715";"  41.451";" 214.483";" 845.942";" 218.014";" 136.972";" 210.030";"  72.298";"  36.763";" 208.408";" 489.056";"  62.726";" 303.768";" 813.221";" 413.510";"  74.105";" 224.108"
"3pm";"2819.861";"1220.734";" 987.737";" 530.850";" 811.362";" 757.393";"1040.720";" 626.118";" 602.620";" 370.999";" 312.313";" 278.060";"1174.632";" 486.951";"1395.582";" 870.492";"1066.814";" 501.655";" 168.836";" 684.998";" 387.482";" 535.395";"  96.632";" 602.602";" 658.262";"  87.402";" 111.542";" 142.114";"  87.007";" 179.971";"  22.797";" 495.403";"  66.038";" 784.756";" 216.231";"  44.715";"  41.451";" 214.483";" 846.680";" 173.542";"  99.358";" 243.549";"  72.298";"  60.029";" 234.217";" 411.628";"  62.726";" 219.690";" 859.286";" 413.510";"  74.105";" 192.498"
"4pm";"2419.536";"1783.079";" 993.039";" 538.956";" 678.578";" 748.777";"1226.564";" 588.769";" 685.433";" 370.999";" 401.554";" 187.223";"1178.297";" 570.992";"1385.337";" 741.749";" 722.994";" 433.586";" 200.082";" 626.621";" 482.855";" 534.776";"  57.936";" 661.598";" 674.791";" 109.198";"  95.013";" 142.114";"  71.529";" 179.971";"  22.797";" 655.946";"  66.038";" 648.803";" 216.231";"  44.715";"  41.451";" 291.093";" 780.110";" 135.444";" 161.102";" 202.822";"  34.684";"  60.029";" 254.343";" 545.118";"  94.089";" 389.237";" 679.731";" 459.575";"  57.644";" 224.108"
"5pm";"1939.811";"1181.413";"1126.633";" 595.554";" 652.141";" 632.378";"1541.704";" 699.332";" 680.096";" 425.467";" 505.217";" 445.405";"1240.690";" 745.426";"1434.739";" 741.749";" 798.033";" 506.308";" 200.082";" 563.544";" 536.388";" 472.682";"  57.936";" 617.222";" 658.262";" 109.198";" 158.077";" 142.114";"  87.007";" 159.044";"  43.724";" 655.946";"  43.277";" 665.430";" 210.636";"  76.325";"  41.451";" 291.093";" 845.942";" 173.542";" 236.330";" 250.725";"  34.684";"  60.029";" 254.343";" 411.628";" 212.792";" 456.011";" 679.731";" 274.098";"  74.105";" 160.888"
"6pm";"2389.272";" 819.909";"1126.633";" 595.554";" 737.921";" 729.914";"1376.866";" 900.224";" 680.690";" 469.939";" 484.133";" 311.579";"1304.914";" 868.076";"1386.247";" 790.241";" 547.983";" 506.308";" 200.082";" 677.305";" 494.248";" 373.590";"  96.632";" 657.070";" 595.198";" 109.198";" 221.141";" 142.114";" 103.536";" 238.566";"  43.724";" 576.424";"  43.277";" 697.449";" 206.254";" 117.052";"  41.451";" 291.093";" 845.942";" 211.640";" 236.330";" 250.725";"  98.641";"  60.029";" 254.343";" 411.628";" 212.792";" 456.011";" 679.731";" 274.098";"  74.105";" 192.498"
"7pm";"2494.794";" 851.288";"1059.836";" 652.152";" 661.445";" 825.124";"1367.816";" 902.944";" 624.092";" 425.467";" 551.171";" 153.704";"1373.542";" 911.921";"1443.817";" 688.826";" 561.300";" 506.308";" 200.082";" 619.133";" 691.128";" 316.913";"  57.936";" 587.494";" 722.946";" 109.198";" 239.975";" 142.114";" 103.536";" 238.566";"  43.724";" 669.778";"  43.277";" 665.430";" 238.273";"  85.442";"  41.451";" 291.093";" 845.942";" 211.640";" 174.586";" 250.725";"  98.641";"  60.029";" 254.343";" 411.628";" 212.792";" 456.011";" 679.731";" 274.098";"  74.105";" 174.648"
"8pm";"2597.553";" 851.288";"1059.836";" 652.152";" 661.445";" 875.862";"1363.329";" 854.452";" 624.092";" 425.467";" 584.690";" 120.185";"1373.542";" 911.921";"1443.817";" 737.318";" 503.031";" 506.308";" 200.082";" 619.133";" 636.400";" 384.594";"  57.936";" 587.494";" 722.946";"  74.449";" 239.975";" 142.114";" 103.536";" 238.566";"  43.724";" 621.802";"  43.277";" 665.430";" 238.273";"  85.442";"  41.451";" 291.093";" 845.942";" 211.640";" 174.586";" 250.725";" 146.617";"  60.029";" 312.612";" 411.628";" 212.792";" 456.011";" 679.731";" 274.098";"  74.105";" 174.648"
"9pm";"2530.876";" 975.644";"1126.633";" 652.152";" 661.445";" 875.862";"1305.650";" 854.452";" 624.092";" 469.939";" 584.690";" 120.185";"1307.958";" 911.921";"1386.247";" 794.888";" 438.807";" 506.308";" 200.082";" 619.133";" 694.572";" 384.594";"  57.936";" 529.322";" 722.946";"  74.449";" 239.975";" 142.114";" 103.536";" 238.566";"  43.724";" 621.802";"  43.277";" 665.430";" 238.273";"  85.442";"  41.451";" 291.093";" 845.942";" 211.640";" 174.586";" 250.725";" 146.617";"  60.029";" 312.612";" 474.639";" 212.792";" 456.011";" 813.221";" 274.098";"  74.105";" 174.648"
"10pm";"2506.407";" 975.644";"1126.633";" 652.152";" 661.445";" 760.443";"1305.650";" 854.452";" 624.092";" 514.411";" 561.929";" 120.185";"1241.229";" 911.921";"1481.663";" 794.888";" 438.807";" 506.308";" 200.082";" 619.133";" 694.572";" 384.594";"  57.936";" 529.322";" 722.946";"  74.449";" 239.975";" 142.114";" 103.536";" 238.566";"  43.724";" 621.802";"  66.038";" 665.430";" 238.273";"  85.442";"  41.451";" 291.093";" 845.942";" 211.640";" 174.586";" 250.725";" 146.617";"  60.029";" 312.612";" 474.639";" 212.792";" 456.011";" 813.221";" 274.098";"  74.105";" 174.648"
"11pm";"2426.932";" 851.288";"1126.633";" 652.152";" 661.445";" 760.443";"1430.058";" 854.452";" 624.092";" 514.411";" 561.929";" 244.541";"1241.229";" 911.921";"1481.663";" 794.888";" 438.807";" 506.308";" 200.082";" 619.133";" 694.572";" 371.641";"  57.936";" 529.322";" 722.946";" 109.198";" 239.975";" 142.114";" 103.536";" 238.566";"  43.724";" 621.802";"  66.038";" 627.125";" 238.273";"  85.442";"  41.451";" 329.398";" 845.942";" 211.640";" 174.586";" 250.725";" 146.617";"  60.029";" 312.612";" 474.639";" 212.792";" 456.011";" 813.221";" 274.098";"  74.105";" 192.498"
"12pm";"2355.985";" 851.288";"1126.633";" 652.152";" 680.279";" 831.390";"1430.058";" 854.452";" 624.092";" 514.411";" 561.929";" 244.541";"1255.748";" 911.921";"1481.663";" 843.380";" 438.807";" 506.308";" 200.082";" 619.133";" 694.572";" 371.641";"  57.936";" 529.322";" 722.946";" 109.198";" 221.141";" 142.114";" 103.536";" 238.566";"  43.724";" 621.802";"  66.038";" 627.125";" 238.273";"  85.442";"  41.451";" 329.398";" 845.942";" 211.640";" 174.586";" 250.725";" 146.617";"  60.029";" 312.612";" 411.628";" 212.792";" 456.011";" 813.221";" 274.098";"  74.105";" 192.498"
"1am";"2355.985";" 851.288";"1126.633";" 652.152";" 680.279";" 831.390";"1430.058";" 854.452";" 624.092";" 514.411";" 561.929";" 244.541";"1255.748";" 911.921";"1481.663";" 843.380";" 438.807";" 506.308";" 200.082";" 619.133";" 694.572";" 371.641";"  57.936";" 657.070";" 595.198";" 109.198";" 221.141";" 142.114";" 103.536";" 238.566";"  43.724";" 621.802";"  66.038";" 627.125";" 238.273";"  85.442";"  41.451";" 329.398";" 845.942";" 211.640";" 174.586";" 250.725";" 146.617";"  60.029";" 312.612";" 411.628";" 212.792";" 456.011";" 813.221";" 274.098";"  74.105";" 192.498"
"2am";"2355.985";" 851.288";"1126.633";" 652.152";" 680.279";" 831.390";"1430.058";" 854.452";" 624.092";" 514.411";" 561.929";" 244.541";"1255.748";" 911.921";"1481.663";" 843.380";" 438.807";" 506.308";" 200.082";" 619.133";" 694.572";" 371.641";"  57.936";" 657.070";" 595.198";" 109.198";" 221.141";" 142.114";" 103.536";" 238.566";"  43.724";" 621.802";"  66.038";" 627.125";" 238.273";"  85.442";"  41.451";" 329.398";" 845.942";" 211.640";" 174.586";" 250.725";" 146.617";"  60.029";" 312.612";" 411.628";" 212.792";" 456.011";" 813.221";" 274.098";"  74.105";" 192.498"
"3am";"2355.985";" 851.288";"1126.633";" 652.152";" 680.279";" 831.390";"1430.058";" 854.452";" 624.092";" 514.411";" 561.929";" 244.541";"1255.748";" 911.921";"1481.663";" 843.380";" 438.807";" 506.308";" 200.082";" 619.133";" 694.572";" 371.641";"  57.936";" 657.070";" 595.198";" 109.198";" 221.141";" 142.114";" 103.536";" 238.566";"  43.724";" 621.802";"  66.038";" 627.125";" 238.273";"  85.442";"  41.451";" 329.398";" 845.942";" 211.640";" 174.586";" 250.725";" 146.617";"  60.029";" 312.612";" 411.628";" 212.792";" 456.011";" 813.221";" 274.098";"  74.105";" 192.498"
