"variable","CODE_SEC","RES_SEC","W_IND"
"h6","022","021",144.842
"h6","022","023",68.237
"h6","022","025",58.17
"h6","022","027",136.992
"h6","022","028",135.931
"h6","024","013",63.011
"h6","024","018",96.011
"h6","024","020",62.899
"h6","024","022",34.758
"h6","024","023",31.223
"h6","024","025",52.94
"h6","024","026",18.125
"h6","024","027",76.128
"h6","024","028",118.534
"h7","001","014",293.435
"h7","001","016",57.57
"h7","001","017",151.41
"h7","001","018",72.722
"h7","001","020",55.384
"h7","001","022",167.885
"h7","001","023",37.527
"h7","001","024",63.874
"h7","001","025",58.17
"h7","001","027",31.949
"h7","002","013",68.37
"h7","002","014",130.589
"h7","002","015",134.763
"h7","002","016",109.826
"h7","002","017",293.942
"h7","002","018",483.127
"h7","002","021",43.335
"h7","002","022",54.728
"h7","002","023",58.15
"h7","002","024",170.29
"h7","002","025",80.019
"h7","002","026",52.451
"h7","002","027",31.949
"h7","002","028",27.715
"h7","003","013",60.646
"h7","003","014",43.845
"h7","003","015",95.416
"h7","003","016",48.492
"h7","003","017",62.568
"h7","003","018",264.744
"h7","003","020",58.377
"h7","003","021",56.677
"h7","003","022",88.954
"h7","006","014",382.712
"h7","006","015",95.416
"h7","006","016",100.748
"h7","006","017",530.577
"h7","006","018",750.084
"h7","006","021",150.411
"h7","006","022",54.728
"h7","006","024",44.376
"h7","006","026",13.19
"h7","006","027",44.179
"h7","006","034",112.698
"h7","007","013",128.448
"h7","007","014",253.239
"h7","007","015",161.461
"h7","007","016",57.57
"h7","007","017",66.185
"h7","007","018",143.123
"h7","007","022",54.728
"h7","007","025",58.17
"h7","007","026",17.465
"h7","007","028",54.777
"h7","009","013",64.224
"h7","009","015",134.763
"h7","009","016",48.492
"h7","009","017",62.568
"h7","009","018",74.618
"h7","009","026",62.63
"h7","009","027",44.179
"h7","009","028",54.777
"h7","009","034",47.742
"h7","012","013",195.605
"h7","012","016",100.748
"h7","012","017",346.348
"h7","012","018",273.612
"h7","012","020",50.479
"h7","012","021",43.335
"h7","012","022",93.754
"h7","012","023",64.946
"h7","012","025",52.94
"h7","012","026",13.19
"h7","012","034",112.698
"h7","013","014",288.199
"h7","013","015",504.883
"h7","013","016",57.57
"h7","013","018",175.063
"h7","013","021",93.734
"h7","013","023",17.118
"h7","013","024",45.241
"h7","013","028",37.38
"h7","015","013",277.644
"h7","015","014",996.159
"h7","015","016",329.478
"h7","015","020",62.899
"h7","015","022",58.996
"h7","017","013",121.292
"h7","017","014",206.691
"h7","017","015",167.594
"h7","017","016",52.256
"h7","017","018",209.732
"h7","017","023",31.223
"h7","017","024",44.376
"h7","017","028",65.095
"h7","018","013",127.235
"h7","018","014",421.321
"h7","018","015",76.026
"h7","018","017",307.422
"h7","018","020",41.14
"h7","018","022",163.617
"h7","018","024",63.874
"h7","018","026",30.655
"h7","018","028",23.38
"h7","020","021",308.595
"h7","020","022",88.954
"h7","020","023",101.508
"h7","020","026",26.38
"h7","020","027",44.179
"h7","020","028",115.337
"h7","022","020",176.277
"h7","022","021",244.854
"h7","022","023",99.46
"h7","022","024",169.425
"h7","022","025",138.189
"h7","022","026",31.078
"h7","022","027",136.992
"h7","022","028",282.865
"h7","023","020",266.75
"h7","023","021",382.843
"h7","023","022",54.693
"h7","023","025",58.17
"h7","023","026",26.38
"h7","023","028",118.534
"h7","024","013",63.011
"h7","024","016",57.57
"h7","024","018",245.247
"h7","024","020",104.039
"h7","024","021",113.354
"h7","024","022",124.209
"h7","024","023",140.492
"h7","024","025",52.94
"h7","024","026",80.095
"h7","024","027",164.486
"h7","024","028",218.423
"h7","025","015",95.416
"h7","025","020",50.479
"h7","025","021",138.708
"h7","025","022",109.456
"h7","025","023",31.223
"h7","025","024",405.319
"h7","025","026",101.303
"h7","025","027",384.456
"h7","025","028",23.38
"h7","039","016",48.492
"h7","039","017",205.1
"h7","039","018",175.063
"h7","039","022",34.758
"h7","039","023",23.914
"h7","039","024",45.241
"h7","039","028",54.777
"h7","039","034",181.417
"h8","001","013",64.224
"h8","001","014",1032.51
"h8","001","015",76.026
"h8","001","016",158.318
"h8","001","017",487.815
"h8","001","018",284.35
"h8","001","020",55.384
"h8","001","022",222.081
"h8","001","023",57.936
"h8","001","024",63.874
"h8","001","025",58.17
"h8","001","026",12.953
"h8","001","027",75.489
"h8","002","013",161.711
"h8","002","014",130.589
"h8","002","015",134.763
"h8","002","016",167.396
"h8","002","017",600.379
"h8","002","018",825.244
"h8","002","020",62.899
"h8","002","021",43.335
"h8","002","022",54.728
"h8","002","023",105.978
"h8","002","024",125.049
"h8","002","025",80.019
"h8","002","026",87.381
"h8","002","027",31.949
"h8","002","028",27.715
"h8","003","013",186.668
"h8","003","014",43.845
"h8","003","015",95.416
"h8","003","016",154.554
"h8","003","017",128.753
"h8","003","018",339.362
"h8","003","020",58.377
"h8","003","021",56.677
"h8","003","022",88.954
"h8","005","013",132.594
"h8","005","016",126.064
"h8","005","017",142.532
"h8","005","018",273.612
"h8","005","020",62.899
"h8","005","023",54.259
"h8","005","026",13.19
"h8","006","013",68.37
"h8","006","014",472.325
"h8","006","015",180.851
"h8","006","016",100.748
"h8","006","017",715.572
"h8","006","018",750.084
"h8","006","021",244.145
"h8","006","022",108.924
"h8","006","023",44.323
"h8","006","024",108.25
"h8","006","026",48.78
"h8","006","027",88.358
"h8","006","028",81.154
"h8","006","034",112.698
"h8","007","013",192.672
"h8","007","014",554.613
"h8","007","015",161.461
"h8","007","016",163.632
"h8","007","017",122.427
"h8","007","018",634.884
"h8","007","022",109.456
"h8","007","023",37.527
"h8","007","025",58.17
"h8","007","026",17.465
"h8","007","027",44.179
"h8","007","028",92.157
"h8","009","013",64.224
"h8","009","015",134.763
"h8","009","016",96.984
"h8","009","017",62.568
"h8","009","018",149.236
"h8","009","023",31.223
"h8","009","026",89.01
"h8","009","027",44.179
"h8","009","028",54.777
"h8","009","034",47.742
"h8","011","013",68.37
"h8","011","015",183.136
"h8","011","016",167.396
"h8","011","018",72.722
"h8","011","020",55.384
"h8","011","023",20.409
"h8","011","025",58.39
"h8","011","026",39.096
"h8","012","013",332.345
"h8","012","016",153.004
"h8","012","017",497.758
"h8","012","018",173.167
"h8","012","020",50.479
"h8","012","021",86.67
"h8","012","022",93.754
"h8","012","023",85.355
"h8","012","024",44.376
"h8","012","025",105.88
"h8","012","026",30.655
"h8","012","027",63.064
"h8","012","034",112.698
"h8","013","014",502.829
"h8","013","015",596.451
"h8","013","016",259.066
"h8","013","017",88.842
"h8","013","018",175.063
"h8","013","021",137.069
"h8","013","023",17.118
"h8","013","024",45.241
"h8","013","026",13.19
"h8","013","027",63.064
"h8","013","028",37.38
"h8","015","013",494.642
"h8","015","014",1126.748
"h8","015","016",680.214
"h8","015","020",62.899
"h8","015","022",58.996
"h8","015","028",27.715
"h8","017","013",253.886
"h8","017","014",285.496
"h8","017","015",358.426
"h8","017","016",167.396
"h8","017","018",209.732
"h8","017","020",105.863
"h8","017","022",109.456
"h8","017","023",48.341
"h8","017","024",44.376
"h8","017","026",48.78
"h8","017","028",146.249
"h8","017","034",68.719
"h8","018","013",195.605
"h8","018","014",421.321
"h8","018","015",76.026
"h8","018","016",57.57
"h8","018","017",251.18
"h8","018","020",41.14
"h8","018","021",82.031
"h8","018","022",163.617
"h8","018","024",189.788
"h8","018","026",48.12
"h8","018","028",23.38
"h8","020","013",64.224
"h8","020","018",72.722
"h8","020","021",496.063
"h8","020","022",202.146
"h8","020","023",142.54
"h8","020","024",88.752
"h8","020","025",58.39
"h8","020","026",26.38
"h8","020","027",88.358
"h8","020","028",77.957
"h8","021","020",179.653
"h8","021","022",54.693
"h8","021","023",101.722
"h8","021","024",63.874
"h8","021","025",58.17
"h8","021","026",12.953
"h8","021","028",141.914
"h8","022","017",66.185
"h8","022","018",245.889
"h8","022","020",335.7
"h8","022","021",589.72
"h8","022","023",240.957
"h8","022","024",478.137
"h8","022","025",138.189
"h8","022","026",66.668
"h8","022","027",224.711
"h8","022","028",360.822
"h8","023","016",68.494
"h8","023","018",68.505
"h8","023","020",307.89
"h8","023","021",421.539
"h8","023","022",237.933
"h8","023","024",125.049
"h8","023","025",58.17
"h8","023","026",26.38
"h8","023","028",237.268
"h8","024","013",63.011
"h8","024","016",57.57
"h8","024","018",317.969
"h8","024","020",166.938
"h8","024","021",284.88
"h8","024","022",158.967
"h8","024","023",123.374
"h8","024","025",105.88
"h8","024","026",123.466
"h8","024","027",259.499
"h8","024","028",282.38
"h8","025","015",95.416
"h8","025","017",56.242
"h8","025","020",50.479
"h8","025","021",138.708
"h8","025","022",109.456
"h8","025","023",62.446
"h8","025","024",764.532
"h8","025","026",162.799
"h8","025","027",717.971
"h8","025","028",23.38
"h8","039","014",43.845
"h8","039","016",48.492
"h8","039","017",382.784
"h8","039","018",348.23
"h8","039","022",34.758
"h8","039","023",23.914
"h8","039","024",45.241
"h8","039","027",63.064
"h8","039","028",54.777
"h8","039","034",297.599
"h9","001","013",64.224
"h9","001","014",1111.315
"h9","001","015",171.442
"h9","001","016",255.302
"h9","001","017",487.815
"h9","001","018",429.794
"h9","001","020",55.384
"h9","001","022",276.809
"h9","001","023",57.936
"h9","001","024",63.874
"h9","001","025",127.251
"h9","001","026",12.953
"h9","001","027",75.489
"h9","002","013",283.003
"h9","002","014",130.589
"h9","002","015",134.763
"h9","002","016",277.222
"h9","002","017",369.005
"h9","002","018",925.689
"h9","002","020",62.899
"h9","002","021",43.335
"h9","002","022",54.728
"h9","002","023",105.978
"h9","002","024",125.049
"h9","002","025",80.019
"h9","002","026",87.381
"h9","002","027",63.898
"h9","002","028",27.715
"h9","003","013",247.314
"h9","003","014",43.845
"h9","003","015",95.416
"h9","003","016",154.554
"h9","003","017",128.753
"h9","003","018",339.362
"h9","003","020",121.276
"h9","003","021",56.677
"h9","003","022",88.954
"h9","003","025",58.17
"h9","005","013",132.594
"h9","005","016",126.064
"h9","005","017",274.902
"h9","005","018",422.848
"h9","005","020",125.798
"h9","005","023",54.259
"h9","005","026",13.19
"h9","006","013",129.016
"h9","006","014",551.13
"h9","006","015",256.877
"h9","006","016",100.748
"h9","006","017",537.888
"h9","006","018",818.589
"h9","006","021",244.145
"h9","006","022",108.924
"h9","006","023",68.237
"h9","006","024",108.25
"h9","006","026",13.19
"h9","006","027",88.358
"h9","006","028",81.154
"h9","006","034",112.698
"h9","007","013",253.318
"h9","007","014",554.613
"h9","007","015",161.461
"h9","007","016",163.632
"h9","007","017",122.427
"h9","007","018",846.512
"h9","007","022",109.456
"h9","007","023",37.527
"h9","007","025",58.17
"h9","007","026",17.465
"h9","007","027",44.179
"h9","007","028",129.537
"h9","008","013",220.576
"h9","008","015",58.737
"h9","008","016",52.256
"h9","008","017",155.027
"h9","008","018",68.505
"h9","008","020",104.039
"h9","008","022",109.421
"h9","008","027",44.179
"h9","008","028",40.577
"h9","009","013",64.224
"h9","009","015",134.763
"h9","009","016",96.984
"h9","009","017",138.915
"h9","009","018",149.236
"h9","009","023",31.223
"h9","009","026",89.01
"h9","009","027",44.179
"h9","009","028",54.777
"h9","009","034",47.742
"h9","011","014",78.805
"h9","011","015",183.136
"h9","011","016",219.652
"h9","011","018",72.722
"h9","011","020",55.384
"h9","011","023",20.409
"h9","011","025",58.39
"h9","011","026",39.096
"h9","012","013",400.715
"h9","012","016",100.748
"h9","012","017",497.758
"h9","012","018",241.672
"h9","012","020",50.479
"h9","012","021",86.67
"h9","012","022",93.754
