"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";" 98.8211874";" 99.0223654";" 99.1812264";"100.0000000";" 98.7729780";" 96.2754432";" 95.8364034";" 99.3518871";" 99.5604196";" 99.4434666";" 97.6263621";" 99.1378172";"  0.3273717";"  0.0000000";"  0.4818334";"  0.0000000";"  2.3820872";"  1.7781914";"  0.0000000";"  0.0000000";"  0.0000000";"  0.7496987";"  0.0000000";"  1.0619565";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.9467698";"  0.0000000";"  0.0000000";"  0.0000000";"  0.4659061";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.7715527";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"5am";" 98.8112851";" 98.2647813";" 97.2622623";"100.0000000";" 98.4370741";" 92.8208679";" 95.3784706";" 99.3381638";" 98.9420127";" 99.4389379";" 98.4523253";" 98.9082659";"  0.3315014";"  0.0000000";"  1.4541955";"  0.0000000";"  4.9051473";"  2.6581147";"  0.0000000";"  0.0000000";"  0.7622927";"  0.7663973";"  0.0000000";"  1.0539543";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.9604881";"  0.0000000";"  0.0000000";"  0.0000000";"  0.4697670";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  5.4096266";"  0.0000000";"  0.7691380";"  0.0000000";"  0.0000000";"  0.0000000";"  0.6063953";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"6am";"97.3397113";"97.9109186";"94.6929679";"97.4304602";"96.8920837";"89.5948037";"95.1799008";"98.7578099";"98.9054022";"98.6772586";"95.9124772";"95.3648872";" 0.3337919";" 2.1590302";" 0.9650235";" 0.0000000";" 7.7947975";" 4.1777961";" 0.0000000";" 0.0000000";" 2.6654471";" 1.4211100";" 0.0000000";" 1.0935154";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 1.0038851";" 0.0000000";" 0.0000000";" 0.0000000";" 0.4790329";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 5.9182691";" 0.0000000";" 0.7671234";" 0.0000000";" 0.0000000";" 0.0000000";" 0.6432102";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000"
"7am";"90.7855223";"86.1526208";"85.6124538";"90.8279201";"90.9893774";"72.9094741";"84.4590162";"94.2949921";"90.8110193";"90.7805440";"92.6842775";"83.9183132";" 1.7607449";" 4.9274689";" 2.5841390";" 0.0000000";"15.5376804";" 8.5528462";" 1.5221400";" 0.8047029";" 4.1148031";" 4.8704524";" 0.0000000";" 2.7699524";" 1.6912765";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 3.9500424";" 0.0000000";" 0.0000000";" 0.0000000";" 1.7257245";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 8.2784513";" 1.1025258";" 1.9543763";" 0.0000000";" 1.2880794";" 0.0000000";" 0.7078789";" 1.4021228";" 0.6903412";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000"
"8am";"79.9700276";"79.3423602";"79.5949885";"88.9568059";"84.2786087";"65.4353455";"75.8033047";"87.7730269";"88.7052224";"89.5947496";"83.3191835";"77.0594122";" 3.3633174";" 7.2582608";" 4.6411183";" 0.0000000";"19.6602665";"12.8165382";" 1.6089108";" 0.8143251";" 4.4880086";" 6.5116509";" 0.0000000";" 2.9106462";" 2.7817499";" 0.0000000";" 1.1904448";" 0.0000000";" 0.0000000";" 4.5238610";" 0.0000000";" 1.3707151";" 0.0000000";" 2.3661639";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 7.6010164";" 1.2345672";" 4.8288219";" 0.0000000";" 1.4007188";" 0.0000000";" 0.7429402";" 2.9551824";" 1.3977177";" 1.1174194";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000"
"9am";"77.8879459";"76.6590617";"76.4684346";"87.2806091";"81.0543369";"63.9242510";"73.8592623";"86.0351802";"87.1072994";"86.3627280";"82.0753960";"76.0754113";" 4.7864008";" 7.6837992";" 5.4173554";" 0.0000000";"21.8673857";"13.2506947";" 3.5753482";" 0.8858867";" 5.3918129";" 7.4310540";" 0.0000000";" 3.2004233";" 3.4299344";" 0.0000000";" 1.2552583";" 0.0000000";" 0.0000000";" 4.7432267";" 0.0000000";" 2.4299464";" 0.0000000";" 2.5239337";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 8.7789532";" 2.3889403";" 5.8383746";" 0.0000000";" 1.4661158";" 0.0000000";" 0.7894196";" 3.0253970";" 2.4969473";" 1.1398370";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000"
"10am";"76.6669671";"76.4343023";"77.6684731";"84.9750646";"78.5629767";"61.9296781";"73.1446574";"85.3696622";"85.8493386";"86.5755680";"80.6680128";"76.5908891";" 5.0887753";" 8.0543566";" 5.7870239";" 0.0000000";"22.0907739";"12.8848542";" 3.5219718";" 0.8759926";" 5.4597947";" 7.4243081";" 0.0000000";" 3.1828832";" 3.4611742";" 0.0000000";" 1.3148007";" 0.0000000";" 0.0000000";" 3.6241765";" 0.0000000";" 2.3477193";" 0.0000000";" 2.5587661";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 7.7849878";" 1.2941601";" 9.8844101";" 0.0000000";" 1.4325137";" 0.0000000";" 1.5544318";" 2.9400461";" 2.6758705";" 1.1351213";" 0.7421809";" 0.0000000";" 0.0000000";" 0.0000000"
"11am";"75.3934348";"77.3517557";"80.4157611";"87.9527666";"80.8059631";"66.2100948";"74.9143508";"87.7749386";"84.6278286";"87.3155141";"83.4975235";"76.3195807";" 4.1892324";" 7.8861037";" 5.3948751";" 0.7800200";"17.9294201";"13.6436267";" 2.8177354";" 0.8366674";" 4.4463921";" 7.6656926";" 0.0000000";" 3.0092822";" 2.3151458";" 0.0000000";" 1.3390025";" 0.0000000";" 0.0000000";" 4.6883022";" 0.0000000";" 2.3640236";" 0.0000000";" 2.2856350";" 2.8767448";" 0.0000000";" 0.0000000";" 0.0000000";" 7.9985595";" 2.5623947";" 8.3457263";" 2.3470648";" 1.4205683";" 0.0000000";" 1.5489987";" 2.9662541";" 4.3372432";" 1.1121470";" 0.7079429";" 0.0000000";" 0.0000000";" 0.0000000"
