"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727";"8040.727"
"4am";"  0.00";"  0.00";"  0.00";"0";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"0";"  0.00";"  0.00";"0";"  0.00";"0";"  0.00";"0";"  0.00";"  0.00";"0";"0";"0";"  0.00";"  0.00";"0";"  0.00";"  0.00";"  0.00";"  0.00";"0";"  0.00";"  0.00";"661.82";"  0.00";"  0.00";"0";"0";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"0";"0"
"5am";"   0.000";"   0.000";"   0.000";"0";"   0.000";" 894.572";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 756.963";" 711.761";"0";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1270.767";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0"
"6am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1566.624";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 667.141";" 779.284";" 584.478";"   0.000";"   0.000";"1041.571";"1343.166";"0";"   0.000";"   0.000";"   0.000";"   0.000";" 584.462";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 425.898";"   0.000";"0";"   0.000";"   0.000";"1598.765";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0"
"7am";"1564.500";"2324.040";"2067.897";"   0.000";"1056.338";"4572.503";"2437.676";"   0.000";" 971.583";"1094.117";" 991.617";"1492.904";"1595.913";"1207.159";"2017.193";"   0.000";"2224.973";"2633.151";"   0.000";"   0.000";"   0.000";" 998.062";"   0.000";"1167.464";" 979.340";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1033.836";"   0.000";"1016.787";"   0.000";"   0.000";"   0.000";" 706.876";"3117.536";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1595.592";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000"
"8am";"3356.677";"3067.781";"2591.861";" 732.601";"1533.885";"5991.120";"4108.130";"1073.812";"1545.412";"1505.597";"1359.090";"2478.640";"2355.342";"1473.438";"2579.660";" 856.688";"3299.821";"3227.830";"   0.000";" 604.059";"   0.000";"1635.885";" 930.440";"1460.374";"1518.154";"   0.000";"   0.000";"   0.000";"   0.000";" 742.662";"   0.000";" 914.952";"   0.000";"1511.360";"   0.000";"   0.000";"   0.000";" 831.204";"4170.813";" 663.215";" 756.057";"   0.000";"   0.000";"   0.000";" 845.262";"1739.330";" 853.282";"1188.575";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";"4294.459";"4019.927";"2763.647";" 662.638";"2283.194";"6087.899";"4725.715";"1251.768";"1573.361";"1822.829";"1441.899";"2652.198";"2290.319";"1592.846";"2949.789";" 775.932";"4120.749";"3444.789";"   0.000";" 559.683";" 775.094";"2149.704";" 963.195";"1492.486";"1623.730";"   0.000";"   0.000";"   0.000";"   0.000";" 760.635";"   0.000";"1095.120";"   0.000";"1911.377";"   0.000";"   0.000";"   0.000";" 916.396";"4473.985";" 698.395";" 802.142";"   0.000";"   0.000";"   0.000";" 837.412";"1794.711";" 964.366";"1167.771";"   0.000";"   0.000";"   0.000";"0"
"10am";"4816.973";"3655.992";"2582.876";" 708.573";"2388.012";"6121.634";"4542.091";"1454.101";"1713.552";"1675.244";"1498.915";"2816.708";"2213.828";"1557.972";"2876.873";" 729.558";"4236.933";"3499.310";"   0.000";" 713.328";" 842.411";"2174.320";" 897.010";"1558.952";"1430.226";"   0.000";"   0.000";"   0.000";"   0.000";" 675.137";"   0.000";" 955.911";"   0.000";"1858.002";"   0.000";"   0.000";"   0.000";"1059.987";"4658.311";" 735.421";"1057.815";" 606.472";"   0.000";"   0.000";" 857.308";"2072.507";" 900.582";"1323.687";" 687.907";"   0.000";"   0.000";"   0.000"
"11am";"4407.412";"3761.294";"2581.940";" 834.397";"2186.634";"5545.326";"4089.656";"1246.676";"1327.100";"1698.338";"1359.483";"2342.883";"1788.735";"1549.363";"2609.917";"   0.000";"3247.949";"3522.177";"   0.000";" 654.456";"   0.000";"1870.777";" 766.695";"1588.615";"1223.194";"   0.000";"   0.000";"   0.000";"   0.000";" 660.691";"   0.000";" 945.405";"   0.000";"1804.358";"   0.000";"   0.000";"   0.000";" 795.872";"4033.801";" 676.737";" 938.732";" 577.880";"   0.000";"   0.000";" 837.412";"1947.111";" 883.818";"1241.528";"   0.000";"   0.000";"   0.000";"0"
