"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264";"98.5272459499264"
"4am";"0.17094017";"0.00000000";"0.14204545";"0.36719706";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.30769231";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.26315789";"0.15082956";"0.00000000";"0.14619883";"0.14619883";"0.00000000";"0.30441400";"0.15082956";"0.08025682";"0.00000000";"0.00000000"
"5am";"0.16977929";"0.00000000";"0.14224751";"0.36674817";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.30737705";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.26954178";"0.15243902";"0.00000000";"0.14925373";"0.15174507";"0.00000000";"0.30959752";"0.15384615";"0.08103728";"0.00000000";"0.00000000"
"6am";"0.16638935";"0.00000000";"0.14347202";"0.46565774";"0.00000000";"0.00000000";"0.22222222";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.39370079";"0.00000000";"0.00000000";"0.00000000";"0.24125452";"0.00000000";"0.00000000";"0.28449502";"0.16501650";"0.00000000";"0.15948963";"0.16694491";"0.00000000";"0.32414911";"0.16155089";"0.08123477";"0.00000000";"0.00000000"
"7am";"0.4126547";"0.1677852";"0.3025719";"0.3314917";"0.1406470";"0.1919386";"0.3061224";"0.1485884";"0.0000000";"0.0000000";"0.3314917";"0.6134969";"0.2484472";"0.0000000";"0.0000000";"0.4497751";"0.2028398";"0.0000000";"0.5309735";"0.1976285";"0.0000000";"0.3773585";"0.5703422";"0.0000000";"0.5484461";"0.1845018";"0.2448980";"0.0000000";"0.4518072"
"8am";"0.7368421";"0.5272408";"0.9677419";"1.0351967";"0.6472492";"1.4084507";"0.7714561";"0.1432665";"0.3597122";"0.2281803";"2.6845638";"2.9579067";"0.9163803";"0.2457002";"0.0000000";"1.1965812";"1.2254902";"0.2801120";"0.6535948";"0.2247191";"0.1652893";"0.2150538";"0.6048387";"0.4264392";"0.8130081";"0.0000000";"1.8735363";"1.2072435";"0.9535161"
"9am";" 1.5337423";" 2.1897810";" 1.6835017";" 1.0319917";" 0.6289308";" 4.1152263";" 1.2149533";" 0.8522727";" 0.5747126";" 0.3225806";"10.6086957";" 6.5142857";" 1.7524644";" 0.2610966";" 0.0000000";" 1.2216405";" 3.0226700";" 0.0000000";" 0.9111617";" 0.7334963";" 0.8347245";" 0.2272727";" 0.8080808";" 0.6666667";" 1.2631579";" 0.2380952";" 3.7808642";" 0.8421053";" 2.7144408"
"10am";" 2.6422764";" 3.0685921";" 1.5410959";" 1.8867925";" 1.1410788";" 3.9419087";" 1.9830028";" 1.1544012";" 0.1980198";" 0.2678093";"16.1557581";" 8.3615819";" 2.4416136";" 2.3316062";" 0.0000000";" 1.9713262";" 5.0890585";" 0.3021148";" 1.8181818";" 0.4926108";" 0.6791171";" 1.1627907";" 1.6427105";" 0.7009346";" 0.8438819";" 0.2347418";" 5.4347826";" 1.2847966";" 2.9350105"
"11am";" 2.5562372";" 2.7027027";" 1.3468013";" 1.3713080";" 0.9433962";" 3.3613445";" 1.1605416";" 1.7167382";" 0.5736138";" 0.0000000";"13.5332253";" 8.4726867";" 2.2459893";" 0.7653061";" 0.0000000";" 1.0928962";" 4.1131105";" 0.2932551";" 1.6055046";" 0.4866180";" 1.6556291";" 1.3544018";" 1.0080645";" 0.6960557";" 0.4149378";" 0.2341920";" 4.2253521";" 0.6342495";" 3.0020704"
