"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683";"4.48179271708683"
"max";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465";"61.8581907090465"
"4am";"34.01709";"40.55375";"36.36364";"45.77723";"35.12658";"37.80687";"48.17768";"51.12444";"37.30159";"23.18105";"40.93264";"44.10256";"52.07254";"57.28716";"57.95455";"54.85714";"54.90196";"60.41308";"56.31579";"61.23680";"51.25926";"60.23392";"52.04678";"54.21133";"51.29376";"56.41026";"51.68539";"54.89051";"47.71242"
"5am";"34.46520";"40.74074";"36.13087";"45.35452";"34.99197";"36.98176";"48.35414";"51.35542";"36.38814";"23.38983";"41.87817";"43.95492";"51.74194";"57.56241";"57.99419";"54.52463";"54.60123";"60.55846";"55.92992";"60.97561";"51.11773";"59.55224";"51.44158";"53.67762";"51.54799";"56.00000";"51.53971";"54.43787";"48.93617"
"6am";"36.77205";"39.63816";"35.86801";"46.44936";"34.53355";"35.22124";"48.77778";"51.35542";"35.66434";"25.00000";"43.22981";"44.98031";"50.92105";"56.18153";"56.47426";"54.04101";"54.22078";"58.42491";"55.04979";"60.23102";"49.12560";"57.89474";"50.25042";"51.87713";"51.05348";"54.76575";"51.42161";"53.05810";"56.17021"
"7am";"40.99037";"42.28188";"36.91377";"46.51934";"31.36428";"35.31670";"50.10204";"48.43982";"34.47712";"28.19383";"47.95580";"47.13701";"50.43478";"55.22388";"54.92958";"53.07346";"51.72414";"57.04545";"55.57522";"60.47431";"51.48515";"56.60377";"51.14068";"52.20000";"53.19927";"52.95203";"52.97959";"51.37931";"59.39850"
"8am";"45.89474";"44.81547";"37.09677";"48.55072";"27.50809";"35.61368";"54.09836";"45.98854";"35.43165";"28.97889";"51.19847";"46.41638";"50.97365";"52.08845";"55.55556";"53.33333";"52.20588";"57.98319";"54.90196";"59.32584";"52.72727";"57.63441";"51.61290";"52.45203";"53.04878";"52.73523";"52.53708";"49.29577";"58.80952"
"9am";"46.11452";"44.16058";"37.87879";"49.12281";"27.98742";"36.21399";"53.83178";"45.31250";"35.05747";"28.60215";"51.30435";"48.22857";"50.93100";"52.21932";"53.95095";"52.70506";"53.65239";"58.95954";"56.49203";"61.85819";"52.58765";"56.36364";"49.89899";"53.55556";"52.84211";"52.85714";"53.08642";"49.47368";"59.65293"
"10am";"45.73171";"44.58484";"38.52740";"49.79036";"27.48963";"37.13693";"53.35222";"45.02165";"34.45545";"28.44135";"51.94698";"49.15254";"51.38004";"52.07254";"53.10734";"53.76344";"51.90840";"58.61027";"56.36364";"60.83744";"52.29202";"54.41860";"50.71869";"53.27103";"52.74262";"54.92958";"53.02795";"48.82227";"59.16230"
"11am";"46.01227";"44.68468";"37.54209";"50.31646";"26.83438";"38.65546";"53.48162";"46.20887";"33.65201";"28.84302";"50.48622";"49.05240";"51.01604";"52.55102";"52.85714";"55.00911";"53.72751";"57.77126";"55.50459";"60.34063";"51.65563";"54.62754";"51.20968";"52.66821";"53.73444";"53.39578";"53.36463";"47.78013";"59.15202"
