"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62";"6810.62"
"4am";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"804.8"
"5am";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"804.8"
"6am";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"814.86"
"7am";"120.72";"  0.00";"  0.00";"130.78";"120.72";"  0.00";"211.26";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"130.78";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"814.86"
"8am";"160.96";"  0.00";"  0.00";"271.62";"191.14";"  0.00";"543.24";"  0.00";"  0.00";"191.14";"352.10";"150.90";"221.32";"  0.00";"  0.00";"191.14";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"261.56";"130.78";"955.70"
"9am";" 321.92";" 160.96";" 140.84";" 482.88";" 301.80";"   0.00";" 875.22";" 150.90";"   0.00";" 301.80";" 905.40";" 362.16";" 402.40";"   0.00";"   0.00";" 261.56";" 140.84";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 130.78";"   0.00";"   0.00";"   0.00";" 553.30";" 181.08";"1277.62"
"10am";" 482.88";" 150.90";" 201.20";" 533.18";" 261.56";"   0.00";" 885.28";" 201.20";"   0.00";" 281.68";"1277.62";" 543.24";" 482.88";"   0.00";"   0.00";" 261.56";" 201.20";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 623.72";" 221.32";"1438.58"
"11am";" 432.58";" 140.84";" 171.02";" 392.34";" 201.20";" 130.78";" 613.66";" 130.78";"   0.00";" 221.32";"1438.58";" 432.58";" 382.28";"   0.00";"   0.00";" 231.38";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 503.00";" 251.50";"1569.36"
"12am";" 301.80";" 211.26";" 171.02";" 412.46";" 291.74";" 120.72";" 794.74";"   0.00";"   0.00";" 221.32";"1448.64";" 472.82";" 472.82";"   0.00";"   0.00";" 392.34";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 432.58";" 171.02";"1619.66"
"1pm";" 472.82";" 271.62";" 311.86";" 513.06";" 362.16";" 191.14";" 875.22";" 171.02";"   0.00";" 261.56";"1961.70";" 593.54";" 583.48";"   0.00";"   0.00";" 342.04";" 120.72";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";" 120.72";"   0.00";" 653.90";" 120.72";"1690.08"
"2pm";" 462.76";" 231.38";" 281.68";" 593.54";" 362.16";" 221.32";" 794.74";" 140.84";"   0.00";" 241.44";"1690.08";" 633.78";" 503.00";"   0.00";"   0.00";" 342.04";"   0.00";"   0.00";" 130.78";"   0.00";"   0.00";" 130.78";"   0.00";" 140.84";"   0.00";"   0.00";" 492.94";"   0.00";"1599.54"
