"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025","026","027","028","029"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62,9828.62
"4am",231.38,0,0,0,0,0,241.44,0,0,171.02,231.38,0,291.74,0,0,0,0,0,0,0,0,0,0,0,140.84,0,140.84,0,3078.36
"5am",281.68,211.26,181.08,130.78,130.78,0,352.1,0,0,261.56,462.76,241.44,422.52,0,0,140.84,0,0,0,0,0,0,0,0,201.2,120.72,201.2,0,3309.74
"6am",613.66,372.22,331.98,734.38,231.38,0,1026.12,352.1,130.78,764.56,955.7,1026.12,935.58,160.96,0,352.1,211.26,271.62,201.2,171.02,251.5,271.62,120.72,0,513.06,271.62,784.68,271.62,4728.2
"7am",2545.18,1036.18,774.62,2464.7,1981.82,331.98,2867.1,1337.98,462.76,3239.32,2897.28,2283.62,2756.44,472.82,281.68,925.52,533.18,533.18,674.02,422.52,845.04,674.02,422.52,271.62,794.74,553.3,1951.64,663.96,6689.9
"8am",5472.64,1569.36,1177.02,4587.36,4788.56,774.62,4677.9,2313.8,875.22,8078.18,5180.9,2806.74,4396.22,613.66,482.88,1388.28,794.74,663.96,865.16,633.78,1177.02,824.92,684.08,442.64,895.34,623.72,3309.74,925.52,8450.4
"9am",6005.82,1720.26,1257.5,5050.12,5311.68,985.88,5361.98,2575.36,945.64,9305.5,6559.12,3299.68,4949.52,674.02,553.3,1559.3,925.52,674.02,955.7,684.08,1187.08,875.22,814.86,492.94,925.52,674.02,3782.56,1036.18,9275.32
"10am",6196.96,1800.74,1378.22,5170.84,5593.36,1026.12,5372.04,2686.02,925.52,9516.76,7474.58,3631.66,5372.04,764.56,563.36,1629.72,1046.24,674.02,1026.12,724.32,1187.08,935.58,804.8,492.94,965.76,734.38,3863.04,1056.3,9607.3
"11am",6136.6,1790.68,1378.22,4959.58,5452.52,1006,5090.36,2555.24,915.46,9245.14,7585.24,3641.72,5221.14,734.38,563.36,1589.48,955.7,674.02,915.46,643.84,1257.5,845.04,774.62,482.88,995.94,684.08,3712.14,1076.42,9728.02
"12am",5744.26,1921.46,1368.16,4848.92,5412.28,995.94,5201.02,2525.06,834.98,9104.3,7665.72,3420.4,5251.32,694.14,492.94,1790.68,855.1,674.02,925.52,633.78,1307.8,814.86,694.14,492.94,1016.06,674.02,3450.58,985.88,9778.32
"1pm",6317.68,2042.18,1579.42,5050.12,5613.48,1046.24,5512.88,2595.48,955.7,9597.24,8279.38,3772.5,5482.7,794.74,573.42,1790.68,915.46,684.08,1046.24,724.32,1257.5,895.34,724.32,543.24,1046.24,704.2,3671.9,925.52,9828.62
"2pm",6086.3,1971.76,1498.94,5211.08,5442.46,1126.72,5271.44,2504.94,945.64,9325.62,7806.56,3782.56,5291.56,704.2,603.6,1669.96,895.34,653.9,1076.42,744.44,1187.08,1016.06,684.08,553.3,1106.6,734.38,3541.12,855.1,9536.88
"3pm",5593.36,1810.8,1187.08,4647.72,4808.68,895.34,4426.4,2142.78,895.34,8379.98,6730.14,3138.72,4496.82,633.78,533.18,1378.22,915.46,603.6,945.64,593.54,1026.12,875.22,653.9,472.82,824.92,583.48,3128.66,834.98,7846.8
"4pm",3128.66,1217.26,674.02,2846.98,2937.52,553.3,2494.88,1317.86,432.58,4567.24,4929.4,1981.82,2263.5,613.66,331.98,1358.1,674.02,342.04,613.66,291.74,553.3,513.06,331.98,251.5,513.06,392.34,1911.4,623.72,5231.2
"5pm",1861.1,694.14,603.6,1539.18,1790.68,301.8,1690.08,684.08,342.04,2595.48,3380.16,1116.66,1509,301.8,201.2,925.52,462.76,0,402.4,281.68,392.34,362.16,231.38,181.08,311.86,201.2,995.94,382.28,3722.2
"6pm",2374.16,623.72,663.96,1448.64,1931.52,392.34,1327.92,603.6,331.98,2434.52,2997.88,1126.72,1217.26,241.44,160.96,1136.78,412.46,0,503,251.5,412.46,392.34,301.8,140.84,251.5,211.26,1066.36,422.52,3440.52
"7pm",2283.62,583.48,573.42,1428.52,1740.38,382.28,1267.56,674.02,311.86,2102.54,2746.38,1016.06,995.94,211.26,160.96,1136.78,402.4,0,392.34,271.62,402.4,352.1,221.32,140.84,231.38,201.2,1006,382.28,3249.38
"8pm",2162.9,452.7,452.7,1026.12,1398.34,271.62,1006,563.36,241.44,1851.04,1730.32,774.62,704.2,191.14,181.08,1006,311.86,0,331.98,211.26,291.74,241.44,191.14,0,211.26,160.96,754.5,352.1,2997.88
"9pm",1428.52,281.68,251.5,553.3,764.56,150.9,643.84,311.86,181.08,1327.92,895.34,402.4,462.76,0,130.78,533.18,120.72,0,221.32,171.02,181.08,160.96,150.9,0,191.14,120.72,432.58,201.2,2625.66
"10pm",1006,130.78,201.2,291.74,362.16,120.72,563.36,150.9,120.72,492.94,553.3,321.92,331.98,150.9,0,281.68,0,0,211.26,130.78,0,130.78,0,0,211.26,0,291.74,0,2444.58
"11pm",714.26,0,130.78,211.26,211.26,0,422.52,0,0,281.68,261.56,221.32,352.1,0,0,211.26,0,0,0,120.72,0,0,0,0,150.9,0,211.26,0,2213.2
"12pm",503,0,0,201.2,171.02,0,342.04,0,0,211.26,241.44,211.26,231.38,0,0,191.14,0,0,0,120.72,0,0,0,0,130.78,0,201.2,0,2122.66
"1am",432.58,0,0,150.9,171.02,0,301.8,0,0,181.08,211.26,211.26,211.26,0,0,160.96,0,0,0,0,0,0,0,0,130.78,0,191.14,0,2062.3
"2am",241.44,0,0,130.78,130.78,0,281.68,0,0,191.14,171.02,221.32,211.26,0,0,150.9,0,0,0,0,0,0,0,0,120.72,0,181.08,0,2052.24
"3am",171.02,0,0,0,120.72,0,281.68,0,0,160.96,171.02,211.26,211.26,0,0,150.9,0,0,0,0,0,0,0,0,120.72,0,171.02,0,2012
