"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075";"38.5579937304075"
"max";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925";"61.4420062695925"
"4am";"48.03419";"44.62541";"40.90909";"43.57405";"43.35443";"42.71686";"42.59681";"45.72714";"44.70899";"47.88494";"45.72539";"43.28205";"47.53886";"46.60895";"50.28409";"48.11429";"46.60633";"47.67642";"49.60526";"50.22624";"47.25926";"49.26901";"49.70760";"49.15773";"49.61948";"50.22624";"45.58587";"48.32117";"50.32680"
"5am";"48.04754";"45.24960";"40.82504";"43.39853";"43.33868";"42.28856";"42.11124";"45.33133";"43.93531";"47.79661";"46.57360";"43.75000";"47.22581";"46.25551";"49.70930";"47.65178";"45.85890";"46.94590";"48.78706";"49.84756";"47.09389";"48.65672";"48.55842";"48.35681";"48.45201";"49.84615";"45.13776";"48.07692";"53.19149"
"6am";"47.75374";"44.90132";"40.31564";"42.14203";"41.89853";"40.53097";"41.77778";"44.72892";"43.21678";"48.75828";"47.08075";"44.88189";"44.73684";"45.07042";"48.36193";"47.40651";"45.12987";"45.97070";"47.93741";"49.33993";"46.26391";"47.84689";"47.07846";"45.56314";"47.64992";"49.11147";"44.92283";"47.09480";"59.78723"
"7am";"44.42916";"43.62416";"41.60363";"41.87845";"41.20956";"40.49904";"42.14286";"44.13076";"43.13725";"49.19236";"47.40331";"46.31902";"41.49068";"42.35075";"47.88732";"45.12744";"46.24746";"47.50000";"49.91150";"50.79051";"49.50495";"49.05660";"47.33840";"45.00000";"48.44607";"49.81550";"44.97959";"48.62069";"59.54887"
"8am";"40.42105";"45.69420";"40.32258";"40.47619";"42.61057";"41.64990";"41.36933";"43.12321";"43.34532";"48.88762";"46.21285";"46.30262";"40.32073";"43.48894";"46.46465";"43.58974";"45.83333";"50.14006";"49.67320";"52.80899";"50.08264";"51.61290";"48.18548";"44.34968";"50.00000";"50.10941";"44.02810";"50.10060";"59.28571"
"9am";"40.69530";"45.98540";"40.40404";"39.31889";"43.08176";"40.74074";"41.58879";"42.89773";"43.86973";"48.22581";"46.43478";"45.37143";"40.63527";"43.08094";"47.68392";"42.40838";"44.58438";"50.00000";"50.34169";"53.78973";"50.08347";"51.81818";"50.30303";"45.55556";"51.15789";"51.42857";"43.98148";"49.26316";"57.91757"
"10am";"41.15854";"46.20939";"40.41096";"38.78407";"43.15353";"41.70124";"40.98206";"43.29004";"44.35644";"47.99143";"44.98757";"45.42373";"40.23355";"44.55959";"47.17514";"43.36918";"45.80153";"49.54683";"50.00000";"53.44828";"49.91511";"52.32558";"50.30801";"45.09346";"49.78903";"52.58216";"43.78882";"50.10707";"58.01047"
"11am";"41.30879";"44.32432";"40.90909";"39.76793";"43.60587";"41.59664";"41.29594";"42.77539";"43.40344";"48.45193";"44.40843";"45.03902";"40.96257";"44.38776";"48.28571";"42.25865";"44.98715";"51.02639";"50.68807";"52.55474";"49.83444";"52.37020";"50.00000";"45.70766";"51.65975";"53.62998";"43.58372";"50.52854";"57.80765"
"12am";"39.91416";"45.20070";"41.60959";"39.27083";"42.73595";"41.35021";"41.01825";"43.65994";"42.93785";"48.71374";"43.24540";"44.84711";"42.08289";"47.07379";"48.22888";"42.88194";"43.34204";"52.19941";"50.00000";"52.19512";"50.90909";"52.20264";"49.37500";"46.13636";"50.72765";"52.45902";"43.63057";"50.52632";"57.61317"
"1pm";"40.51020";"45.01718";"40.94755";"39.50104";"44.00848";"40.21739";"40.20913";"44.05797";"43.28358";"48.88405";"43.39328";"46.58314";"41.79728";"46.98163";"46.91011";"44.85816";"43.08943";"52.07101";"50.22727";"52.03837";"50.94017";"52.79642";"49.89562";"46.97987";"52.55319";"52.61905";"44.36564";"50.66372";"57.62538"
