"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64";"945.64"
"max";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26";"9768.26"
"4am";"3058.24";"3420.40";"4184.96";"4637.66";"3601.48";"3521.00";"5070.24";"3641.72";"4205.08";"6196.96";"4215.14";"5563.18";"4074.30";"3722.20";"3521.00";"4567.24";"3561.24";"3058.24";"3852.98";"3319.80";"3581.36";"3490.82";"3460.64";"3339.92";"3329.86";"3319.80";"6820.68";"3561.24";"1529.12"
"5am";"3078.36";"3420.40";"4184.96";"4657.78";"3551.18";"3500.88";"5130.60";"3651.78";"4184.96";"6196.96";"4235.26";"5522.94";"4114.54";"3681.96";"3480.76";"4597.42";"3551.18";"3058.24";"3822.80";"3309.74";"3571.30";"3460.64";"3410.34";"3319.80";"3349.98";"3279.56";"6810.62";"3531.06";"1549.24"
"6am";"3158.84";"3370.10";"4184.96";"4999.82";"3571.30";"3380.16";"5271.44";"3692.02";"4084.36";"6227.14";"4285.56";"5633.60";"4225.20";"3531.06";"3329.86";"4386.16";"3400.28";"2967.70";"3681.96";"3088.42";"3400.28";"3289.62";"3189.02";"3209.14";"3249.38";"3168.90";"6820.68";"3480.76";"1901.34"
"7am";"4064.24";"3380.16";"3883.16";"5291.56";"4205.08";"3118.60";"5704.02";"3782.56";"3500.88";"6961.52";"4788.56";"5281.50";"4738.26";"3108.54";"2605.54";"3681.96";"2665.90";"2323.86";"2846.98";"2504.94";"3078.36";"2716.20";"2786.62";"2766.50";"2836.92";"2736.32";"6780.44";"2997.88";"2706.14"
"8am";"5693.96";"3108.54";"3722.20";"5784.50";"5351.92";"2917.40";"6116.48";"3993.82";"3168.90";"9013.76";"5643.66";"4748.32";"5241.26";"2313.80";"2132.72";"3319.80";"2223.26";"1790.68";"2323.86";"2112.60";"3038.12";"2263.50";"2585.42";"2625.66";"2474.76";"2293.68";"7213.02";"2494.88";"3440.52"
"9am";"5834.80";"2977.76";"3561.24";"5915.28";"5462.58";"2897.28";"6287.50";"4044.12";"2947.58";"9687.78";"6196.96";"4808.68";"5452.52";"2193.08";"1931.52";"3319.80";"2213.20";"1740.38";"2193.08";"1901.34";"3007.94";"2132.72";"2474.76";"2464.70";"2333.92";"2052.24";"7303.56";"2424.46";"3903.28"
"10am";"5824.74";"2997.88";"3500.88";"5875.04";"5512.88";"2826.86";"6287.50";"3953.58";"2826.86";"9768.26";"6679.84";"4858.98";"5663.78";"2152.84";"1881.22";"3178.96";"2142.78";"1680.02";"2213.20";"1901.34";"2967.70";"2062.30";"2434.52";"2364.10";"2394.28";"2032.12";"7283.44";"2343.98";"4034.06"
"11am";"5774.44";"3108.54";"3531.06";"5744.26";"5412.28";"2796.68";"6106.42";"4024.00";"2977.76";"9546.94";"6901.16";"4959.58";"5553.12";"2193.08";"1820.86";"3189.02";"2152.84";"1680.02";"2162.90";"1961.70";"3048.18";"2122.66";"2494.88";"2354.04";"2343.98";"1991.88";"7253.26";"2354.04";"4104.48"
