"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829";"33713.0829"
"4am";" 275.5307";"   0.0000";" 199.3650";" 256.7817";"1074.3576";" 388.1518";" 651.7039";" 102.2275";" 277.7656";" 237.7199";"  92.7670";"   0.0000";" 100.3884";"  51.2777";"   0.0000";"  31.6907";" 493.8110";" 300.2275";" 173.8910";"  84.3448";" 209.9611";"  33.2020";"  69.3032";"  63.1914";" 686.7084";" 128.2149";" 111.7186";" 443.2458";" 197.5872";" 221.4954";"  41.2098";"  26.6579";"   0.0000";"   0.0000";" 110.3498";" 230.5169";"  47.0873";" 102.2247";"   0.0000";" 297.2675";" 131.5914";"   0.0000";" 810.7314";"  68.0646";"   0.0000";"   0.0000";"  43.1334";"  69.9977";"1572.9905";"1175.0689";" 726.8477";" 570.7255";" 251.9417";" 622.1259";" 633.1707";" 266.3687";" 267.9589";"  20.5398";" 178.0554";" 388.8897";" 639.4117";"  19.6061";" 191.5240";" 132.3035";"   0.0000";"  17.0022";"  75.3815"
"5am";" 740.2079";" 216.6782";" 199.3650";" 597.3914";"1372.4415";" 301.5346";" 910.5499";" 102.2275";" 437.1831";" 674.6683";" 119.3254";"  71.7888";" 459.0369";" 178.8805";"   0.0000";"  31.6907";" 687.2104";" 444.5543";" 173.8910";" 246.0011";" 429.5409";"  33.2020";"  69.3032";" 179.8927";"2295.1823";" 187.9838";" 230.8059";" 817.8667";" 294.7132";" 445.0458";" 107.7045";" 158.8115";" 136.9895";"  87.5812";" 265.8011";" 856.0699";" 116.3905";" 184.6815";"   0.0000";" 500.0449";" 131.5914";" 396.0224";"1339.7360";" 224.7901";"   0.0000";"   0.0000";" 213.1863";" 122.4130";"2283.3998";"1630.0219";"1410.7888";" 880.6072";" 401.6587";" 852.7122";" 641.4435";" 384.2424";" 581.4006";" 249.0203";" 297.4930";" 388.8897";" 707.2899";"  92.2414";" 191.5240";" 212.6590";" 289.9226";" 358.6906";" 236.0197"
"6am";"1299.6183";" 690.9505";" 223.6153";"1327.7429";"1748.4060";" 641.1279";"1710.2747";" 325.5940";" 764.9046";"1317.7465";" 759.5675";" 506.4365";" 692.8600";" 628.0196";" 179.1779";" 445.6505";"1059.9342";" 686.1023";" 595.8011";" 316.3638";" 540.0299";" 114.5011";" 324.2366";" 451.5635";"3153.6864";" 513.2484";" 586.6412";"1883.9744";" 624.2969";" 997.3544";" 601.9847";" 495.1731";" 440.8086";" 153.6660";" 741.4471";"2204.8969";" 492.7058";" 227.8149";" 120.0316";" 848.4513";" 228.3945";" 557.9815";"2107.0604";" 384.2772";" 168.9329";" 169.4231";" 680.7283";" 459.9149";"3957.7673";"2308.3303";"2925.2659";"2406.0620";" 575.1368";"2094.6113";" 649.7163";"1061.5172";"1080.3021";" 506.3854";" 737.8363";"1177.0773";"1821.6353";" 299.5613";" 395.6408";" 381.7976";" 555.7872";" 674.8855";" 317.1258"
"7am";"2911.4402";"1602.1239";" 780.9162";"2359.0245";"2390.7922";"2268.5796";"2903.1205";"1725.7274";"1986.3175";"3421.0836";"2301.6505";"1709.7105";"1768.1761";"1564.9272";" 427.8567";"1196.4388";"2737.6744";"2271.1998";"3835.2266";"1467.3468";" 958.5920";" 803.9979";"1202.5250";"1342.3707";"5514.5757";"1404.9387";"2115.5316";"5306.0111";"1161.5879";"3262.4052";"4397.9280";"3293.8806";"1081.4027";" 864.7302";"1759.6516";"6127.7236";"2114.4976";" 498.4442";" 738.1205";"3013.2690";"1258.8396";"1169.0891";"4870.4790";" 918.9668";" 511.7679";" 769.7440";"1376.4515";" 814.8198";"8658.5316";"4299.6476";"5630.9193";"4225.9596";"1564.8220";"4093.2035";"1942.2562";"2603.1065";"2734.5819";"1320.6326";"1651.7334";"3254.0084";"3512.6483";" 553.8284";" 721.7195";" 682.6647";"1884.4223";"1477.9675";"1016.7846"
"8am";" 4478.5847";" 2067.2624";" 1056.6537";" 3061.4475";" 3517.3192";" 2769.4454";" 4816.9355";" 2620.4980";" 3890.8463";" 4725.2390";" 5826.3265";" 2904.7370";" 2373.0217";" 2238.0011";"  698.1073";" 1963.5237";" 4117.4166";" 3706.7162";" 6412.7107";" 2946.3424";" 1744.6349";" 1554.2573";" 1520.6134";" 3306.9775";" 7166.4874";" 1791.1306";" 3098.2602";" 7849.8360";" 1286.2227";" 5597.4126";" 9870.2981";" 7186.3847";" 4171.7605";" 1593.7262";" 2862.8334";" 8508.1180";" 5825.1027";"  977.3946";" 1505.9888";" 5187.4538";" 1902.0759";" 1606.6192";" 7726.1103";" 1109.3880";"  750.8886";"  930.4095";" 1780.0544";" 1238.6857";"12434.1156";" 4906.1656";" 6316.5333";" 6137.6991";" 2734.8941";" 5626.7093";" 3682.9387";" 3772.4680";" 3757.7054";" 1863.3227";" 2738.6932";" 3613.4759";" 5912.7032";" 1128.4518";" 1547.7983";"  798.1287";" 2187.4559";" 2810.1819";" 1034.7079"
"9am";" 4157.6985";" 2437.4730";"  975.5567";" 3289.3129";" 3680.7928";" 2769.4454";" 5032.2359";" 2722.8714";" 3922.6637";" 4894.8537";" 7015.5444";" 2927.3432";" 2483.8975";" 2430.9162";"  751.4685";" 2031.8190";" 4481.7284";" 3498.4547";" 6912.5422";" 3086.0176";" 1956.5914";" 1730.5875";" 1562.9033";" 3399.5558";" 7979.9123";" 1869.6077";" 3853.9745";" 8292.5448";" 1399.2736";" 6107.5466";"10998.2443";" 8234.2012";" 4672.9647";" 1799.0492";" 2762.0114";" 8687.3818";" 8252.6819";" 1043.4794";" 1638.2976";" 5363.3629";" 2005.5072";" 1596.9013";" 8562.2558";" 1269.1628";"  750.8886";" 1162.8849";" 1824.7357";" 1367.8112";"12713.0264";" 4984.3558";" 6654.0222";" 6373.9234";" 2981.5316";" 5804.7893";" 3925.9743";" 3860.5693";" 3802.4819";" 1799.1825";" 3310.9178";" 3769.9752";" 5839.3888";" 1081.9120";" 1807.8193";"  763.8817";" 2281.0146";" 2960.5624";" 1204.0329"
"10am";" 3756.3849";" 2504.4818";" 1006.3420";" 3149.1881";" 3707.7344";" 2722.6929";" 5015.9768";" 3085.2813";" 3933.9411";" 4821.3891";" 7075.5576";" 2944.0020";" 2420.8915";" 2507.9193";"  837.2777";" 1938.5560";" 4814.1050";" 3518.3984";" 6814.8895";" 3286.7470";" 1909.8389";" 1783.0765";" 1688.7430";" 3485.9830";" 7905.7396";" 1899.3574";" 3840.8139";" 8438.9056";" 1328.6662";" 6099.2594";"11091.2789";" 7942.0371";" 4528.3813";" 1684.1678";" 2785.2187";" 9038.8240";" 8805.3930";" 1102.1968";" 1586.5276";" 5271.0280";" 1869.5760";" 1947.7921";" 8562.2558";" 1280.5983";"  750.8886";" 1092.4239";" 1821.5495";" 1503.5531";"13410.6238";" 4705.8826";" 6703.5645";" 6721.2606";" 3160.5227";" 5689.7170";" 3975.0224";" 3868.9665";" 3702.9592";" 1620.2672";" 3333.0175";" 3629.6804";" 6147.6708";" 1246.4914";" 1700.3077";"  830.2543";" 2307.6730";" 2832.5708";" 1204.0329"
