"variable","CODE_SEC","RES_SEC","W_IND"
"h7","006","002",107.5515
"h7","006","008",66.4923
"h7","006","017",70.7792
"h7","006","025",84.6047
"h7","006","028",69.4276
"h7","006","031",110.3728
"h7","006","039",28.2514
"h7","006","042",90.4786
"h7","006","048",46.7525
"h7","006","054",117.8737
"h7","006","063",69.7196
"h7","007","001",128.2149
"h7","007","004",275.5414
"h7","007","006",180.3482
"h7","007","008",162.6245
"h7","007","012",51.7857
"h7","007","015",68.2033
"h7","007","030",73.09
"h7","007","034",71.7888
"h7","007","042",90.4786
"h7","007","044",107.7122
"h7","007","056",9.8972
"h7","019","002",44.8401
"h7","019","006",92.767
"h7","019","007",168.0268
"h7","019","008",132.6908
"h7","019","013",94.9182
"h7","019","014",69.7864
"h7","019","016",164.2
"h7","019","018",116.2549
"h7","019","020",91.0278
"h7","019","021",72.2369
"h7","019","024",80.3829
"h7","019","034",158.2098
"h7","019","038",51.77
"h7","019","041",129.6265
"h7","019","046",46.3348
"h7","019","047",90.7071
"h7","019","048",93.505
"h7","019","058",108.6681
"h7","019","065",46.5502
"h7","025","005",144.3268
"h7","025","007",84.0134
"h7","025","010",91.797
"h7","025","012",84.2006
"h7","025","015",69.8975
"h7","025","016",84.4776
"h7","025","028",69.4276
"h7","025","029",26.6579
"h7","025","034",85.3318
"h7","025","038",40.7222
"h7","025","042",96.8031
"h7","025","060",154.4428
"h7","028","003",85.2198
"h7","028","004",89.5684
"h7","028","010",97.2324
"h7","028","011",118.8498
"h7","028","012",38.0511
"h7","028","013",77.0031
"h7","028","025",84.6047
"h7","028","035",64.56
"h7","028","037",71.753
"h7","028","039",64.9877
"h7","028","043",152.046
"h7","028","045",34.6695
"h7","028","047",87.3727
"h7","028","060",132.035
"h7","028","061",128.1002
"h7","030","002",44.8401
"h7","030","004",89.5684
"h7","030","011",76.8971
"h7","030","016",193.1176
"h7","030","019",59.3325
"h7","030","020",100.3884
"h7","030","023",49.6258
"h7","030","029",32.7658
"h7","030","031",92.8556
"h7","030","039",28.2514
"h7","030","041",121.5073
"h7","030","045",38.3262
"h7","030","048",43.8242
"h7","030","056",62.1431
"h7","030","057",88.1013
"h7","030","058",126.092
"h7","030","060",154.4428
"h7","030","067",143.042
"h7","031","005",123.3867
"h7","031","012",143.7261
"h7","031","013",106.5105
"h7","031","014",62.191
"h7","031","017",61.0251
"h7","031","019",81.7279
"h7","031","021",89.3652
"h7","031","025",84.6047
"h7","031","029",28.1426
"h7","031","033",77.961
"h7","031","036",66.4947
"h7","031","039",26.6611
"h7","031","043",62.2275
"h7","031","047",100.2742
"h7","031","056",74.3448
"h7","031","059",63.0772
"h7","031","060",119.247
"h7","036","003",85.2198
"h7","036","007",84.0134
"h7","036","008",220.964
"h7","036","009",81.6317
"h7","036","011",181.5502
"h7","036","015",69.8975
"h7","036","020",100.3884
"h7","036","021",89.6593
"h7","036","023",75.3868
"h7","036","025",84.6047
"h7","036","030",85.0972
"h7","036","033",128.1894
"h7","036","037",72.0218
"h7","036","044",131.5914
"h7","036","047",87.3727
"h7","036","057",102.2275
"h7","036","058",126.092
"h7","036","059",44.4261
"h7","036","062",85.4119
"h7","044","004",120.2393
"h7","044","012",38.0511
"h7","044","027",103.7878
"h7","044","041",29.3699
"h7","044","043",124.455
"h7","044","049",40.8237
"h7","044","058",108.6681
"h7","044","061",569.199
"h7","050","004",92.9865
"h7","050","010",194.4648
"h7","050","021",72.2369
"h7","050","023",54.5494
"h7","050","038",40.7222
"h7","050","052",640.0103
"h7","050","053",366.3441
"h7","050","054",102.2247
"h7","050","058",154.2894
"h7","050","067",212.9157
"h7","062","041",129.6265
"h7","062","044",107.7122
"h7","062","048",93.505
"h7","062","060",119.4376
"h7","062","063",267.4055
"h7","062","064",47.5773
"h7","062","065",57.9298
"h7","062","068",267.8547
"h8","002","008",78.2797
"h8","002","012",46.1495
"h8","002","014",71.12
"h8","002","018",100.6092
"h8","002","037",76.0329
"h8","002","042",96.8031
"h8","002","045",69.339
"h8","002","046",48.103
"h8","002","049",50.868
"h8","002","051",103.2258
"h8","002","059",44.4261
"h8","002","064",18.5407
"h8","006","002",107.5515
"h8","006","008",66.4923
"h8","006","017",70.7792
"h8","006","025",84.6047
"h8","006","028",69.4276
"h8","006","031",110.3728
"h8","006","039",28.2514
"h8","006","042",90.4786
"h8","006","048",93.505
"h8","006","054",117.8737
"h8","006","063",69.7196
"h8","006","068",75.3815
"h8","007","001",355.9155
"h8","007","004",275.5414
"h8","007","005",111.6144
"h8","007","006",384.457
"h8","007","008",84.3448
"h8","007","009",90.9315
"h8","007","012",52.7753
"h8","007","015",68.2033
"h8","007","027",116.423
"h8","007","030",73.09
"h8","007","034",71.7888
"h8","007","038",40.7222
"h8","007","039",28.2514
"h8","007","041",129.6265
"h8","007","042",90.4786
"h8","007","043",62.2275
"h8","007","044",107.7122
"h8","007","046",53.1765
"h8","007","056",9.8972
"h8","009","003",77.089
"h8","009","005",223.2288
"h8","009","007",66.0848
"h8","009","010",92.0002
"h8","009","016",79.7224
"h8","009","019",47.8031
"h8","009","021",89.3652
"h8","009","023",54.5494
"h8","009","038",51.77
"h8","009","039",26.6611
"h8","009","047",100.2742
"h8","009","051",103.2258
"h8","009","052",280.0955
"h8","010","004",120.2393
"h8","010","005",139.7639
"h8","010","014",131.9774
"h8","010","018",100.2338
"h8","010","033",64.7612
"h8","010","041",172.1651
"h8","010","046",106.353
"h8","010","047",87.3727
"h8","010","054",117.8737
"h8","010","057",125.0882
"h8","010","058",108.6681
"h8","010","060",119.4376
"h8","011","002",94.4096
"h8","011","006",204.9136
"h8","011","012",187.6882
"h8","011","013",77.0031
"h8","011","014",69.7864
"h8","011","017",119.0918
"h8","011","020",100.3884
"h8","011","028",156.8526
"h8","011","034",76.0709
"h8","011","043",82.6235
"h8","011","046",48.103
"h8","011","061",128.1002
"h8","017","009",81.6317
"h8","017","011",85.691
"h8","017","012",46.1495
"h8","017","015",69.8975
