"hour","resarea1","resarea2","resarea3"
"4am",0.697058769074739,0.255236122113692,0.712030466678503
"5am",0.700596317145981,0.257325866503824,0.709776642930083
"6am",0.706661636861223,0.264695040709284,0.705254328915466
"7am",0.743797123257652,0.290264761507023,0.707267232397102
"8am",0.766906593635889,0.317704017279747,0.736402780327573
"9am",0.764476047756876,0.312126770316087,0.739910220303608
"10am",0.774132469971652,0.317559387973822,0.748608449097129
"11am",0.769309928263709,0.315255827973116,0.738793587886897
"12am",0.755336990328586,0.29828262956184,0.720076119019967
"1pm",0.768090824083789,0.311944043321597,0.733465039930269
"2pm",0.776537905681447,0.308974399059716,0.740865081296347
"3pm",0.767634262860114,0.309906589769497,0.730728911251035
"4pm",0.753274439842682,0.301497553939902,0.740965718818686
"5pm",0.731833439705368,0.28929674230529,0.739714964872847
"6pm",0.710838339112905,0.276163297364097,0.728472174748921
"7pm",0.702137535247697,0.259103969748611,0.722864515468841
"8pm",0.700537713680477,0.2537302811932,0.718730912195634
"9pm",0.696045062363742,0.248366021281975,0.717678352343023
"10pm",0.687567584136496,0.245422287622637,0.718661405674557
"11pm",0.688338080909756,0.245800110563328,0.715037174306001
"12pm",0.687324112467357,0.246085334230314,0.717223418690191
"1am",0.685863090187947,0.245036402715331,0.716428448364681
"2am",0.686208502896005,0.24576151450165,0.716470967081644
"3am",0.685637173743461,0.246731295687378,0.715178337843462
