"district","hour","occ1","occ2","occ3","occ4","occ5"
"001","4am",10368.995,1596.4604,685.5251,4796.5302,840.2409
"002","4am",3605.731,693.3134,50.0224,1887.2974,197.2317
"003","4am",7621.281,1269.0892,302.6886,2819.4433,162.3088
"004","4am",7741.74,1222.378,558.2,3665.6315,300.2468
"005","4am",10099.311,685.8453,251.9761,5270.6972,541.6608
"006","4am",6751.762,1194.2066,374.4732,4553.3968,355.8984
"007","4am",5011.671,635.4111,192.4594,4083.4362,496.2256
"008","4am",5663.527,856.0078,725.309,1937.2807,437.5274
"009","4am",6539.836,915.6967,453.7687,3302.9987,195.9538
"010","4am",8560.247,1433.897,470.059,4083.9343,292.2456
"011","4am",6109.141,1828.8539,820.6525,3250.9704,726.619
"012","4am",3327.993,258.238,418.0365,2677.6213,135.9863
"013","4am",6882.423,765.4479,503.697,4397.8014,357.7935
"014","4am",4707.533,642.28,366.0707,2431.9215,0
"015","4am",3587.267,751.3204,711.515,2016.883,606.5955
"016","4am",6037.766,1182.0761,975.8344,2013.4245,1160.4142
"017","4am",4289.744,1251.2391,1113.1356,1646.8036,1345.1893
"018","4am",6955.322,1220.9431,1162.3449,2968.3578,957.3513
"019","4am",3741.995,604.7207,820.9876,1671.5953,760.8463
"020","4am",7265.619,1344.6137,1056.8207,2466.3123,1049.5859
"021","4am",6785.022,1216.181,843.5104,2228.7906,1333.1899
"022","4am",1960.643,506.1293,850.7046,1287.6163,581.356
"023","4am",3567.609,406.4252,250.9034,3358.2463,548.6628
"024","4am",6277.102,1863.1168,444.5858,3355.5445,646.0498
"025","4am",6360.66,3101.2205,718.8377,2648.2712,367.9241
"026","4am",3443.45,1080.1292,680.6679,1692.3637,639.1013
"027","4am",6114.649,940.063,2056.1043,3290.4524,1369.2961
"028","4am",4690.983,1382.3585,943.5892,2963.4906,1011.8675
"029","4am",1568.225,468.4816,758.2302,1098.7586,407.9718
"030","4am",5980.836,2978.6618,1006.8816,1087.0104,516.7613
"031","4am",8119.17,2548.5054,691.4614,1770.8005,278.9146
"032","4am",3391.623,932.6461,295.5833,1558.8215,395.6863
"033","4am",4345.444,2525.5703,745.732,1993.4126,280.5764
"034","4am",6670.865,1010.5372,448.4723,1882.1615,458.8831
"035","4am",4978.129,2120.8898,776.2494,2080.3053,76.7392
"036","4am",4792.564,2800.6732,735.412,2316.0958,135.2478
"037","4am",4747.417,5079.4607,245.5657,998.7433,0
"038","4am",3333.367,524.686,48.0473,2073.8765,122.2567
"039","4am",2312.651,341.6919,381.0105,349.1909,278.6664
"041","4am",10024.849,1324.336,1370.0971,5165.5291,451.076
"042","4am",6531.84,491.6495,260.2928,3449.892,633.3404
"043","4am",4894.457,494.5734,138.2505,3410.4225,137.0536
"044","4am",11328.9,1216.1781,1419.4071,4492.318,251.0478
"045","4am",2540.905,371.3035,176.0799,989.4038,139.7859
"046","4am",4348.673,259.6867,197.4855,2142.7074,0
"047","4am",6603.25,569.6095,312.0154,3089.8344,352.6804
"048","4am",3659.816,484.1404,173.4796,2440.5896,359.6106
"049","4am",3253.204,708.9571,164.042,2673.8637,241.2732
"050","4am",14788.821,1258.8199,1845.5771,5504.63,1724.4787
"051","4am",10810.479,629.1609,1415.5956,3441.6659,550.183
"052","4am",17397.979,2183.362,1797.2491,11173.4394,1437.4655
"053","4am",14019.092,2406.271,244.0707,6948.9066,1281.4188
"054","4am",9022.511,1585.1631,835.8768,4985.8335,891.1978
"055","4am",12950.095,1804.9303,987.9546,9507.8056,1570.6455
"056","4am",4797.751,855.444,274.8742,3239.766,286.2224
