"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753";"21509.1753"
"4am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0"
"5am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0"
"6am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1455.833";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1450.863";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1033.043";"1446.784";"   0.000";"   0.000";"   0.000";"2365.493";"2157.327";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1480.320";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1256.956";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000"
"7am";"1069.3855";"2796.5614";"2666.8681";"2278.6906";"1904.9650";"3584.1119";"1118.9236";"1328.4901";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1754.1991";"   0.0000";"   0.0000";"1852.9813";"2204.7194";"2953.5319";"   0.0000";"   0.0000";"2036.0712";"   0.0000";"5665.0419";"2565.8127";"5017.7913";"   0.0000";"1454.8647";"4161.4971";"8614.2667";"7534.3442";"   0.0000";"2182.5135";"   0.0000";" 930.7483";"1790.9908";"   0.0000";"2760.6073";"4102.0109";"   0.0000";"   0.0000";"2269.8334";"1471.4284";"   0.0000";"   0.0000";"   0.0000";"2724.3218";"1107.3896";"   0.0000";"2822.6054";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1940.5340";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"1771.3149"
"8am";" 3230.407";" 9102.103";" 7691.395";" 6843.427";" 3148.221";" 6091.900";" 2373.346";" 3319.907";" 1728.046";" 1754.804";" 1383.302";"    0.000";" 3999.625";" 1284.948";" 1456.269";" 2386.850";" 4115.954";" 4308.783";" 1433.300";" 1934.359";" 3048.345";" 1130.990";"12152.194";" 4944.832";" 9437.526";" 1453.844";" 3657.291";"11059.636";"16542.527";"17155.158";" 1629.433";" 4321.066";" 1793.298";" 2809.919";" 2408.097";" 1170.581";" 4722.612";" 7569.737";"    0.000";" 1087.758";" 3551.180";" 2373.815";" 1489.316";" 1583.556";" 1063.294";" 6591.865";" 2138.411";"    0.000";" 3725.259";" 1844.242";" 1102.565";"    0.000";" 1128.617";" 3763.536";"    0.000";" 1718.536";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 1753.802";"0";"    0.000";" 1166.543";" 3115.754"
"9am";" 3842.617";"11454.286";" 8636.560";" 7759.402";" 3688.935";" 6361.138";" 2573.751";" 3743.999";" 2372.262";" 2179.266";" 1755.892";"    0.000";" 5202.190";" 1698.152";" 1584.405";" 2326.150";" 4746.496";" 4387.816";" 1527.061";" 2366.701";" 3293.591";" 1469.585";"15873.227";" 5909.742";"10562.434";" 1654.241";" 4184.547";"13816.245";"19157.103";"21414.906";" 1972.965";" 4963.914";" 2031.771";" 3089.557";" 2744.243";" 1447.956";" 5308.913";" 8028.306";" 1069.127";" 1342.287";" 3771.631";" 2315.128";" 1420.416";" 1612.013";" 1219.466";" 7328.694";" 2195.927";"    0.000";" 3820.752";" 2001.316";" 1204.775";" 1338.531";" 1048.552";" 4103.555";"    0.000";" 2295.678";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 1817.391";"0";"    0.000";" 1166.543";" 3300.432"
"10am";" 3742.8258";"11935.4660";" 8611.4935";" 7593.2863";" 3740.4718";" 6372.3588";" 2192.8458";" 4101.8274";" 2335.0200";" 2288.5483";" 1951.8136";"  959.6895";" 5807.4346";" 1571.0045";" 1648.5216";" 2308.7309";" 5628.7837";" 4635.1509";" 1785.7598";" 2184.8762";" 3544.1124";" 1601.6558";"15927.6749";" 6223.3817";"10539.0183";" 1742.2546";" 4027.4964";"14349.3947";"19833.8210";"21509.1753";" 2215.5478";" 4691.6787";" 2047.8086";" 3163.3262";" 2592.9213";" 1325.2027";" 5478.7804";" 8377.6470";" 1121.7689";" 1342.2871";" 3902.7556";" 2511.0686";" 1336.6474";" 1956.1888";" 1339.6640";" 7435.1557";" 2520.8756";"    0.0000";" 4025.2664";" 2001.3161";" 1326.8007";" 1366.3170";" 1024.5943";" 3962.6196";"    0.0000";" 2367.4520";"    0.0000";"    0.0000";"  747.5965";"    0.0000";"    0.0000";" 1840.1031";"0";"    0.0000";" 1208.8027";" 3079.3819"
"11am";" 3528.0421";"11676.8035";" 8771.2045";" 7289.7762";" 3558.1205";" 6551.9471";" 2076.9766";" 3841.8920";" 2234.9735";" 2192.6647";" 1729.3640";"    0.0000";" 5649.0849";" 1860.1192";" 1683.8186";" 2190.4954";" 4801.5093";" 4535.8890";" 1640.4056";" 2063.8024";" 3942.8120";" 1457.6568";"15324.4139";" 5965.7525";" 9998.1644";" 1830.5734";" 3581.0379";"13445.2288";"17790.4140";"20875.2103";" 2197.3245";" 4955.0524";" 2027.2523";" 3237.0961";" 2416.4073";" 1293.6255";" 5887.5126";" 8309.7774";" 1202.0211";" 1188.9549";" 3665.4982";" 1806.4608";" 1244.7259";" 1905.0416";" 1190.2317";" 7544.3530";" 2486.1577";"    0.0000";" 4126.4453";" 2061.9991";" 1334.4332";" 1363.4659";" 1205.3671";" 4096.2094";"    0.0000";" 2345.6982";"    0.0000";"    0.0000";"  802.8444";"    0.0000";"    0.0000";" 1814.6659";"0";"    0.0000";" 1422.7306";" 2898.5249"
