"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";"0.0000000";"0.9175669";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5496547";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"5am";"0.0000000";"0.9029803";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5317291";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5432813";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"6am";"0.00000000";"1.66114621";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"1.38444657";"0.00000000";"0.00000000";"0.00000000";"0.37559741";"0.37026304";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.07555649";"0.99129216";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.51937247";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.53344387";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.12672489";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.28965335";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000"
"7am";" 8.4009270";"30.5923360";" 2.7923555";" 6.9016045";" 4.4537737";" 2.6048330";" 9.2865194";" 0.8547275";" 8.5131466";" 0.0000000";" 1.7351251";" 2.6991721";" 4.8536879";" 4.9961513";" 0.0000000";"19.4090643";" 4.5176297";" 0.0000000";" 0.3076210";" 8.8558387";" 7.2975716";" 0.0000000";" 3.4341911";"40.1683137";" 0.0000000";" 0.8920050";" 0.9312901";"12.6209612";" 2.2712732";" 6.5564963";" 0.6720268";" 7.0844927";"15.7015189";" 0.6592806";"14.4841180";" 1.4062682";" 9.5092542";" 1.7939776";" 0.0000000";" 0.5963983";" 0.0000000";" 0.6670689";" 0.0000000";" 0.0000000";" 1.0988568";" 5.4412248";"13.7849319";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 3.9459420";" 4.1832642";" 0.0000000";" 0.3368203";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 4.6732515";" 0.0000000";" 0.9825984";" 0.0000000";" 0.0000000"
"8am";"13.3150554";"33.4961704";" 8.2987242";"10.5469089";" 7.1190884";" 3.4273942";"16.0084704";" 1.7809254";"15.5652377";" 0.4198876";" 3.2985576";" 3.8036314";"10.4293749";" 6.6509828";" 0.0000000";"29.4127067";"13.1960083";" 0.0000000";" 6.0261681";"12.3171722";"15.5495504";" 0.6990581";" 5.3657927";"54.0654121";" 1.0529037";" 0.9957603";" 1.9028861";"26.1092323";" 4.5798917";" 7.4938779";" 2.2534671";" 7.2062491";"17.6293976";" 1.4751393";"16.1895762";" 3.3101949";"17.2499159";" 3.6164657";" 0.0000000";" 2.5422512";" 0.0000000";" 0.3429492";" 0.0000000";" 0.4238240";" 4.7002807";" 8.0870308";"24.3747258";" 0.0000000";" 0.7303360";" 1.4003534";" 0.0000000";" 0.0000000";" 4.3524432";" 6.9946382";" 1.8416634";" 2.4735555";" 0.0000000";" 4.5884598";" 0.0000000";" 0.0000000";" 0.0000000";" 5.5134559";" 0.0000000";" 1.0172363";" 0.0000000";" 0.0000000"
"9am";"12.9532975";"36.5445172";" 9.2411995";"11.9743939";" 9.0019499";" 3.5108386";"16.8298481";" 1.8582194";"17.0896025";" 0.4257972";" 3.9737144";" 4.1066517";" 9.7128713";" 7.0371782";" 0.0000000";"31.2279030";"15.1494033";" 1.4262842";" 6.2855977";"12.6802652";"15.5314293";" 0.7348030";" 5.1120101";"59.3742252";" 0.9753463";" 1.0719133";" 2.5437714";"27.9510040";" 4.9559333";" 7.4361397";" 2.3923144";" 7.6446822";"16.3756112";" 1.5620189";"17.0835082";" 4.2336953";"16.6221038";" 3.7197882";" 0.0000000";" 2.5609166";" 0.8385937";" 0.3625724";" 0.0000000";" 0.4265790";" 5.1598034";" 8.2167082";"26.9586445";" 0.0000000";" 0.6716585";" 1.4409668";" 0.0000000";" 0.0000000";" 4.6812111";" 7.2115598";" 3.2273001";" 2.2594280";" 0.0000000";" 4.8361771";" 0.6699526";" 0.0000000";" 0.0000000";" 5.5521727";" 0.0000000";" 1.1110005";" 0.0000000";" 0.0000000"
"10am";"12.0457753";"35.0104512";" 9.9537959";"12.2342312";" 9.1969922";" 3.7116290";"19.3308739";" 1.8913415";"17.7727859";" 0.4545836";" 3.9367552";" 1.1911653";" 9.7223870";" 8.0387064";" 0.0000000";"31.8591916";"13.2485026";" 1.4206893";" 6.4391461";"13.5445775";"15.0184240";" 0.7783844";" 5.9222412";"59.9268040";" 0.9506517";" 1.1180478";" 2.5330952";"30.7367879";" 4.8898384";" 7.5771031";" 2.2450846";" 7.0308684";"16.8440908";" 1.5416036";"17.0619158";" 4.5176879";"16.4735035";" 3.6677268";" 0.0000000";" 2.5939834";" 0.8456185";" 0.3556683";" 0.0000000";" 0.4071343";" 6.5269656";" 9.1577901";"24.8211687";" 0.0000000";" 1.1165058";" 1.5657697";" 0.0000000";" 0.0000000";" 4.6408341";" 7.1233145";" 3.5055400";" 2.2549866";" 0.0000000";" 5.5944592";" 0.6964225";" 0.0000000";" 0.0000000";" 5.4079683";" 0.0000000";" 1.1568069";" 0.0000000";" 0.0000000"
"11am";"13.0389310";"33.3521368";" 9.0450776";"12.3788538";" 9.0837661";" 3.1014920";"18.2334756";" 1.9930146";"16.8128828";" 0.4338045";" 3.6234331";" 1.9318183";" 9.9639850";" 7.0952318";" 0.0000000";"29.5288872";"14.1623006";" 1.3682272";" 6.2351124";"12.2350077";"15.2176927";" 0.7601261";" 5.6822986";"57.0962642";" 0.9998478";" 1.0353299";" 2.6857939";"30.8207330";" 5.0140630";" 7.2807958";" 2.2106559";" 6.8272326";"16.2579984";" 1.5182811";"16.2290638";" 4.4925492";"16.0555618";" 3.6991898";" 0.0000000";" 2.5989818";" 0.9092714";" 1.2982666";" 0.0000000";" 0.4183618";" 6.3109690";" 9.2385517";"23.4901436";" 0.0000000";" 1.1320332";" 1.4446661";" 0.6254615";" 0.0000000";" 4.9219763";" 6.9509509";" 3.0507838";" 1.6325329";" 0.0000000";" 5.7392417";" 0.6835045";" 0.0000000";" 0.0000000";" 5.6188755";" 0.0000000";" 1.0692524";" 0.0000000";" 0.0000000"
