"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512";"24637.0512"
"4am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"5am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"6am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"185.4910";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";" 95.1896";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"112.7945";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";" 68.5853";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"116.1748";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"7am";"  0.0000";"305.6556";" 93.0179";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";" 78.6599";"  0.0000";" 58.2641";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"106.8032";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"157.1172";" 88.0136";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";" 74.9632";"  0.0000";"  0.0000";"  0.0000";" 45.9015";" 70.0353";"  0.0000";"138.2453";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"108.7437";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"8am";" 40.8357";"654.4156";"157.9308";" 98.7965";"144.9227";"178.3520";" 70.0353";" 53.0817";"  0.0000";"  0.0000";"  0.0000";"  0.0000";" 64.6510";"180.5134";"163.5203";"  0.0000";"311.5226";"224.4773";"  0.0000";"  0.0000";"247.9630";" 90.9398";" 83.7689";"  0.0000";"173.2884";"  0.0000";"419.3473";"  0.0000";"  0.0000";"  0.0000";" 91.8030";"251.4996";"  0.0000";" 47.5552";"251.2393";"  0.0000";"  0.0000";"520.1423";"  0.0000";"195.2662";" 49.3424";"  0.0000";"265.0410";"  0.0000";"109.5776";"372.4312";" 68.5853";"  0.0000";"534.5733";"208.9527";"107.8115";"468.6458";"  0.0000";"400.4700";" 70.4071";" 59.2228";"  0.0000";"  0.0000";" 61.0055";"  0.0000";"  0.0000";"298.8646";"  0.0000";" 91.2303";"  0.0000";"357.1124"
"9am";" 341.0163";"2514.9500";" 321.5476";" 680.0375";" 238.7657";" 385.5353";" 380.7313";"  65.9818";"   0.0000";" 185.4910";" 117.5448";"   0.0000";" 214.7047";"  45.6983";" 493.9313";" 187.7495";" 115.0809";" 324.7771";"   0.0000";" 159.1599";"1286.9822";"   0.0000";" 160.0611";"  49.2288";" 399.9911";"   0.0000";" 312.0549";" 106.9898";" 172.4625";" 840.2988";" 278.2443";" 381.7682";"1048.3391";" 159.0744";" 546.5899";" 548.9187";" 248.2759";"1159.5475";" 174.9630";" 171.5291";" 462.9113";" 119.6593";" 330.8058";" 135.5822";" 109.5776";"1083.4903";" 379.4898";" 145.3454";"2179.6659";" 639.3742";" 382.3459";" 767.9096";" 137.9642";" 649.3965";"   0.0000";" 516.7475";"  80.8624";"   0.0000";" 400.8769";"  78.7033";" 102.9751";" 275.2314";"   0.0000";" 227.8125";"  79.2880";" 206.1584"
"10am";" 820.3159";"4337.7522";" 480.3392";"1375.3325";" 284.3729";" 576.7414";" 165.6534";" 517.9639";"   0.0000";"  85.1091";" 204.7414";" 123.0750";" 740.0074";" 135.9550";" 461.9004";" 551.9914";" 594.0897";" 246.9743";"   0.0000";" 339.4435";"2194.2979";" 298.7155";" 919.6113";"   0.0000";" 823.3600";"   0.0000";" 846.1314";"  74.3750";" 593.2392";"1279.3944";" 187.9610";" 880.9727";"1246.9299";" 333.7016";" 589.7849";" 385.3135";" 297.3036";"1338.1703";" 334.1157";" 186.9128";" 851.9087";" 375.8360";" 246.5553";" 153.3986";" 137.0542";"2049.9484";" 799.3747";"   0.0000";"3348.1952";" 116.1748";" 262.4063";" 541.1351";" 323.4189";" 979.2549";"  70.4071";" 689.0525";"  80.8624";"   0.0000";" 478.6856";" 247.3238";" 102.9751";" 655.1798";"  38.1464";" 273.6909";" 137.5939";" 191.3369"
"11am";" 314.8973";"2291.0631";" 158.3790";" 490.6341";" 132.5124";" 285.0233";" 161.9568";" 238.3757";"   0.0000";" 174.3932";"  93.0179";"  89.2078";" 525.1011";"   0.0000";" 171.0992";" 222.7547";" 192.6135";" 210.2919";"   0.0000";" 115.8692";"1483.7771";" 298.7155";" 394.1626";"   0.0000";" 278.5630";"  68.3384";" 125.4112";"   0.0000";"  88.0438";"1851.4311";" 134.4042";" 155.4730";" 546.1734";" 288.7712";" 343.1073";"   0.0000";"  91.9215";" 698.6863";" 222.8671";"   0.0000";" 546.8195";"  56.5957";" 177.4530";"   0.0000";" 205.2478";"1839.2230";" 318.2422";"   0.0000";"2353.7362";" 306.6288";" 254.6187";" 186.2776";" 126.7616";" 213.3294";"   0.0000";" 296.9794";" 132.6750";"   0.0000";"   0.0000";" 250.3552";"  80.2522";" 256.9525";"   0.0000";" 182.4606";" 158.5760";" 123.5816"
