"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331";"20207.5331"
"4am";"2041.0303";"3704.3710";"2618.9005";"2349.8866";"3644.9162";"1533.6650";"2232.0153";"2919.4889";"3014.4906";"3169.1141";"3896.6529";" 865.3320";"3687.6630";"1791.9058";"3365.4538";"1606.6059";" 556.7673";" 940.7561";"1313.1924";"2608.6068";"3633.2770";"2587.6616";"2521.9252";" 799.4302";"1033.5175";"1070.1023";"1256.5828";"1611.0755";"1334.9620";"2617.9014";"3698.6871";"3238.0711";"2524.0171";"1875.4323";"3066.8015";"3963.4344";"2161.4226";"3860.2454";"1581.8079";"3015.7219";"3269.7050";"1139.0419";"2605.5528";"2360.6796";"2523.7861";"1052.5356";"1935.8596";"1578.1817";"1967.9744";"4237.0978";"3120.8818";"1998.7293";"3361.5386";"3759.7666";"2349.7702";"1456.4030";"1986.2232";"1610.6748";"3397.8108";"1646.0984";"2305.0627";"2241.9166";" 939.8347";"2950.5092";"1845.5676";"2260.1046"
"5am";"2041.0303";"3704.3710";"2618.9005";"2349.8866";"3644.9162";"1533.6650";"2232.0153";"2919.4889";"3014.4906";"3169.1141";"3896.6529";" 865.3320";"3687.6630";"1791.9058";"3365.4538";"1606.6059";" 556.7673";" 940.7561";"1313.1924";"2608.6068";"3633.2770";"2587.6616";"2521.9252";" 799.4302";"1033.5175";"1070.1023";"1256.5828";"1611.0755";"1334.9620";"2475.4312";"3698.6871";"3238.0711";"2524.0171";"1875.4323";"3066.8015";"3963.4344";"2161.4226";"3860.2454";"1581.8079";"3015.7219";"3269.7050";"1139.0419";"2605.5528";"2252.9492";"2523.7861";"1052.5356";"1935.8596";"1578.1817";"1967.9744";"4237.0978";"3120.8818";"1998.7293";"3361.5386";"3759.7666";"2349.7702";"1456.4030";"1986.2232";"1610.6748";"3397.8108";"1646.0984";"2305.0627";"2241.9166";" 939.8347";"2950.5092";"1845.5676";"2367.8350"
"6am";"2041.0303";"3704.3710";"2618.9005";"2465.7558";"3644.9162";"1718.7437";"2232.0153";"2919.4889";"3014.4906";"3169.1141";"3896.6529";" 865.3320";"3687.6630";"1791.9058";"3365.4538";"1749.0761";" 556.7673";" 940.7561";"1313.1924";"2492.7376";"3633.2770";"2587.6616";"2521.9252";" 799.4302";"1033.5175";"1070.1023";"1256.5828";"1611.0755";"1334.9620";"2475.4312";"3698.6871";"3238.0711";"2524.0171";"1875.4323";"3066.8015";"3963.4344";"2161.4226";"3860.2454";"1655.7672";"3015.7219";"3362.8622";"1139.0419";"2419.2384";"2252.9492";"2523.7861";"1052.5356";"1935.8596";"1578.1817";"1967.9744";"4134.8882";"2924.5951";"1924.7700";"3361.5386";"3604.9577";"2349.7702";"1456.4030";"1986.2232";"1610.6748";"3329.2255";"1646.0984";"2305.0627";"2241.9166";" 939.8347";"2950.5092";"1845.5676";"2275.9135"
"7am";"1996.9620";"3371.8389";"2841.0877";"2465.7558";"3464.7017";"1718.7437";"2232.0153";"2831.1048";"2914.8263";"3180.7109";"3898.3239";" 865.3320";"3687.6630";"1791.9058";"3275.1971";"1778.0882";" 556.7673";"1007.8103";"1158.9118";"2492.7376";"3709.3243";"2587.6616";"2547.7843";" 862.0190";"1079.7048";"1070.1023";"1339.0242";"1611.0755";"1305.9499";"2475.4312";"3698.6871";"3162.0238";"2382.5201";"1891.6192";"3066.8015";"4031.7340";"1916.4452";"3860.2454";"1729.7265";"3015.7219";"3362.8622";"1139.0419";"2419.2384";"2324.7884";"2523.7861";"1004.9408";"1935.8596";"1578.1817";"1967.9744";"4134.8882";"2708.9721";"1850.8107";"3361.5386";"3692.1543";"2349.7702";"1456.4030";"1986.2232";"1610.6748";"3114.2462";"1465.9863";"2202.0876";"2241.9166";" 939.8347";"2950.5092";"1746.7048";"2275.9135"
"8am";"1929.2895";"3433.6071";"2926.1968";"2798.2879";"3443.4869";"1753.2611";"2091.9447";"2616.4953";"2460.1704";"3355.9431";"3742.6751";" 865.3320";"3687.6630";"1777.4704";"3123.6958";"2080.0998";" 752.1592";"1095.1693";"1230.7510";"2385.9344";"3525.5883";"2587.6616";"2658.3219";" 870.1981";"1137.1723";"1070.1023";"1411.6969";"1557.5806";"1269.2275";"2440.2293";"3575.3148";"3171.7856";"2334.4314";"1891.6192";"2994.1288";"4116.6967";"1637.9288";"4098.9564";"1738.6467";"2685.9502";"3269.7050";"1248.9658";"2428.0998";"2319.4286";"2414.2085";" 957.3460";"1912.7980";"1478.2550";"1914.1467";"4032.6786";"2601.1606";"1776.8514";"3091.9509";"3985.3374";"2279.3631";"1456.4030";"1905.3608";"1430.9187";"3114.2462";"1403.3975";"2187.1261";"1929.5038";" 939.8347";"3153.1486";"1746.7048";"2171.6530"
"9am";"2037.2157";"4440.1177";"3056.3157";"2862.2340";"3270.3941";"1962.8874";"2060.5808";"2956.4686";"2713.3418";"3177.6914";"3337.4208";" 751.1967";"4063.0196";"1350.0227";"2936.7904";"2103.9258";" 741.8745";"1200.8219";"1076.4704";"2139.8713";"3659.6134";"2426.2258";"2615.8960";"1027.9039";"1084.5357";"1035.9331";"1583.8095";"1701.1456";"1406.6438";"2835.3612";"2931.0342";"3205.1934";"2860.6727";"1790.2848";"2805.6476";"3936.5567";"1732.8499";"4084.2515";"1722.8879";"2543.0913";"3546.6938";"1248.9658";"2538.1935";"2228.8709";"2108.8560";"1215.8119";"1807.7203";"1484.3099";"2372.6470";"4076.4403";"2561.5648";"1702.8921";"2840.1230";"3734.4576";"2002.6315";"1401.7809";"1677.2985";"1425.7888";"2987.3400";"1215.6311";"2084.1510";"2296.8174";" 797.3627";"2764.6318";"1707.0940";"1858.8715"
"10am";"2406.1582";"5417.8690";"2737.8611";"3347.8507";"3324.9703";"1822.4917";"1959.1875";"2910.8131";"2203.1952";"2975.1041";"3225.3221";" 671.0911";"4038.4306";"1356.9201";"2355.6477";"1926.6059";" 770.7505";"1271.9360";"1087.0726";"1880.8499";"3679.3753";"2472.5657";"3012.5429";" 839.3055";"1068.5740";" 790.7806";"1543.5649";"1617.2674";"1636.8700";"2751.9117";"3270.0227";"3144.1276";"2508.2912";"2002.5741";"2971.8613";"3739.7036";"1871.8483";"4060.2875";"1687.7663";"2820.6166";"3526.9930";"1093.0910";"2335.3111";"2345.3914";"1945.4134";"1401.9621";"2005.1544";"1154.3270";"2836.9258";"3731.1774";"2438.2025";"1708.8462";"2868.4358";"3563.7069";"2002.6315";"1579.5749";"1942.0432";"1371.0000";"2908.4903";"1395.7432";"1981.1759";"2503.9301";" 835.5091";"2558.6816";"1587.5698";"1754.1514"
"11am";"1874.4347";"5302.8851";"2745.1408";"2795.6160";"3343.7203";"1519.5216";"2177.9180";"2477.2579";"2978.1833";"3504.3313";"3707.4074";" 773.7311";"3780.5193";"1430.2384";"2683.1481";"1727.5844";" 521.3271";"1066.4170";"1486.4332";"2139.8713";"3390.5933";"2430.5821";"2878.2529";" 975.8711";"1044.8156";" 908.9004";"1329.2555";"1745.1373";"1425.5459";"2791.4471";"3481.9930";"3480.2864";"2411.8407";"1803.1869";"2994.1288";"3571.4699";"1757.0785";"3906.3853";"1631.6425";"2795.8741";"3247.6249";" 941.9702";"2428.0998";"2410.3546";"2151.7452";"1348.1863";"1850.7101";"1290.7879";"2208.9135";"4032.6786";"2843.5872";"2004.6834";"2653.0015";"4083.4450";"2395.2323";"1238.2691";"2002.9369";"1430.9187";"2972.9882";"1520.9208";"2202.0876";"2245.2679";" 835.5091";"2741.1422";"1627.1806";"2141.2286"
