"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638";"56.9605174401638"
"4am";"28.209204";"41.249333";"34.660682";"26.876370";"22.936911";"31.954252";"24.930718";"27.111266";"27.357891";"16.846272";"28.590199";"16.287570";"32.406003";"31.041382";"22.059399";"31.649938";"32.926668";"37.291239";"24.274629";"24.891584";"21.493561";"24.536703";"24.397891";"28.735984";"25.142545";"38.003958";" 7.899288";"27.137677";"26.869372";"27.716395";"25.681696";"22.017434";"28.525914";"21.867480";"31.636983";"34.307897";"24.710542";"24.850004";"28.495140";"32.342026";"28.230727";"27.511513";"38.098166";"28.147127";"34.881154";"26.626291";"29.510187";"35.853868";"34.249896";"40.542507";"33.219658";"27.194617";"39.873290";"28.928665";"36.408022";"30.670867";"30.903853";"31.606486";"28.329528";"32.169296";"39.880813";"28.536260";"35.339192";"34.499314";"25.592788";"41.814372"
"5am";"28.209204";"40.176138";"34.660682";"26.456688";"22.500537";"31.767603";"24.847442";"27.547512";"27.538394";"16.846272";"28.978376";"18.104368";"32.283172";"32.318479";"21.413117";"31.262184";"32.539731";"38.559769";"24.183982";"25.146977";"21.712652";"24.536703";"24.646458";"28.103307";"24.938360";"38.003958";" 8.089669";"27.733943";"26.356369";"27.709034";"25.945673";"22.425454";"28.318121";"22.168549";"30.846969";"34.519582";"23.784948";"25.251138";"28.659428";"31.988414";"28.086003";"27.820209";"39.211429";"27.549752";"34.881154";"26.444326";"29.788487";"36.301500";"33.150839";"41.059237";"33.007488";"27.096776";"40.671212";"29.150012";"36.408022";"30.561164";"31.404359";"31.606486";"28.527338";"32.929926";"40.867053";"28.536260";"34.862100";"34.499314";"25.268830";"41.435876"
"6am";"28.584359";"41.203239";"36.172266";"25.203989";"23.308031";"30.058401";"23.744218";"25.557684";"26.186505";"17.535766";"28.899148";"17.585514";"31.908117";"31.081421";"22.157549";"32.749187";"34.851073";"38.868226";"25.941068";"24.183320";"21.880074";"25.062586";"25.115484";"29.025312";"30.594815";"37.676020";" 6.852236";"28.636702";"28.064028";"27.285316";"25.279888";"22.542016";"27.950793";"22.902376";"30.346253";"35.234214";"22.688572";"26.382038";"30.056153";"31.133199";"27.739542";"27.751812";"38.259314";"27.201032";"33.905661";"25.800717";"31.428550";"35.711498";"32.134970";"40.187797";"35.208588";"26.488393";"37.460700";"29.105115";"37.197434";"29.402442";"32.949966";"33.458265";"29.607366";"35.533460";"40.709014";"28.634588";"35.556811";"34.213221";"23.677339";"39.525552"
"7am";"28.02779";"36.98578";"31.42946";"27.44631";"22.33228";"28.11828";"27.30441";"22.98852";"28.18586";"16.71501";"27.23432";"19.75494";"31.72074";"26.43759";"22.28310";"30.32783";"37.76043";"40.16707";"24.43721";"25.70920";"22.93277";"24.30586";"25.32783";"23.33553";"40.50705";"36.51468";"10.00952";"32.72493";"28.50573";"30.14318";"25.89526";"19.36869";"30.08833";"24.88291";"33.55559";"38.33405";"26.22459";"26.39072";"28.83220";"30.64796";"20.10335";"28.58972";"38.67837";"27.19419";"35.78792";"27.36085";"30.50471";"33.61113";"29.69781";"37.30213";"37.49035";"31.22406";"35.14831";"26.18352";"40.60281";"31.62747";"35.73549";"31.17287";"30.93935";"38.03162";"38.03403";"30.65809";"33.87003";"34.73166";"21.73169";"40.09918"
"8am";"25.82037";"29.92556";"30.48996";"23.77753";"27.00366";"32.71938";"26.97952";"28.76277";"28.70695";"19.95259";"27.48965";"23.41456";"32.23430";"27.29776";"22.36285";"26.64673";"31.88689";"43.44123";"24.14822";"25.62294";"24.17343";"28.46519";"26.97094";"27.07817";"34.80541";"31.44505";"20.48147";"26.49058";"24.59275";"26.03571";"27.38755";"25.19015";"34.59327";"24.91000";"32.42063";"35.50456";"28.40053";"27.19057";"28.71820";"31.36460";"23.36037";"31.40123";"34.97102";"31.03841";"29.92703";"27.59191";"38.75521";"33.79320";"29.92064";"39.74565";"38.13216";"35.74468";"34.71067";"27.36050";"44.60259";"31.19172";"31.17031";"38.87443";"33.73401";"38.88005";"35.85004";"33.43289";"35.77500";"33.68037";"22.67601";"40.59556"
"9am";"23.16755";"31.69698";"32.73795";"22.50587";"26.58573";"29.08852";"28.02878";"27.62824";"30.82972";"22.22113";"25.68848";"24.32210";"33.35392";"28.23316";"22.21180";"29.33087";"28.00211";"44.33708";"23.61825";"25.66174";"26.90360";"29.18863";"25.81564";"26.98272";"35.65383";"27.25054";"21.67286";"23.88149";"24.85698";"24.61617";"26.86884";"24.91552";"34.26312";"28.56807";"35.60016";"34.15153";"28.88966";"26.50011";"28.72353";"32.38933";"22.34984";"31.60768";"32.12809";"31.17716";"35.33691";"27.23794";"40.26204";"33.35250";"29.51537";"35.78916";"38.60868";"33.89134";"39.92848";"27.19786";"43.10379";"32.70667";"32.76358";"39.83528";"32.51743";"36.61684";"36.37959";"33.97824";"34.95523";"32.93938";"24.51253";"36.46795"
"10am";"23.93129";"32.02545";"32.39053";"23.15068";"29.90102";"29.16380";"26.62302";"28.46710";"30.96011";"18.64846";"26.21548";"23.14291";"31.88551";"28.05636";"20.48266";"28.87522";"35.45144";"39.48148";"23.94412";"27.33370";"24.82002";"27.86135";"25.36926";"26.57504";"34.45197";"28.06641";"22.21425";"24.44553";"25.04459";"23.94014";"28.70699";"26.91755";"35.69087";"31.26165";"34.05404";"31.78521";"28.94376";"25.01729";"31.06850";"30.51891";"24.37749";"32.06660";"40.39744";"30.41498";"32.01194";"32.20336";"38.47270";"32.61036";"29.77778";"35.99364";"35.61015";"34.18815";"33.37815";"27.20741";"43.12574";"31.86655";"31.36276";"43.39861";"30.70469";"37.44885";"39.02104";"34.02599";"39.24005";"36.64403";"22.18323";"38.12806"
"11am";"21.99036";"32.70777";"31.90964";"23.82949";"28.91633";"26.80348";"25.74316";"27.80331";"28.22218";"19.41836";"25.96738";"20.22430";"31.36947";"30.13398";"19.21365";"28.51884";"32.79033";"38.91019";"27.96732";"29.02865";"26.19519";"27.00787";"24.53762";"27.26970";"32.76009";"30.92013";"19.51593";"25.31407";"23.93087";"25.74789";"28.78529";"28.67930";"35.25662";"25.60137";"30.34527";"34.68339";"27.68665";"24.60821";"33.95367";"29.14498";"26.19850";"31.22216";"37.77186";"27.11718";"35.07832";"32.54683";"38.89408";"34.93238";"31.70007";"38.74327";"32.58986";"36.59837";"30.63556";"25.32122";"40.56273";"32.30090";"32.15799";"43.15952";"32.08127";"40.36070";"35.36256";"35.12932";"38.95758";"33.34112";"25.35866";"39.65907"
