"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006";"11540.2006"
"4am";"1138.839";"2168.839";"2802.318";"2268.562";"1613.035";"3140.625";"4085.603";"4881.900";"3252.380";"3499.024";"4794.704";"1819.494";"3842.375";"1731.941";"4773.023";"2517.957";"1302.508";"2136.832";"3530.575";"8149.787";"3120.866";"4358.750";"6140.835";"2858.098";"1771.079";"1651.662";"2890.176";"3031.006";"1865.356";"5875.830";"4161.667";"4265.953";"2685.459";"3361.130";"3619.103";"6462.785";"2737.135";"4563.267";"3038.532";"3926.203";"4096.676";"2002.575";"4760.204";"2703.900";"3343.921";"2519.290";"2443.685";"1104.746";"4527.015";"5252.751";"5692.372";"5508.474";"3646.734";"9414.611";"3324.238";"3418.572";"5836.298";"3445.002";"6064.501";"3683.203";"4577.235";"7878.849";"1867.890";"6166.083";"4981.606";"5405.912"
"5am";"1138.839";"2431.915";"2802.318";"2216.079";"1520.017";"3497.251";"3951.959";"4819.510";"3252.380";"3499.024";"4549.354";"1791.293";"3893.858";"1731.941";"4773.023";"2664.611";"1251.025";"2136.832";"3448.133";"8149.787";"3138.154";"4295.078";"6140.835";"2858.098";"1698.450";"1651.662";"2665.874";"2922.875";"1823.097";"5879.976";"4232.589";"4249.471";"2754.044";"3239.389";"3787.251";"6349.991";"2737.135";"4648.997";"3038.532";"3831.663";"4167.621";"1931.631";"4488.859";"2500.648";"3343.921";"2567.883";"2443.685";"1104.746";"4569.274";"5294.943";"5805.166";"5644.381";"3646.734";"9134.302";"3324.238";"3357.678";"5836.298";"3445.002";"5995.915";"3683.203";"4328.835";"7878.849";"1867.890";"6166.083";"4981.606";"5606.800"
"6am";"1251.633";"2413.680";"2896.028";"2334.993";"1520.017";"3734.292";"3924.683";"4610.810";"3200.926";"3499.024";"4354.820";"1852.528";"4083.707";"1662.906";"4957.506";"2731.396";"1644.523";"2267.206";"3164.058";"7401.412";"3131.191";"4158.634";"6155.027";"3287.437";"1994.209";"1641.744";"2412.505";"2845.580";"2195.513";"6188.675";"4122.759";"4173.424";"2657.867";"3489.566";"3828.290";"5877.352";"2747.774";"4579.023";"3054.976";"3790.679";"3863.909";"1697.709";"4092.011";"2500.648";"3203.155";"2197.450";"2216.632";"1104.746";"4554.309";"5222.713";"5057.646";"5341.721";"3161.540";"8026.926";"2786.785";"3147.917";"5471.365";"3281.249";"5100.440";"3456.574";"3904.851";"7242.072";"1576.907";"5774.622";"4823.030";"5084.067"
"7am";"2218.517";"3907.545";"3160.363";"3159.738";"2052.378";"4521.477";"3846.828";"4458.510";"3533.522";"3018.433";"4060.077";"1785.854";"4201.821";"1527.577";"4650.707";"3201.524";"2276.622";"1947.797";"3048.812";"6325.700";"3826.514";"3960.878";"6453.427";"4254.870";"2583.456";"1561.675";"2568.206";"3861.599";"3569.994";"6259.797";"3750.492";"4374.824";"2487.489";"3263.955";"3656.740";"4239.024";"2679.119";"5066.205";"2350.606";"3257.255";"3877.856";"1510.060";"3335.203";"2309.095";"2598.167";"2431.388";"2155.743";"1145.750";"4668.866";"4965.749";"4162.019";"4635.496";"2095.471";"7852.808";"2308.446";"2481.681";"3636.749";"2413.682";"4289.112";"2731.503";"3618.638";"5566.444";"1278.342";"4567.296";"4256.652";"4571.277"
"8am";"2879.784";"6332.852";"5258.794";"4349.816";"2801.418";"4935.916";"3580.908";"4531.153";"3578.948";"3002.569";"4009.559";"1749.467";"4828.002";"1477.458";"3897.721";"3314.127";"2715.072";"1872.377";"3142.646";"5240.439";"4585.735";"3252.763";"6277.391";"4874.844";"3867.941";"1425.902";"2703.527";"5747.542";"4381.345";"7928.750";"3282.085";"4280.389";"3300.509";"3402.170";"3964.908";"3339.291";"3125.085";"6948.617";"2250.723";"2661.494";"3957.782";"1397.654";"3107.017";"2436.942";"2279.082";"3550.208";"2445.570";" 864.071";"4308.451";"4569.242";"4291.672";"3629.387";"2084.669";"8565.695";"1946.946";"2408.368";"2616.573";"1170.777";"3850.038";"2465.033";"2892.731";"4755.714";"1075.601";"4325.609";"3507.813";"4120.204"
"9am";"3601.1727";"8122.2904";"5744.4292";"5329.5504";"3317.2039";"5635.1402";"3208.1854";"4593.8387";"3440.4423";"2900.3750";"3498.9219";"1204.6185";"5027.9222";"1319.7670";"3813.2716";"2879.9747";"2865.7204";"1760.3913";"2967.6396";"4997.4886";"4906.1299";"2924.2777";"6851.9317";"5124.7672";"4048.0118";"1226.2334";"3064.6510";"6106.9531";"4566.5410";"8959.5664";"3220.0076";"4216.1763";"3721.6666";"2970.5260";"3814.9597";"3052.0636";"3317.9128";"6494.2926";"2207.9663";"2670.4498";"4271.4533";"1347.4248";"2962.2248";"2486.7278";"2014.3910";"3813.4307";"2293.9020";"1096.0479";"4411.9586";"4708.6785";"4246.5176";"3727.8568";"1952.4182";"7748.6741";"1942.1931";"2305.2384";"2616.5726";"1170.2093";"4002.2772";"2045.2516";"2988.8750";"4458.9819";" 938.1857";"3925.2927";"3056.2020";"3251.7148"
"10am";"3296.8795";"9080.6490";"6033.6802";"5430.5672";"3409.0716";"5633.5025";"2758.9377";"4541.7915";"3062.1063";"2906.8242";"3758.7496";"1084.9534";"5814.5155";"1208.4306";"3145.3562";"2697.8599";"3231.6410";"1703.3840";"2632.5741";"5147.1103";"5407.3092";"2781.7087";"7068.8236";"5177.7674";"4124.1138";"1099.2007";"2947.7014";"6324.4240";"4797.3164";"9278.0123";"3133.9723";"4332.1490";"3674.7443";"3234.1706";"3722.4074";"2926.1471";"3324.6488";"6545.5551";"2290.4548";"2661.0215";"4444.5627";"1422.6047";"2426.6416";"2533.4039";"1881.7127";"4139.0712";"2401.1319";" 867.7222";"4558.9032";"4218.8494";"3922.3937";"3677.1226";"2280.9077";"8149.8871";"1782.1206";"2581.6632";"2107.1793";" 989.5697";"3872.2257";"2162.7749";"2673.1819";"4670.2058";" 979.7783";"3768.0484";"3056.2020";"3716.0299"
"11am";"3183.8884";"9204.5157";"5440.1415";"4937.6586";"3114.9948";"5276.5588";"3099.3352";"4046.7061";"3085.4040";"2999.8424";"3462.9370";"1276.7400";"5865.6983";"1481.1665";"3439.6284";"2313.3162";"3408.5633";"1750.8793";"3190.2215";"4905.2380";"5325.3259";"2786.2948";"7100.2698";"5269.7911";"3722.6793";"1167.5391";"2635.9788";"6090.6410";"4858.4327";"9691.4620";"3202.1817";"4589.2858";"3752.7626";"3391.0430";"3731.3740";"2982.8417";"3475.7055";"6528.0115";"1915.5963";"2719.4583";"3789.9212";"1016.4166";"2610.8367";"2519.0889";"2086.9605";"4191.0378";"2351.7243";" 687.3270";"4601.2273";"4358.3848";"4136.3215";"3806.3616";"2326.9449";"8183.5071";"2214.6655";"2341.6300";"1816.0250";" 839.8312";"3665.8944";"2077.9143";"2585.1683";"4865.6513";"1007.8111";"4225.5673";"3426.8497";"3583.4283"
