"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742";"8474.5742"
"4am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0"
"7am";"   0.0000";"2073.7814";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1144.8048";"   0.0000";"   0.0000";" 978.9118";"   0.0000";"1578.4137";"2040.7537";"2147.4011";"   0.0000";"   0.0000";"2165.0412";"2797.8395";"2114.4327";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1095.7837";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 817.2417";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000"
"8am";"1129.4170";"3517.6889";"3005.8408";"2216.0607";" 885.0582";"1544.7077";"1066.0522";"1534.2201";"1018.3389";"   0.0000";"   0.0000";"   0.0000";"1746.4791";"   0.0000";"   0.0000";" 885.5820";" 990.3610";"1837.4467";"   0.0000";"1383.2958";"1020.7801";"   0.0000";"3877.9858";"3534.9519";"3886.8307";"   0.0000";"2119.7713";"4699.8031";"5331.6068";"5419.6740";"   0.0000";"1759.3133";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1273.3605";"2212.6398";"   0.0000";"   0.0000";" 891.8148";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2442.7621";"   0.0000";"   0.0000";" 956.6498";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1472.1412";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000"
"9am";"1265.1821";"5739.3784";"3743.5915";"2643.8810";"1162.9150";"1449.6397";"1265.0511";"1797.2352";"1086.7949";"1189.3242";" 923.0430";"   0.0000";"2653.4989";"   0.0000";"   0.0000";" 989.4929";"1175.6062";"2023.3994";"   0.0000";"1464.3708";"1281.3934";"   0.0000";"5169.7581";"4182.4191";"4188.0410";"   0.0000";"2361.7763";"5573.9050";"6418.9568";"6484.6810";"   0.0000";"2109.2386";" 899.1128";"1135.1969";"   0.0000";"   0.0000";"1561.7840";"2384.0922";"   0.0000";"   0.0000";"1096.9588";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2940.0585";"   0.0000";"   0.0000";"1122.2744";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1535.7203";"   0.0000";"1061.9279";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000"
"10am";"1832.2961";"7072.6571";"3062.2963";"3065.7054";"1551.9019";"1312.6817";"1164.6006";"1957.4586";"1086.7949";" 951.5023";" 923.0430";"   0.0000";"2702.4337";"   0.0000";"   0.0000";"1332.9689";"1537.3897";"2118.7521";" 740.6164";"1564.5198";"1223.3656";"   0.0000";"5124.0162";"4363.2911";"4251.7418";"   0.0000";"2308.2814";"5833.6093";"6778.7057";"6513.9073";"1236.4600";"2292.3427";"1009.2292";"1168.5058";"   0.0000";"   0.0000";"1474.2969";"2718.2812";"   0.0000";"   0.0000";"1299.8233";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"3698.9361";"1107.8291";"   0.0000";"1923.3217";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1572.1316";"   0.0000";"1092.5446";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000"
"11am";"1302.2951";"7089.5973";"3130.0046";"2907.6070";"1355.1746";"1552.9615";"1311.2343";"1470.2392";" 982.6573";" 973.1521";"   0.0000";"   0.0000";"2552.6053";"   0.0000";"   0.0000";"1249.1232";"1572.4751";"1911.7262";" 774.4014";"1462.3102";"1279.6111";"   0.0000";"4815.5556";"4288.3115";"3995.9292";"   0.0000";"1833.6221";"5533.4849";"5911.0999";"5959.2050";"1058.9327";"2147.3388";"   0.0000";" 849.7208";"   0.0000";"   0.0000";"1540.8482";"2526.0063";"   0.0000";"   0.0000";" 980.5089";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"3624.8495";" 879.7776";"   0.0000";"1988.7483";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1686.6021";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000"
"12am";"1588.2205";"7137.0065";"2820.6368";"2482.7277";"1063.1883";"1028.4885";"1115.2021";"1137.0575";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2303.7520";"   0.0000";"   0.0000";"1310.5057";"1443.0848";"1793.9425";"   0.0000";"1127.0453";"1315.9121";"   0.0000";"4075.1815";"3881.9623";"3047.0488";"   0.0000";"1621.0501";"5292.4307";"4618.5469";"6233.0323";"   0.0000";"2007.9050";"1049.9451";" 981.7858";"   0.0000";"   0.0000";"1198.3395";"2468.6988";"   0.0000";"   0.0000";" 987.2453";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"3681.6836";"   0.0000";"   0.0000";"1478.8234";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1273.5325";"   0.0000";" 969.5675";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000"
