"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1422,0.3177,0.2471,0.134,0.2113
"5am",0.1429,0.3174,0.2476,0.1351,0.2112
"6am",0.1395,0.337,0.2468,0.1434,0.2131
"7am",0.1565,0.3879,0.247,0.206,0.2346
"8am",0.2067,0.3984,0.2783,0.2655,0.2778
"9am",0.2138,0.4006,0.2788,0.2766,0.2949
"10am",0.2057,0.3969,0.2543,0.2697,0.2935
"11am",0.2081,0.3924,0.2728,0.2826,0.2822
"12am",0.1899,0.3715,0.2684,0.2697,0.2673
"1pm",0.2036,0.3986,0.2675,0.2773,0.2865
"2pm",0.2015,0.3945,0.2497,0.2523,0.2896
"3pm",0.1993,0.3897,0.2471,0.2469,0.2863
"4pm",0.1878,0.3747,0.2665,0.2406,0.28
"5pm",0.1591,0.346,0.2543,0.1891,0.2559
"6pm",0.1341,0.3128,0.2472,0.1519,0.2178
"7pm",0.1339,0.3106,0.2403,0.1413,0.2173
"8pm",0.1355,0.3016,0.2467,0.1371,0.2204
"9pm",0.1381,0.3123,0.2501,0.1409,0.2143
"10pm",0.1417,0.3107,0.2489,0.1387,0.21
"11pm",0.1438,0.3153,0.2431,0.1352,0.208
"12pm",0.1414,0.3175,0.2463,0.1335,0.2122
"1am",0.1415,0.3134,0.2453,0.132,0.2137
"2am",0.1426,0.3142,0.2463,0.1317,0.2143
"3am",0.1427,0.3143,0.2486,0.1323,0.214
