"variable","CODE_SEC","RES_SEC","W_IND"
"h7","001","002",85.93
"h7","001","003",74.4275
"h7","001","004",75.9733
"h7","001","016",64.651
"h7","001","018",76.6174
"h7","001","020",106.8032
"h7","001","024",102.3105
"h7","001","027",146.6548
"h7","001","029",36.7224
"h7","001","042",49.7859
"h7","001","046",64.1248
"h7","001","052",73.9593
"h7","001","054",154.1172
"h7","001","057",129.4295
"h7","001","059",68.5853
"h7","002","003",292.3184
"h7","002","004",227.9199
"h7","002","005",316.1709
"h7","002","006",446.826
"h7","002","007",165.6534
"h7","002","008",265.1523
"h7","002","009",213.7792
"h7","002","010",408.878
"h7","002","011",235.0896
"h7","002","012",36.2673
"h7","002","016",64.651
"h7","002","018",134.3483
"h7","002","019",71.8392
"h7","002","021",89.4912
"h7","002","022",231.9318
"h7","002","023",83.7689
"h7","002","024",198.8293
"h7","002","026",34.1692
"h7","002","027",229.9974
"h7","002","030",116.5101
"h7","002","031",37.9692
"h7","002","032",211.816
"h7","002","033",46.8231
"h7","002","034",60.802
"h7","002","040",59.6761
"h7","002","041",77.4938
"h7","002","043",274.6371
"h7","002","044",280.8054
"h7","002","045",171.9558
"h7","002","046",47.5948
"h7","002","047",158.7415
"h7","002","049",58.5205
"h7","002","050",121.6139
"h7","002","055",187.2462
"h7","002","057",212.1478
"h7","002","059",259.9269
"h7","003","004",75.9733
"h7","003","005",67.9782
"h7","003","008",88.3841
"h7","003","009",85.1091
"h7","003","019",82.4414
"h7","003","022",68.2581
"h7","003","024",79.0175
"h7","003","034",60.802
"h7","003","046",113.8246
"h7","003","050",121.6139
"h7","003","054",116.1748
"h7","003","055",108.7437
"h7","004","001",69.4492
"h7","004","003",110.3449
"h7","004","005",93.0179
"h7","004","007",70.9217
"h7","004","008",73.7497
"h7","004","016",46.1399
"h7","004","017",34.0435
"h7","004","018",35.3717
"h7","004","024",79.0175
"h7","004","026",34.1692
"h7","004","033",53.3067
"h7","004","036",88.0136
"h7","004","054",154.1172
"h7","004","056",183.5368
"h7","004","060",122.1462
"h7","005","003",146.6122
"h7","005","008",88.3841
"h7","005","011",185.491
"h7","005","013",80.7421
"h7","005","017",41.9147
"h7","005","019",71.8392
"h7","005","027",146.6548
"h7","005","043",93.1572
"h7","005","046",64.1248
"h7","005","051",126.9451
"h7","005","059",61.0055
"h7","005","066",104.2605
"h7","013","003",117.0879
"h7","013","005",93.0179
"h7","013","010",78.6599
"h7","013","017",34.0435
"h7","013","019",82.4414
"h7","013","029",36.7224
"h7","013","031",73.9866
"h7","013","039",57.5152
"h7","013","041",188.0888
"h7","013","045",68.0071
"h7","013","051",126.9451
"h7","013","061",102.9751
"h7","016","001",44.0683
"h7","016","003",74.4275
"h7","016","005",99.7686
"h7","016","011",136.9813
"h7","016","013",198.364
"h7","016","026",44.4352
"h7","016","029",35.8843
"h7","016","030",222.3836
"h7","016","039",39.4679
"h7","016","042",49.3424
"h7","016","059",237.706
"h7","016","063",33.0896
"h7","020","006",79.8293
"h7","020","008",194.7962
"h7","020","012",22.5344
"h7","020","017",34.0435
"h7","020","019",65.4755
"h7","020","021",58.315
"h7","020","027",62.3373
"h7","020","031",110.8755
"h7","020","044",157.8144
"h7","020","055",225.5828
"h7","020","056",60.8937
"h7","020","057",469.6569
"h7","020","066",68.6409
"h7","024","001",157.5858
"h7","024","003",406.4491
"h7","024","004",347.6418
"h7","024","005",180.2145
"h7","024","010",78.6599
"h7","024","011",389.0674
"h7","024","012",116.3729
"h7","024","013",98.7561
"h7","024","014",36.7282
"h7","024","015",81.1838
"h7","024","017",57.9699
"h7","024","018",68.6984
"h7","024","023",58.3404
"h7","024","027",146.6548
"h7","024","032",55.6149
