"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719";"96.0828035138719"
"4am";"23.55518";"13.47033";"22.55581";"14.97382";"36.40831";"52.52278";"49.58465";"30.12859";"51.50362";"43.63231";"38.50930";"22.16577";"34.95190";"55.62975";"40.78732";"44.13351";"54.48769";"57.83011";"65.68474";"72.68779";"51.42580";"59.34490";"57.35634";"42.65262";"65.58063";"80.55433";"29.22552";"59.85650";"83.17155";"69.66115";"80.41159";"63.12164";"74.64791";"65.73046";"77.14272";"77.70679";"86.55797";"72.11024";"88.79463";"83.76868";"80.35664";"85.08788";"74.10590";"78.35317";"80.77051";"77.78363";"67.92079";"88.98511";"77.74491";"73.92103";"84.81347";"85.45368";"91.15018";"70.65597";"77.69065";"78.25666";"82.82360";"86.16752";"82.79248";"90.13667";"91.86227";"85.05653";"86.72709";"92.42191";"90.45731";"85.86867"
"5am";"23.55518";"13.69109";"22.55581";"14.61218";"36.89055";"53.40565";"48.72173";"30.54383";"51.83530";"43.63231";"38.28285";"23.47509";"34.83235";"54.51457";"41.54988";"43.70869";"55.52931";"58.98461";"65.82579";"72.37527";"51.54922";"59.67624";"57.47390";"42.65574";"65.92544";"80.55433";"29.96869";"59.38300";"83.66970";"69.66934";"80.48518";"62.64221";"74.83751";"66.56390";"77.74705";"77.57203";"86.71905";"72.48408";"88.73032";"83.57249";"80.61822";"85.71636";"73.85292";"80.83301";"80.77051";"77.90988";"67.67248";"88.84182";"78.00092";"73.80178";"84.90974";"85.65454";"90.96257";"71.02543";"77.69065";"78.33399";"82.57209";"86.16752";"82.67104";"89.88516";"91.50392";"85.05653";"86.62801";"92.42191";"90.60275";"87.58751"
"6am";"23.51023";"14.49013";"22.97601";"15.49822";"37.75315";"55.43325";"47.50933";"31.72141";"51.07600";"44.28200";"37.79467";"25.89083";"36.26233";"54.17428";"42.46538";"43.74716";"56.95562";"65.81778";"65.72221";"71.84037";"53.18328";"58.50686";"58.05480";"43.80495";"73.00221";"80.61769";"29.63185";"58.66150";"84.01700";"72.21456";"80.43904";"63.66265";"74.56142";"65.45627";"78.17821";"79.00660";"87.32520";"75.57783";"89.47402";"83.21565";"81.25494";"85.00816";"71.57672";"81.06162";"80.61064";"78.91164";"68.71560";"88.62325";"78.88296";"76.75682";"87.18507";"86.91372";"91.23340";"74.08993";"80.44876";"80.91911";"80.92831";"86.09623";"82.95972";"90.49365";"90.47399";"83.36404";"88.08124";"91.67130";"90.83757";"88.17652"
"7am";"24.28985";"13.31762";"25.52713";"24.33299";"37.97244";"57.08679";"45.18210";"35.35451";"48.85492";"46.62859";"35.70883";"26.28227";"37.54810";"52.93233";"41.23595";"44.97571";"59.54310";"72.48174";"64.70561";"58.25603";"50.75943";"56.41483";"67.24340";"37.50696";"84.11513";"80.15814";"39.25975";"56.56569";"87.72457";"73.12061";"82.00099";"64.14194";"69.92414";"67.24120";"69.27267";"78.98842";"84.31374";"76.89355";"90.32924";"84.48572";"81.88280";"87.13152";"78.21054";"86.02875";"85.21833";"83.45861";"64.67535";"87.39993";"77.86475";"71.57858";"87.22252";"85.50857";"85.96367";"73.24844";"81.31141";"83.17168";"85.21848";"85.60939";"88.20004";"88.80907";"94.33083";"82.20821";"87.63535";"88.36149";"87.87193";"89.45578"
"8am";"21.60079";"16.27017";"29.72250";"27.59208";"34.27235";"57.04848";"45.28669";"31.86609";"44.92248";"46.79261";"33.89555";"29.30467";"31.39909";"55.06160";"42.74189";"43.22929";"65.83608";"74.08325";"57.46789";"57.10534";"52.69233";"49.78677";"74.38983";"35.61236";"88.18345";"79.18855";"49.28349";"52.44801";"86.18719";"79.15976";"86.78834";"65.31766";"72.33528";"63.06719";"65.19413";"73.30512";"82.97736";"80.09837";"92.34577";"84.63579";"81.80488";"85.77099";"76.58548";"84.46894";"81.40604";"82.86268";"61.44533";"86.23259";"76.75841";"76.69578";"84.16596";"85.36728";"86.55272";"74.54381";"72.79217";"84.84939";"90.23031";"80.48815";"83.23000";"83.96889";"92.16208";"78.42959";"83.12836";"88.42942";"86.45042";"92.65700"
"9am";"21.18649";"14.74240";"30.19185";"29.66743";"36.41346";"59.17517";"44.81300";"35.38803";"44.84476";"44.63225";"35.98657";"36.42806";"33.95246";"61.89903";"40.23091";"42.58037";"69.83685";"70.20268";"59.34562";"59.39274";"51.37046";"46.25561";"77.25828";"35.70251";"88.36301";"81.43111";"49.42230";"53.38675";"85.94864";"80.60534";"86.46902";"69.28652";"74.87936";"64.68364";"65.79817";"73.07537";"83.15833";"76.52960";"90.63625";"82.18837";"81.50759";"83.53376";"76.25284";"84.14641";"80.12609";"82.77956";"57.49356";"83.28683";"81.04717";"75.76324";"82.66736";"87.62246";"84.15058";"73.04798";"70.18669";"87.73006";"83.48222";"78.91140";"86.61849";"84.63009";"91.87112";"78.72401";"87.68561";"87.27139";"84.11652";"91.66203"
"10am";"19.43476";"14.14330";"32.19098";"26.62797";"35.29197";"58.45652";"39.96793";"36.19811";"42.70766";"44.52542";"37.24036";"37.09623";"32.55789";"58.67428";"35.80794";"43.39446";"71.84574";"75.13609";"58.15414";"55.43902";"49.61795";"47.10345";"77.08144";"36.66199";"88.62736";"80.10654";"47.01575";"51.68700";"85.75052";"80.50678";"86.26256";"71.60933";"76.59779";"64.74834";"64.17681";"73.75460";"83.50995";"78.85767";"92.19843";"85.10714";"84.74691";"87.07274";"77.68622";"81.54521";"72.33821";"82.33876";"59.73372";"88.06668";"81.22231";"75.01800";"81.00363";"86.05742";"82.07645";"73.96005";"62.35439";"85.03213";"86.12355";"73.73790";"89.70651";"80.66246";"91.89011";"76.87824";"89.49357";"84.13197";"78.38208";"92.32113"
"11am";"19.58508";"14.11163";"32.91101";"26.96778";"37.81277";"55.57941";"38.28847";"31.96755";"41.46392";"42.13802";"31.64183";"34.91576";"34.62335";"57.02498";"38.00161";"43.41370";"71.11604";"74.90443";"60.66551";"51.88697";"50.22263";"44.22798";"76.73851";"37.68084";"86.56511";"76.77409";"46.18627";"50.79568";"86.65355";"79.05243";"79.98985";"72.53800";"77.35535";"64.88157";"61.20231";"73.45447";"84.49218";"79.23988";"92.17179";"81.63796";"84.49600";"84.71049";"80.21142";"84.25174";"75.83703";"83.18947";"59.17467";"90.78154";"80.10469";"76.36147";"79.62544";"80.40572";"80.73897";"74.67223";"69.98206";"83.83786";"88.00687";"72.70519";"88.74192";"87.34770";"92.24103";"74.19858";"88.39408";"87.23673";"85.04230";"90.68747"
