"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917";"20623.917"
"4am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0"
"5am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0"
"7am";" 937.3573";"6228.8992";"2008.6554";"1731.7315";"1204.8110";"1888.9319";" 790.5221";"1001.5238";" 952.0871";"   0.0000";"   0.0000";"   0.0000";"1132.0240";"   0.0000";"   0.0000";"2013.7236";"1366.5967";"1354.8082";"   0.0000";"1053.2043";"1404.1042";"   0.0000";"1969.6582";"4275.8998";"1536.0692";"   0.0000";" 769.9718";"2409.7500";"3091.3561";"3196.5484";"   0.0000";"1681.0043";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1383.1441";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1545.6198";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000"
"8am";" 3310.7382";"12600.3604";" 4690.8123";" 4939.2755";" 2106.6556";" 3449.8475";" 1708.9532";" 2296.9895";" 1861.6751";" 1121.1196";" 1339.6916";"  775.7096";" 3459.2327";" 1164.8787";" 1117.1860";" 3060.3260";" 2815.7911";" 2330.0113";"    0.0000";" 1577.2587";" 2870.8179";"    0.0000";" 5096.6919";" 7700.1305";" 3523.8692";"    0.0000";" 1815.8387";" 8687.2817";" 6143.1046";" 7667.8941";"    0.0000";" 2480.3111";"    0.0000";" 1720.0756";"    0.0000";"  735.3345";" 1240.2928";" 2650.2882";"    0.0000";"    0.0000";" 1280.4523";"    0.0000";"    0.0000";"    0.0000";"  827.9881";" 4156.8989";" 1224.2835";"    0.0000";" 1044.7488";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1013.8929";"    0.0000";" 1074.7150";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"0";"    0.0000";"    0.0000";"    0.0000"
"9am";" 4590.6892";"17252.2609";" 5928.6850";" 6635.0045";" 3021.7030";" 3901.5463";" 2040.9198";" 2967.7478";" 2434.2912";" 1917.9344";" 1397.7671";"  847.2664";" 4618.1183";" 1244.4415";" 1405.0002";" 3142.8982";" 3082.9467";" 2525.8555";"  920.1702";" 2138.0751";" 4016.4332";"    0.0000";" 6425.0615";" 9494.9192";" 4028.2936";" 1024.6958";" 2071.4012";"11269.4145";" 7389.3300";" 9419.4609";"    0.0000";" 2665.9285";"    0.0000";" 1755.6573";"    0.0000";"  877.5137";" 1567.2955";" 2911.2800";"    0.0000";"    0.0000";" 1829.0044";"    0.0000";"    0.0000";"    0.0000";"  820.0333";" 4949.6752";" 1341.8283";"    0.0000";" 1583.3286";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1148.4536";"    0.0000";" 1442.2570";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"0";"    0.0000";"    0.0000";"    0.0000"
"10am";" 5140.1730";"20623.9170";" 5823.5632";" 7553.6274";" 3255.5702";" 3505.1146";" 1638.1986";" 3796.3613";" 2507.7234";" 1822.8525";" 1725.1736";"  872.5945";" 4881.6377";" 1317.6445";" 1657.3971";" 3641.0428";" 3540.2875";" 2695.4536";"    0.0000";" 2551.2815";" 5083.5796";"    0.0000";" 7017.8684";"10145.0122";" 4603.6338";" 1024.6958";" 2341.6000";"12676.5616";" 7558.6304";"10264.5614";"    0.0000";" 3106.4226";" 1012.1363";" 1860.6553";" 1004.5372";"  991.7245";" 1726.6747";" 3157.3896";"    0.0000";"    0.0000";" 1548.8498";"    0.0000";"    0.0000";"    0.0000";"  849.1393";" 5627.9220";" 1539.1138";"    0.0000";" 1703.4000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1209.3170";"    0.0000";" 1370.3482";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"0";"    0.0000";"    0.0000";"  974.5845"
"11am";" 4292.6518";"19680.0517";" 5543.3357";" 6622.6054";" 2717.5601";" 3536.0964";" 1690.3009";" 3307.1919";" 2414.5058";" 1774.2344";" 1535.7051";"    0.0000";" 4256.7352";" 1326.1439";" 1495.8825";" 3225.1769";" 3282.1317";" 2351.4770";"  943.4378";" 1764.2636";" 4771.2360";"    0.0000";" 6270.8597";" 9911.0037";" 3801.6388";"  938.6104";" 1752.0715";"12090.4091";" 7275.5893";" 9970.8140";"    0.0000";" 2884.4633";"    0.0000";" 2091.8027";"    0.0000";" 1007.4794";" 1812.0261";" 3092.4185";"    0.0000";"    0.0000";" 1235.5284";"    0.0000";"    0.0000";"    0.0000";"  849.1393";" 5720.8414";" 1630.3523";"    0.0000";" 1891.3307";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1342.7534";"    0.0000";" 1251.0794";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"0";"    0.0000";"    0.0000";"    0.0000"
