"district","hour","sex1","sex2"
"001","4am",0,0
"002","4am",0,0
"003","4am",0,0
"004","4am",0,0
"005","4am",0,0
"006","4am",0,0
"007","4am",0,0
"008","4am",0,0
"009","4am",0,0
"010","4am",0,0
"011","4am",0,0
"012","4am",0,0
"013","4am",0,0
"014","4am",0,0
"015","4am",0,0
"016","4am",0,0
"017","4am",0,0
"018","4am",0,0
"019","4am",0,0
"020","4am",0,0
"021","4am",0,0
"022","4am",0,0
"023","4am",0,0
"024","4am",0,0
"025","4am",0,0
"026","4am",0,0
"027","4am",0,0
"028","4am",0,0
"029","4am",0,0
"030","4am",0,0
"031","4am",0,0
"032","4am",0,0
"033","4am",0,0
"034","4am",0,0
"035","4am",0,0
"036","4am",0,0
"037","4am",0,0
"038","4am",0,0
"039","4am",0,0
"040","4am",0,0
"041","4am",0,0
"042","4am",0,0
"043","4am",0,0
"044","4am",0,0
"045","4am",0,0
"046","4am",0,0
"047","4am",0,0
"048","4am",0,0
"049","4am",0,0
"050","4am",0,0
"051","4am",0,0
"052","4am",0,0
"053","4am",0,0
"054","4am",0,0
"055","4am",0,0
"056","4am",0,0
"057","4am",0,0
"058","4am",0,0
"059","4am",0,0
"060","4am",0,0
"061","4am",0,0
"062","4am",0,0
"063","4am",0,0
"064","4am",0,0
"065","4am",0,0
"066","4am",0,0
"001","5am",0,0
"002","5am",0,0
"003","5am",0,0
"004","5am",0,0
"005","5am",0,0
"006","5am",0,0
"007","5am",0,0
"008","5am",0,0
"009","5am",0,0
"010","5am",0,0
"011","5am",0,0
"012","5am",0,0
"013","5am",0,0
"014","5am",0,0
"015","5am",0,0
"016","5am",0,0
"017","5am",0,0
"018","5am",0,0
"019","5am",0,0
"020","5am",0,0
"021","5am",0,0
"022","5am",0,0
"023","5am",0,0
"024","5am",0,0
"025","5am",0,0
"026","5am",0,0
"027","5am",0,0
"028","5am",0,0
"029","5am",0,0
"030","5am",0,0
"031","5am",0,0
"032","5am",0,0
"033","5am",0,0
"034","5am",0,0
"035","5am",0,0
"036","5am",0,0
"037","5am",0,0
"038","5am",0,0
"039","5am",0,0
"040","5am",0,0
"041","5am",0,0
"042","5am",0,0
"043","5am",0,0
"044","5am",0,0
"045","5am",0,0
"046","5am",0,0
"047","5am",0,0
"048","5am",0,0
"049","5am",0,0
"050","5am",0,0
"051","5am",0,0
"052","5am",0,0
"053","5am",0,0
"054","5am",0,0
"055","5am",0,0
"056","5am",0,0
"057","5am",0,0
"058","5am",0,0
"059","5am",0,0
"060","5am",0,0
"061","5am",0,0
"062","5am",0,0
"063","5am",0,0
"064","5am",0,0
"065","5am",0,0
"066","5am",0,0
"001","6am",0,0
"002","6am",0,0
"003","6am",0,0
"004","6am",0,0
"005","6am",0,0
"006","6am",1356.883,0
"007","6am",0,0
"008","6am",0,0
"009","6am",0,0
"010","6am",0,0
"011","6am",0,0
"012","6am",0,0
"013","6am",0,0
"014","6am",0,0
"015","6am",0,0
"016","6am",0,0
"017","6am",0,0
"018","6am",1006.414,0
"019","6am",0,0
"020","6am",0,0
"021","6am",0,0
"022","6am",0,0
"023","6am",0,0
"024","6am",0,0
"025","6am",0,0
"026","6am",0,0
"027","6am",0,0
"028","6am",0,0
"029","6am",1716.394,0
"030","6am",1943.063,0
"031","6am",0,0
"032","6am",0,0
"033","6am",0,0
"034","6am",0,0
"035","6am",0,0
"036","6am",0,0
"037","6am",0,0
"038","6am",1346.762,0
"039","6am",0,0
"040","6am",0,0
"041","6am",0,0
"042","6am",0,0
"043","6am",0,0
"044","6am",0,0
"045","6am",0,0
"046","6am",0,0
"047","6am",0,0
"048","6am",0,0
"049","6am",0,0
"050","6am",0,0
"051","6am",0,0
"052","6am",0,0
"053","6am",0,0
"054","6am",0,0
"055","6am",0,0
"056","6am",0,0
"057","6am",0,0
"058","6am",0,0
"059","6am",0,0
"060","6am",0,0
"061","6am",0,0
"062","6am",0,0
"063","6am",0,0
"064","6am",0,0
"065","6am",0,0
"066","6am",0,0
"001","7am",0,1115.3709
"002","7am",4087.1108,5768.8541
"003","7am",1326.1559,2525.9813
"004","7am",999.4296,2290.1455
"005","7am",961.9249,1570.9579
"006","7am",3139.9636,1028.8374
"007","7am",1166.5126,1129.3443
"008","7am",1671.564,0
"009","7am",764.1488,1128.7006
"010","7am",0,0
"011","7am",0,0
"012","7am",0,0
"013","7am",1330.3221,1773.4486
"014","7am",0,0
"015","7am",0,0
"016","7am",1795.4276,2301.13
"017","7am",1301.4079,1139.9159
"018","7am",2237.6439,0
"019","7am",909.4547,0
"020","7am",1361.6527,0
"021","7am",1918.5562,1127.2835
"022","7am",0,0
"023","7am",4926.4405,1603.615
"024","7am",5346.9749,3472.3564
"025","7am",3860.6142,1307.8985
"026","7am",0,0
"027","7am",0,1125.9824
"028","7am",3418.7814,2662.9872
"029","7am",6929.7135,2119.1344
"030","7am",6760.1959,2449.453
"031","7am",0,0
"032","7am",2139.1158,978.8148
"033","7am",1075.0221,0
"034","7am",0,0
"035","7am",2175.1208,0
"036","7am",0,0
"037","7am",2478.67,1595.5719
"038","7am",3290.7682,1416.6273
"039","7am",0,0
"040","7am",0,0
"041","7am",1338.6706,0
"042","7am",1303.0288,0
"043","7am",0,0
"044","7am",0,0
"045","7am",0,0
"046","7am",1745.4521,1164.3915
"047","7am",1221.9584,0
"048","7am",0,0
"049","7am",1954.5133,0
"050","7am",0,0
"051","7am",0,0
"052","7am",0,0
"053","7am",0,0
"054","7am",1873.4668,0
"055","7am",0,0
"056","7am",0,0
"057","7am",0,0
"058","7am",0,0
"059","7am",0,0
"060","7am",0,0
"061","7am",0,0
"062","7am",0,0
"063","7am",0,0
"064","7am",0,0
"065","7am",0,0
"066","7am",1168.954,0
"001","8am",1734.59,3500.3627
"002","8am",6975.714,12407.6585
"003","8am",3856.102,6061.6521
"004","8am",2743.27,6112.1032
"005","8am",1475.708,2545.1043
"006","8am",4932.882,2365.3624
"007","8am",1694.969,2363.4688
"008","8am",2260.361,1812.7306
"009","8am",1058.738,2600.5181
"010","8am",0,1393.3932
"011","8am",1581.4,0
"012","8am",0,0
"013","8am",2990.633,3464.3526
"014","8am",1164.573,758.1719
"015","8am",1306.994,0
"016","8am",2469.073,3098.1938
"017","8am",2116.359,3755.1413
"018","8am",3106.1,1558.3728
"019","8am",1474.467,0
"020","8am",2012.484,1753.4859
"021","8am",2989.277,2366.9768
"022","8am",0,0
"023","8am",8658.932,5390.9133
"024","8am",8102.094,5999.3153
"025","8am",6189.687,3966.9901
"026","8am",1340.744,0
"027","8am",2639.059,2197.1701
"028","8am",8550.622,8926.1822
"029","8am",12151.337,5398.6756
"030","8am",13709.782,6140.1364
"031","8am",1155.256,0
"032","8am",3181.022,2288.585
"033","8am",1918.072,1222.3138
"034","8am",1629.08,1767.532
"035","8am",2478.892,1425.8895
"036","8am",1232.684,0
"037","8am",3590.735,2906.9372
"038","8am",5956.083,3395.6584
"039","8am",0,0
"040","8am",0,0
"041","8am",1765.39,1994.3125
"042","8am",1714.383,0
"043","8am",0,955.9404
"044","8am",1058.334,967.9602
"045","8am",0,893.7096
"046","8am",4344.786,3296.5477
