"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4";"10112.4"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0"
"6am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"7am";" 457.92";"1017.60";"   0.00";" 419.76";"1195.68";"   0.00";"   0.00";" 381.60";"   0.00";"   0.00";"   0.00";" 178.08";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 368.88"
"8am";" 928.56";"2658.48";" 152.64";" 877.68";"1793.52";"   0.00";"   0.00";"1081.20";"   0.00";"   0.00";"   0.00";" 559.68";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 152.64";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 597.84"
"9am";" 954.00";"2849.28";" 152.64";" 903.12";"2086.08";"   0.00";" 152.64";"1081.20";"   0.00";"   0.00";"   0.00";" 597.84";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 152.64";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 661.44"
"10am";" 966.72";"3040.08";" 165.36";" 966.72";"2200.56";"   0.00";"   0.00";"1106.64";"   0.00";"   0.00";"   0.00";" 572.40";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 178.08";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 661.44"
"11am";" 954.00";"3052.80";" 165.36";" 954.00";"2136.96";"   0.00";"   0.00";"1055.76";"   0.00";"   0.00";"   0.00";" 572.40";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 165.36";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 661.44"
"12am";" 941.28";"3040.08";" 165.36";"1030.32";"2226.00";"   0.00";"   0.00";" 992.16";"   0.00";"   0.00";"   0.00";" 572.40";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 152.64";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 661.44"
"1pm";" 941.28";"3129.12";" 152.64";"1043.04";"2302.32";"   0.00";" 165.36";"1017.60";"   0.00";"   0.00";"   0.00";" 597.84";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 623.28"
"2pm";" 954.00";"2951.04";" 152.64";"1017.60";"2149.68";"   0.00";" 165.36";" 992.16";"   0.00";"   0.00";"   0.00";" 585.12";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 597.84"
"3pm";" 407.04";"2149.68";"   0.00";" 496.08";"1704.48";"   0.00";"   0.00";" 368.88";"   0.00";"   0.00";"   0.00";" 318.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 419.76"
"4pm";" 178.08";"1322.88";"   0.00";" 228.96";"1093.92";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 216.24"
