"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277";"99.4957983193277"
"4am";"0.94117647";"0.43763676";"0.00000000";"0.97276265";"0.09099181";"0.07911392";"0.45901639";"0.16977929";"0.00000000";"0.40733198";"0.72595281";"0.99277978";"0.48465267";"0.00000000";"0.33670034";"0.00000000";"0.15174507";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.53667263";"0.00000000";"0.00000000";"0.00000000";"0.20790021";"0.00000000";"0.00000000";"0.00000000"
"5am";"0.90702948";"0.43478261";"0.38610039";"0.98135427";"0.09132420";"0.07980846";"0.46235139";"0.17152659";"0.00000000";"0.40733198";"0.73260073";"0.99277978";"0.56910569";"0.00000000";"0.33840948";"0.00000000";"0.15479876";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.54249548";"0.00000000";"0.00000000";"0.00000000";"0.20920502";"0.21834061";"0.00000000";"0.00000000"
"6am";"0.77220077";"0.42643923";"0.00000000";"1.27826942";"0.09124088";"0.08006405";"0.54421769";"0.17035775";"0.00000000";"0.41580042";"0.77972710";"1.03480715";"0.50547599";"0.00000000";"0.31746032";"0.17211704";"0.16155089";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.54644809";"0.00000000";"0.00000000";"0.00000000";"0.21786492";"0.00000000";"0.00000000";"0.34364261"
"7am";"0.82840237";"0.46948357";"0.19607843";"1.26239856";"0.08326395";"0.09225092";"0.51508462";"0.31201248";"0.00000000";"0.92592593";"1.45985401";"1.64271047";"1.23927550";"0.20000000";"0.31595577";"0.20833333";"0.40404040";"0.00000000";"0.00000000";"0.00000000";"0.22624434";"0.72072072";"0.00000000";"0.00000000";"0.00000000";"0.23584906";"0.00000000";"0.00000000";"0.92307692"
"8am";"1.4951627";"0.7981756";"0.4056795";"2.4570025";"0.2525253";"0.1055966";"1.5232292";"0.7102273";"0.2439024";"2.2842640";"3.2000000";"2.9411765";"2.4439919";"0.2024291";"0.3294893";"0.7317073";"0.2336449";"0.2364066";"0.0000000";"0.0000000";"0.5102041";"1.2302285";"0.2247191";"0.0000000";"0.0000000";"0.5154639";"0.2570694";"0.0000000";"1.4023732"
"9am";"3.5146444";"1.1956522";"0.6224066";"6.3222822";"0.6562756";"0.3382187";"2.7734977";"1.2857143";"0.2710027";"6.1224490";"7.7747989";"6.9200780";"5.0352467";"1.4373717";"0.6722689";"1.2820513";"0.7025761";"0.2551020";"0.2967359";"0.0000000";"0.0000000";"1.9819820";"0.2364066";"0.0000000";"0.2673797";"0.7853403";"0.0000000";"0.2680965";"1.8554688"
"10am";" 3.8651316";" 2.7282267";" 1.8367347";"11.3333333";" 0.6711409";" 0.3460208";" 2.9388403";" 1.5625000";" 0.8797654";" 7.7500000";"12.3324397";"11.1217641";" 6.3409563";" 1.2578616";" 0.6666667";" 1.0781671";" 0.0000000";" 1.6129032";" 0.0000000";" 0.0000000";" 0.0000000";" 1.1009174";" 0.2427184";" 0.2785515";" 0.0000000";" 1.0869565";" 0.2747253";" 0.0000000";" 2.6363636"
"11am";"3.0884808";"1.5005359";"0.6382979";"9.2537313";"0.4971002";"0.1124859";"1.9169329";"1.2912482";"0.2739726";"4.3256997";"7.4935401";"7.5023742";"4.0709812";"0.6237006";"0.8278146";"0.5235602";"0.0000000";"0.7936508";"0.0000000";"0.0000000";"0.8379888";"1.0889292";"0.4739336";"0.0000000";"0.0000000";"0.0000000";"0.2702703";"0.0000000";"2.9011786"
"12am";" 3.0224525";" 1.8518519";" 1.0416667";" 9.0706320";" 0.3369840";" 0.4444444";" 2.1809370";" 2.0527859";" 0.0000000";" 3.5714286";"10.2301790";" 7.0955535";" 3.4663866";" 0.6289308";" 0.6644518";" 0.2570694";" 0.0000000";" 0.7874016";" 0.0000000";" 0.0000000";" 0.2801120";" 0.5474453";" 0.4807692";" 0.2785515";" 0.0000000";" 0.0000000";" 0.5479452";" 0.0000000";" 3.0603060"
"1pm";" 3.9902280";" 2.4416136";" 2.3060797";"13.4642356";" 1.0572687";" 0.2366864";" 4.1262136";" 2.2354694";" 0.2801120";" 9.4763092";"18.0693069";"11.6301239";" 5.6308655";" 1.8987342";" 0.8431703";" 1.5957447";" 0.7177033";" 1.8617021";" 0.9259259";" 0.0000000";" 1.4204545";" 1.4814815";" 0.2487562";" 0.2890173";" 0.0000000";" 1.6713092";" 1.1204482";" 0.2732240";" 5.0470488"
"2pm";" 4.7775947";" 2.9189189";" 2.1598272";"13.9267767";" 0.5328597";" 0.1193317";" 4.3019481";" 2.0143885";" 1.4044944";" 5.8355438";"22.8187919";"11.5678776";" 4.7159700";" 2.4948025";" 0.8488964";" 1.2658228";" 0.2298851";" 0.5181347";" 0.9259259";" 0.0000000";" 1.3850416";" 1.8115942";" 0.0000000";" 0.0000000";" 0.2915452";" 1.9283747";" 0.8498584";" 0.2673797";" 4.7368421"
"3pm";" 4.5998160";" 2.7544910";" 0.6224066";"11.6315379";" 0.2697842";" 0.1062699";" 3.1796502";" 2.2900763";" 1.0126582";" 8.7591241";"13.4396355";" 9.6806387";" 3.2967033";" 1.6393443";" 0.6745363";" 1.3824885";" 0.2150538";" 0.2375297";" 0.5681818";" 0.6410256";" 0.5141388";" 1.2727273";" 0.0000000";" 0.0000000";" 0.2597403";" 0.8130081";" 0.2680965";" 0.0000000";" 4.0414508"
"4pm";"5.0251256";"2.0661157";"0.4228330";"9.2060811";"0.4672897";"0.3838772";"2.2445820";"1.8209408";"1.4767932";"7.7097506";"8.7866109";"6.4015519";"2.6223776";"1.3916501";"0.5535055";"0.1992032";"0.0000000";"0.2000000";"0.4962779";"0.0000000";"0.0000000";"1.5122873";"0.4819277";"0.0000000";"0.2159827";"0.7407407";"0.2544529";"0.0000000";"4.6075085"
"5pm";"2.4263432";"1.6666667";"0.8196721";"6.2893082";"0.2754821";"0.2654867";"1.1644833";"1.5923567";"0.1862197";"3.2537961";"4.8387097";"3.6414566";"2.6632302";"0.3891051";"0.5484461";"0.0000000";"0.0000000";"0.0000000";"0.2331002";"0.0000000";"0.4024145";"0.9259259";"0.0000000";"0.2398082";"0.0000000";"0.7159905";"0.0000000";"0.0000000";"5.1351351"
"6pm";"2.3648649";"1.2389381";"0.3976143";"6.0251799";"0.0000000";"0.4472272";"0.8444757";"0.9538951";"0.1785714";"2.8697572";"2.4144869";"5.0632911";"1.5557476";"0.7766990";"0.3629764";"0.0000000";"0.5076142";"0.3355705";"0.2293578";"0.0000000";"0.3984064";"1.1090573";"0.0000000";"0.0000000";"0.1890359";"0.9501188";"0.0000000";"0.0000000";"5.0847458"
"7pm";"1.3582343";"2.3550725";"0.1945525";"5.1094891";"0.2838221";"0.4413063";"0.5633803";"0.7704160";"0.1792115";"3.0107527";"4.5540797";"3.9568345";"1.2345679";"0.1930502";"0.3642987";"0.0000000";"0.1686341";"0.1683502";"0.0000000";"0.0000000";"0.0000000";"0.5649718";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"5.4545455"
"8pm";"0.18587361";"1.13207547";"0.19083969";"1.71265461";"0.00000000";"0.08605852";"0.35137034";"0.31496063";"0.00000000";"0.42826552";"1.14942529";"1.09589041";"0.60501296";"0.00000000";"0.18083183";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.56390977";"0.00000000";"0.00000000";"0.00000000";"0.23255814";"0.00000000";"0.00000000";"4.13533835"
"9pm";"0.0000000";"0.7984032";"0.0000000";"0.5958292";"0.0000000";"0.2489627";"0.2084781";"0.1689189";"0.0000000";"0.2183406";"0.1908397";"0.2801120";"0.4233700";"0.0000000";"0.1798561";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.1841621";"0.1883239";"0.0000000";"0.0000000";"0.0000000";"0.2262443";"0.0000000";"0.0000000";"2.5252525"
"10pm";"0.00000000";"0.21231423";"0.00000000";"0.49554014";"0.00000000";"0.16286645";"0.13793103";"0.00000000";"0.00000000";"0.21551724";"0.18761726";"0.18552876";"0.08305648";"0.00000000";"0.17730496";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.18587361";"0.00000000";"0.00000000";"0.00000000";"0.22471910";"0.00000000";"0.00000000";"2.12765957"
"11pm";"0.00000000";"0.21834061";"0.00000000";"0.50200803";"0.00000000";"0.08084074";"0.13840830";"0.00000000";"0.00000000";"0.21186441";"0.00000000";"0.18814675";"0.08271299";"0.00000000";"0.17605634";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.18691589";"0.00000000";"0.00000000";"0.00000000";"0.22075055";"0.00000000";"0.00000000";"2.45901639"
"12pm";"0.00000000";"0.22172949";"0.00000000";"0.50100200";"0.00000000";"0.08064516";"0.13745704";"0.00000000";"0.00000000";"0.21097046";"0.00000000";"0.18761726";"0.08257638";"0.00000000";"0.17543860";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.18726592";"0.00000000";"0.00000000";"0.00000000";"0.21929825";"0.00000000";"0.00000000";"2.91262136"
"1am";"0.00000000";"0.22222222";"0.00000000";"0.50000000";"0.00000000";"0.08038585";"0.13726836";"0.00000000";"0.00000000";"0.21186441";"0.00000000";"0.18726592";"0.08264463";"0.00000000";"0.17574692";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.18656716";"0.00000000";"0.00000000";"0.00000000";"0.21929825";"0.00000000";"0.00000000";"2.08333333"
"2am";"0.00000000";"0.22271715";"0.00000000";"0.50050050";"0.00000000";"0.08032129";"0.13717421";"0.00000000";"0.00000000";"0.21186441";"0.00000000";"0.18744142";"0.08244023";"0.00000000";"0.17574692";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.18656716";"0.00000000";"0.00000000";"0.00000000";"0.21834061";"0.00000000";"0.00000000";"1.06382979"
"3am";"0.00000000";"0.22371365";"0.00000000";"0.50000000";"0.00000000";"0.08038585";"0.13717421";"0.00000000";"0.00000000";"0.21186441";"0.00000000";"0.18761726";"0.08237232";"0.00000000";"0.17543860";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.18656716";"0.00000000";"0.00000000";"0.00000000";"0.21834061";"0.00000000";"0.00000000";"1.06382979"
