"variable","CODE_SEC","RES_SEC","W_IND"
"h7","012","003",12.72
"h7","012","004",25.44
"h7","012","005",25.44
"h7","012","006",25.44
"h7","012","007",25.44
"h7","012","013",12.72
"h7","012","014",12.72
"h7","012","015",12.72
"h7","012","016",12.72
"h7","012","019",12.72
"h7","012","021",25.44
"h8","001","003",25.44
"h8","001","004",38.16
"h8","001","005",25.44
"h8","001","007",12.72
"h8","001","009",12.72
"h8","001","012",12.72
"h8","001","014",12.72
"h8","001","015",12.72
"h8","001","021",12.72
"h8","001","022",12.72
"h8","001","025",12.72
"h8","004","001",12.72
"h8","004","002",12.72
"h8","004","003",12.72
"h8","004","005",76.32
"h8","004","006",63.6
"h8","004","007",38.16
"h8","004","010",12.72
"h8","004","013",38.16
"h8","004","016",12.72
"h8","004","017",50.88
"h8","007","004",12.72
"h8","007","005",12.72
"h8","007","010",12.72
"h8","007","011",38.16
"h8","007","016",63.6
"h8","007","027",12.72
"h8","012","003",25.44
"h8","012","004",25.44
"h8","012","005",38.16
"h8","012","006",38.16
"h8","012","007",38.16
"h8","012","013",12.72
"h8","012","014",12.72
"h8","012","015",12.72
"h8","012","016",25.44
"h8","012","021",25.44
"h8","012","022",12.72
"h8","012","026",12.72
"h8","012","028",12.72
"h8","013","001",12.72
"h8","013","003",12.72
"h8","013","004",25.44
"h8","013","010",12.72
"h8","013","012",38.16
"h8","013","014",12.72
"h8","013","017",76.32
"h8","013","018",12.72
"h8","013","021",25.44
"h8","013","025",12.72
"h8","029","006",12.72
"h8","029","015",25.44
"h8","029","017",25.44
"h8","029","020",12.72
"h8","029","021",25.44
"h8","029","023",12.72
"h8","029","024",12.72
"h8","029","025",12.72
"h8","029","027",12.72
"h8","029","028",12.72
"h9","001","003",63.6
"h9","001","004",38.16
"h9","001","005",12.72
"h9","001","006",25.44
"h9","001","007",25.44
"h9","001","008",38.16
"h9","001","009",12.72
"h9","001","012",38.16
"h9","001","013",12.72
"h9","001","014",25.44
"h9","001","015",38.16
"h9","001","016",38.16
"h9","001","017",12.72
"h9","001","020",38.16
"h9","001","021",25.44
"h9","001","022",12.72
"h9","001","025",25.44
"h9","001","028",12.72
"h9","004","001",38.16
"h9","004","002",38.16
"h9","004","003",38.16
"h9","004","005",114.48
"h9","004","006",139.92
"h9","004","007",63.6
"h9","004","009",38.16
"h9","004","010",12.72
"h9","004","012",12.72
"h9","004","013",76.32
"h9","004","014",25.44
"h9","004","015",38.16
"h9","004","016",25.44
"h9","004","017",38.16
"h9","004","018",12.72
"h9","004","019",12.72
"h9","004","020",12.72
"h9","004","022",12.72
"h9","004","023",50.88
"h9","004","024",12.72
"h9","004","025",25.44
"h9","004","027",12.72
"h9","007","001",12.72
"h9","007","004",25.44
"h9","007","005",12.72
"h9","007","008",63.6
"h9","007","011",25.44
"h9","007","012",12.72
"h9","007","016",50.88
"h9","007","018",25.44
"h9","007","020",12.72
"h9","007","026",12.72
"h9","010","004",12.72
"h9","010","007",12.72
"h9","010","008",12.72
"h9","010","009",63.6
"h9","010","011",25.44
"h9","010","013",12.72
"h9","010","016",25.44
"h9","010","018",12.72
"h9","010","019",38.16
"h9","010","026",12.72
"h9","010","027",12.72
"h9","011","004",25.44
"h9","011","007",50.88
"h9","011","008",38.16
"h9","011","009",63.6
"h9","011","010",12.72
"h9","011","018",25.44
"h9","011","019",25.44
"h9","011","025",12.72
"h9","011","026",38.16
"h9","011","027",25.44
"h9","012","001",38.16
"h9","012","003",38.16
"h9","012","004",25.44
"h9","012","005",63.6
"h9","012","006",127.2
"h9","012","007",89.04
"h9","012","008",25.44
"h9","012","009",12.72
"h9","012","011",12.72
"h9","012","013",50.88
"h9","012","014",25.44
"h9","012","015",12.72
"h9","012","016",38.16
"h9","012","017",25.44
"h9","012","018",38.16
"h9","012","019",25.44
"h9","012","021",38.16
"h9","012","023",12.72
"h9","012","024",12.72
"h9","012","026",12.72
"h9","012","027",25.44
"h9","012","028",25.44
"h9","013","002",25.44
"h9","013","003",12.72
"h9","013","004",63.6
"h9","013","005",12.72
"h9","013","006",25.44
"h9","013","007",38.16
"h9","013","009",25.44
"h9","013","010",12.72
"h9","013","012",127.2
"h9","013","014",12.72
"h9","013","017",50.88
"h9","013","018",25.44
"h9","013","021",50.88
"h9","013","022",12.72
"h9","013","023",12.72
"h9","013","027",12.72
"h9","029","006",12.72
"h9","029","007",12.72
"h9","029","009",12.72
"h9","029","014",12.72
"h9","029","015",25.44
"h9","029","019",12.72
"h9","029","021",38.16
"h9","029","024",38.16
"h9","029","025",50.88
"h9","029","027",25.44
"h10","001","002",38.16
"h10","001","003",50.88
"h10","001","004",25.44
"h10","001","005",25.44
"h10","001","006",89.04
"h10","001","007",25.44
"h10","001","008",12.72
"h10","001","009",12.72
"h10","001","010",12.72
"h10","001","012",50.88
"h10","001","013",12.72
"h10","001","015",12.72
"h10","001","016",50.88
"h10","001","018",12.72
"h10","001","019",25.44
"h10","001","020",12.72
"h10","001","021",38.16
"h10","001","022",12.72
"h10","001","023",12.72
"h10","001","024",12.72
"h10","001","025",12.72
"h10","001","028",12.72
"h10","002","001",12.72
"h10","002","004",12.72
"h10","002","005",38.16
"h10","002","006",50.88
"h10","002","009",12.72
"h10","002","012",25.44
"h10","002","014",25.44
"h10","002","017",12.72
"h10","002","020",25.44
"h10","002","021",38.16
"h10","002","023",25.44
"h10","002","025",25.44
"h10","002","026",12.72
"h10","004","001",127.2
"h10","004","002",152.64
"h10","004","003",38.16
"h10","004","005",216.24
"h10","004","006",228.96
"h10","004","007",89.04
"h10","004","008",25.44
"h10","004","009",76.32
"h10","004","010",12.72
"h10","004","011",25.44
"h10","004","012",76.32
"h10","004","013",139.92
"h10","004","015",12.72
"h10","004","016",63.6
"h10","004","017",152.64
"h10","004","018",50.88
"h10","004","019",12.72
"h10","004","020",12.72
"h10","004","021",38.16
"h10","004","022",25.44
"h10","004","023",12.72
"h10","004","024",12.72
"h10","004","025",38.16
"h10","004","026",12.72
"h10","004","027",25.44
"h10","004","028",50.88
"h10","007","004",12.72
