"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16";"38.16"
"max";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56"
"4am";" 318.00";" 877.68";" 699.60";"1450.08";"1857.12";"2404.08";"1997.04";" 839.52";"1182.96";" 597.84";"1144.80";"1831.68";"2365.92";" 979.44";" 686.88";"1170.24";"1081.20";"1411.92";" 890.40";" 585.12";" 801.36";" 470.64";"1017.60";" 788.64";" 788.64";" 572.40";" 661.44";" 674.16";"  89.04"
"5am";" 318.00";" 877.68";" 712.32";"1450.08";"1857.12";"2378.64";"1997.04";" 839.52";"1182.96";" 597.84";"1144.80";"1844.40";"2365.92";" 979.44";" 686.88";"1157.52";"1081.20";"1411.92";" 877.68";" 585.12";" 788.64";" 470.64";"1004.88";" 788.64";" 788.64";" 585.12";" 636.00";" 674.16";" 139.92"
"6am";" 368.88";" 864.96";" 699.60";"1424.64";"1818.96";"2340.48";"1984.32";" 903.12";"1144.80";" 610.56";"1119.36";"1844.40";"2353.20";" 979.44";" 610.56";"1132.08";"1081.20";"1399.20";" 839.52";" 559.68";" 737.76";" 496.08";" 954.00";" 750.48";" 763.20";" 597.84";" 636.00";" 661.44";" 292.56"
"7am";" 852.24";"1717.20";" 648.72";"1628.16";"2633.04";"1666.32";"1500.96";"1170.24";" 954.00";" 496.08";" 801.36";"1640.88";"1628.16";" 826.80";" 483.36";" 928.56";" 814.08";"1004.88";" 674.16";" 432.48";" 597.84";" 508.80";" 712.32";" 699.60";" 623.28";" 496.08";" 559.68";" 674.16";" 610.56"
"8am";"1399.20";"3052.80";" 521.52";"1768.08";"2874.72";"1335.60";"1093.92";"1780.80";" 636.00";" 445.20";" 674.16";"1742.64";"1170.24";" 725.04";" 407.04";" 636.00";" 699.60";" 852.24";" 597.84";" 343.44";" 521.52";" 496.08";" 597.84";" 661.44";" 407.04";" 432.48";" 457.92";" 674.16";" 928.56"
"9am";"1424.64";"3269.04";" 521.52";"1729.92";"3090.96";"1246.56";"1157.52";"1806.24";" 572.40";" 432.48";" 610.56";"1768.08";"1170.24";" 686.88";" 419.76";" 597.84";" 686.88";" 814.08";" 572.40";" 330.72";" 521.52";" 496.08";" 572.40";" 661.44";" 381.60";" 419.76";" 470.64";" 674.16";"1004.88"
"10am";"1539.12";"3485.28";" 483.36";"1857.12";"3129.12";"1182.96";"1106.64";"1844.40";" 546.96";" 445.20";" 636.00";"1717.20";"1081.20";" 648.72";" 407.04";" 546.96";" 648.72";" 763.20";" 534.24";" 343.44";" 496.08";" 496.08";" 559.68";" 661.44";" 356.16";" 419.76";" 457.92";" 661.44";"1068.48"
"11am";"1500.96";"3472.56";" 483.36";"1971.60";"3154.56";"1132.08";"1144.80";"1768.08";" 521.52";" 432.48";" 648.72";"1857.12";"1106.64";" 674.16";" 381.60";" 597.84";" 610.56";" 725.04";" 559.68";" 343.44";" 470.64";" 470.64";" 559.68";" 623.28";" 394.32";" 407.04";" 470.64";" 661.44";"1043.04"
"12am";"1539.12";"3434.40";" 457.92";"1971.60";"3167.28";"1119.36";"1093.92";"1653.60";" 546.96";" 419.76";" 674.16";"1818.96";"1106.64";" 686.88";" 394.32";" 648.72";" 585.12";" 737.76";" 546.96";" 356.16";" 445.20";" 470.64";" 572.40";" 610.56";" 419.76";" 394.32";" 445.20";" 661.44";"1043.04"
"1pm";"1551.84";"3548.88";" 457.92";"2060.64";"3269.04";"1030.32";"1017.60";"1755.36";" 521.52";" 445.20";" 648.72";"1780.80";"1081.20";" 686.88";" 407.04";" 572.40";" 559.68";" 725.04";" 546.96";" 356.16";" 445.20";" 496.08";" 572.40";" 610.56";" 407.04";" 381.60";" 470.64";" 674.16";"1081.20"
"2pm";"1551.84";"3408.96";" 470.64";"2022.48";"3154.56";"1081.20";"1055.76";"1755.36";" 572.40";" 432.48";" 699.60";"1755.36";"1106.64";" 699.60";" 394.32";" 610.56";" 546.96";" 737.76";" 585.12";" 343.44";" 496.08";" 483.36";" 546.96";" 623.28";" 407.04";" 407.04";" 470.64";" 674.16";"1132.08"
