"hour","act1","act2","act3","act4","act5"
"4am",0.1947,0.211,0.5838,0.4967,0.2379
"5am",0.2388,0.2947,0.5606,0.4585,0.2474
"6am",0.321,0.3887,0.5378,0.4721,0.2571
"7am",0.4053,0.3881,0.6129,0.4278,0.2623
"8am",0.4203,0.3687,0.5649,0.4037,0.2559
"9am",0.4143,0.3576,0.5485,0.4356,0.2279
"10am",0.4159,0.3435,0.5406,0.4618,0.231
"11am",0.419,0.3446,0.5443,0.4714,0.2492
"12am",0.4248,0.3415,0.5559,0.4564,0.244
"1pm",0.413,0.3395,0.5498,0.4287,0.2238
"2pm",0.4124,0.3428,0.5477,0.4377,0.2285
"3pm",0.4025,0.3622,0.5679,0.46,0.2391
"4pm",0.3894,0.3756,0.6919,0.4728,0.2458
"5pm",0.3831,0.373,0.7465,0.4958,0.3195
"6pm",0.3787,0.3732,0.7371,0.4961,0.3275
"7pm",0.3753,0.3642,0.7454,0.554,0.3326
"8pm",0.363,0.3594,0.7843,0.5434,0.3342
"9pm",0.3566,0.4037,0.7833,0.457,0.3251
"10pm",0.3506,0.396,0.8072,0.5264,0.3223
"11pm",0.4118,0.4671,0.8882,0.5661,0.3804
"12pm",0.4161,0.4971,0.8901,0.5663,0.3828
"1am",0.4117,0.4972,0.8906,0.5608,0.3718
"2am",0.4106,0.5081,0.891,0.5543,0.3546
"3am",0.4172,0.5137,0.8911,0.5543,0.3729
