"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64";"14144.64"
"4am";"279.84";"267.12";"279.84";"470.64";"508.80";"457.92";"826.80";"203.52";"101.76";"190.80";"241.68";"674.16";"597.84";"  0.00";"139.92";" 89.04";"152.64";" 50.88";" 25.44";" 63.60";"  0.00";"114.48";" 50.88";" 12.72";" 38.16";"  0.00";" 76.32";"  0.00";" 12.72"
"5am";"279.84";"267.12";"279.84";"470.64";"508.80";"457.92";"826.80";"203.52";"101.76";"190.80";"241.68";"674.16";"597.84";"  0.00";"127.20";" 89.04";"152.64";" 50.88";" 25.44";" 50.88";"  0.00";"101.76";" 50.88";" 12.72";" 38.16";"  0.00";" 76.32";"  0.00";" 12.72"
"6am";"305.28";"267.12";"279.84";"445.20";"534.24";"419.76";"826.80";"216.24";"101.76";"203.52";"228.96";"661.44";"585.12";"  0.00";" 89.04";" 89.04";"152.64";" 50.88";" 12.72";" 50.88";"  0.00";"139.92";" 25.44";" 12.72";" 38.16";"  0.00";" 76.32";"  0.00";" 38.16"
"7am";"661.44";"432.48";"254.40";"610.56";"712.32";"190.80";"674.16";"318.00";" 63.60";"139.92";" 76.32";"712.32";"267.12";"  0.00";" 25.44";" 89.04";" 50.88";" 12.72";"  0.00";" 25.44";" 12.72";"203.52";"  0.00";" 12.72";" 25.44";"  0.00";" 76.32";"  0.00";" 38.16"
"8am";"992.16";"610.56";"178.08";"775.92";"763.20";"114.48";"407.04";"648.72";" 38.16";"114.48";" 63.60";"826.80";"139.92";"  0.00";" 38.16";" 25.44";" 25.44";"  0.00";"  0.00";" 25.44";" 12.72";"178.08";" 12.72";" 12.72";"  0.00";" 12.72";" 50.88";"  0.00";" 89.04"
"9am";"979.44";"572.40";"178.08";"826.80";"814.08";"101.76";"381.60";"636.00";" 25.44";"101.76";" 89.04";"839.52";"139.92";" 12.72";" 38.16";" 25.44";" 12.72";" 12.72";" 12.72";" 25.44";" 12.72";"190.80";" 12.72";" 12.72";"  0.00";" 12.72";" 50.88";" 25.44";"101.76"
"10am";"1055.76";" 572.40";" 165.36";" 903.12";" 788.64";"  89.04";" 343.44";" 623.28";"  38.16";" 127.20";"  89.04";" 864.96";" 139.92";"  12.72";"  25.44";"  25.44";"  12.72";"  25.44";"   0.00";"  12.72";"  12.72";" 203.52";"  12.72";"   0.00";"   0.00";"  12.72";"  50.88";"  25.44";" 152.64"
"11am";"1093.92";" 623.28";" 178.08";" 839.52";" 763.20";" 101.76";" 368.88";" 610.56";"  38.16";" 152.64";"  63.60";" 877.68";"  89.04";"  12.72";"  25.44";"  12.72";"  25.44";"  25.44";"   0.00";"  12.72";"  12.72";" 228.96";"  12.72";"   0.00";"   0.00";"  12.72";"  50.88";"  25.44";" 152.64"
