"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6";"11511.6"
"4am";" 305.28";" 470.64";" 674.16";" 864.96";" 610.56";"1106.64";"1539.12";" 394.32";" 534.24";" 343.44";" 254.40";" 661.44";" 788.64";" 508.80";" 521.52";" 585.12";" 394.32";" 445.20";" 508.80";" 279.84";" 623.28";" 445.20";" 457.92";" 368.88";" 508.80";" 508.80";" 419.76";" 432.48";"  12.72"
"5am";" 305.28";" 470.64";" 674.16";" 852.24";" 610.56";"1106.64";"1539.12";" 394.32";" 534.24";" 343.44";" 254.40";" 661.44";" 788.64";" 508.80";" 521.52";" 585.12";" 394.32";" 445.20";" 508.80";" 279.84";" 623.28";" 445.20";" 457.92";" 368.88";" 508.80";" 508.80";" 419.76";" 432.48";"  12.72"
"6am";" 318.00";" 483.36";" 661.44";" 839.52";" 610.56";"1106.64";"1526.40";" 394.32";" 521.52";" 343.44";" 254.40";" 674.16";" 788.64";" 508.80";" 521.52";" 597.84";" 407.04";" 445.20";" 496.08";" 279.84";" 623.28";" 445.20";" 457.92";" 368.88";" 508.80";" 508.80";" 419.76";" 432.48";"  12.72"
"7am";" 343.44";" 496.08";" 661.44";" 839.52";" 648.72";"1093.92";"1488.24";" 381.60";" 508.80";" 343.44";" 254.40";" 661.44";" 814.08";" 496.08";" 496.08";" 597.84";" 381.60";" 419.76";" 496.08";" 279.84";" 585.12";" 445.20";" 457.92";" 368.88";" 483.36";" 508.80";" 432.48";" 432.48";"  25.44"
"8am";" 407.04";" 457.92";" 648.72";" 903.12";" 686.88";"1055.76";"1450.08";" 356.16";" 470.64";" 381.60";" 267.12";" 674.16";" 839.52";" 457.92";" 470.64";" 546.96";" 356.16";" 419.76";" 457.92";" 292.56";" 597.84";" 432.48";" 419.76";" 368.88";" 445.20";" 496.08";" 419.76";" 419.76";" 101.76"
"9am";" 521.52";" 470.64";" 597.84";" 966.72";" 686.88";" 954.00";"1488.24";" 343.44";" 470.64";" 368.88";" 267.12";" 674.16";" 915.84";" 457.92";" 432.48";" 508.80";" 343.44";" 368.88";" 470.64";" 279.84";" 597.84";" 419.76";" 394.32";" 343.44";" 432.48";" 483.36";" 394.32";" 407.04";" 190.80"
"10am";" 508.80";" 483.36";" 636.00";"1043.04";" 712.32";" 903.12";"1450.08";" 318.00";" 381.60";" 368.88";" 292.56";" 839.52";" 864.96";" 445.20";" 407.04";" 470.64";" 305.28";" 343.44";" 470.64";" 267.12";" 559.68";" 432.48";" 368.88";" 330.72";" 432.48";" 457.92";" 394.32";" 394.32";" 254.40"
"11am";" 508.80";" 483.36";" 585.12";" 941.28";" 648.72";"1004.88";"1475.52";" 407.04";" 483.36";" 305.28";" 279.84";" 712.32";" 839.52";" 445.20";" 432.48";" 508.80";" 330.72";" 368.88";" 432.48";" 267.12";" 572.40";" 432.48";" 394.32";" 356.16";" 457.92";" 445.20";" 381.60";" 394.32";" 216.24"
"12am";" 483.36";" 496.08";" 597.84";" 954.00";" 674.16";"1030.32";"1450.08";" 343.44";" 496.08";" 356.16";" 318.00";" 686.88";" 801.36";" 457.92";" 419.76";" 508.80";" 356.16";" 368.88";" 407.04";" 267.12";" 521.52";" 407.04";" 356.16";" 368.88";" 445.20";" 470.64";" 394.32";" 381.60";" 228.96"
