"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44";"979.44"
"max";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398";"19398"
"4am";" 5406.00";" 5813.04";" 6576.24";"13076.16";"13979.28";"16078.08";"19398.00";" 7492.08";" 8280.72";" 6245.52";" 7008.72";"14093.76";"15747.36";" 7212.24";" 7555.68";" 8000.88";" 8382.48";" 8471.52";" 6588.96";" 5558.64";" 7288.56";" 7110.48";" 6957.84";" 5813.04";" 7670.16";" 6118.32";" 5876.64";" 6029.28";"  979.44"
"5am";" 5609.52";" 5851.20";" 6588.96";"12961.68";"13928.40";"15938.16";"19258.08";" 7415.76";" 8191.68";" 6245.52";" 6945.12";"14093.76";"15645.60";" 7174.08";" 7517.52";" 7784.64";" 8217.12";" 8357.04";" 6525.36";" 5520.48";" 7212.24";" 7034.16";" 6996.00";" 5749.44";" 7593.84";" 6080.16";" 5825.76";" 6003.84";" 1500.96"
"6am";" 6588.96";" 5965.68";" 6512.64";"12936.24";"13941.12";"15887.28";"18698.40";" 7466.64";" 7746.48";" 6118.32";" 6525.36";"13521.36";"15098.64";" 7072.32";" 8013.60";" 7390.32";" 7873.68";" 7835.52";" 6092.88";" 5304.24";" 6767.04";" 6983.28";" 6716.16";" 5456.88";" 7021.44";" 5838.48";" 5660.40";" 5787.60";" 3701.52"
"7am";"10748.40";" 8128.08";" 6487.20";"14106.48";"15276.72";"13788.48";"17286.48";" 8153.52";" 6232.80";" 5495.04";" 5227.92";"12389.28";"13343.28";" 6360.00";" 8051.76";" 6105.60";" 6296.40";" 6296.40";" 5100.72";" 4668.24";" 5622.24";" 7059.60";" 6131.04";" 4960.80";" 5825.76";" 5393.28";" 5202.48";" 5215.20";" 8268.00"
"8am";"14462.64";"11155.44";" 6270.96";"15531.12";"15111.36";"12045.84";"16701.36";" 8954.88";" 5215.20";" 5011.68";" 4770.00";"12541.92";"12491.04";" 6283.68";" 7721.04";" 5215.20";" 5444.16";" 5380.56";" 4490.16";" 4286.64";" 4986.24";" 7237.68";" 5660.40";" 4731.84";" 5126.16";" 4935.36";" 4948.08";" 4884.48";"11791.44"
"9am";"15200.40";"11702.40";" 6131.04";"16497.84";"15505.68";"11282.64";"16510.56";" 8904.00";" 4693.68";" 4986.24";" 4744.56";"13050.72";"12630.96";" 6194.64";" 7568.40";" 4960.80";" 5431.44";" 4986.24";" 4286.64";" 4159.44";" 4909.92";" 7059.60";" 5380.56";" 4630.08";" 4757.28";" 4859.04";" 4757.28";" 4744.56";"13025.28"
"10am";"15467.52";"12122.16";" 6232.80";"17172.00";"15162.24";"11028.24";"16014.48";" 8954.88";" 4337.52";" 5088.00";" 4744.56";"13266.96";"12236.64";" 6067.44";" 7632.00";" 4719.12";" 5062.56";" 4731.84";" 4134.00";" 4070.40";" 4528.32";" 6932.40";" 5240.64";" 4566.48";" 4464.72";" 4680.96";" 4630.08";" 4541.04";"13992.00"
"11am";"15238.56";"11867.76";" 5978.40";"17044.80";"15353.04";"11308.08";"15925.44";" 8865.84";" 4642.80";" 4998.96";" 4922.64";"13394.16";"12185.76";" 6118.32";" 7682.88";" 4859.04";" 5100.72";" 4808.16";" 4134.00";" 4057.68";" 4553.76";" 7008.72";" 5367.84";" 4464.72";" 4541.04";" 4731.84";" 4706.40";" 4630.08";"14030.16"
