"variable","CODE_SEC","RES_SEC","W_IND"
"h4","005","002",12.72
"h4","005","004",12.72
"h4","005","006",12.72
"h4","005","009",25.44
"h4","005","012",25.44
"h4","005","013",12.72
"h4","005","015",12.72
"h4","005","017",25.44
"h4","005","021",12.72
"h4","005","023",12.72
"h4","005","024",12.72
"h4","029","007",50.88
"h4","029","013",12.72
"h4","029","014",25.44
"h4","029","016",12.72
"h4","029","017",12.72
"h4","029","019",12.72
"h4","029","021",12.72
"h4","029","023",25.44
"h5","001","005",12.72
"h5","001","006",25.44
"h5","001","008",12.72
"h5","001","009",38.16
"h5","001","011",12.72
"h5","001","017",12.72
"h5","001","019",25.44
"h5","001","020",12.72
"h5","001","026",12.72
"h5","001","028",12.72
"h5","005","002",12.72
"h5","005","004",25.44
"h5","005","006",12.72
"h5","005","008",12.72
"h5","005","009",50.88
"h5","005","012",25.44
"h5","005","013",12.72
"h5","005","015",25.44
"h5","005","017",25.44
"h5","005","018",12.72
"h5","005","021",12.72
"h5","005","023",12.72
"h5","005","024",12.72
"h5","029","007",76.32
"h5","029","013",12.72
"h5","029","014",25.44
"h5","029","015",38.16
"h5","029","016",25.44
"h5","029","017",25.44
"h5","029","018",12.72
"h5","029","019",12.72
"h5","029","021",12.72
"h5","029","022",12.72
"h5","029","023",63.6
"h5","029","025",12.72
"h5","029","027",12.72
"h6","001","004",38.16
"h6","001","005",12.72
"h6","001","006",76.32
"h6","001","008",12.72
"h6","001","009",50.88
"h6","001","011",38.16
"h6","001","012",25.44
"h6","001","013",38.16
"h6","001","014",12.72
"h6","001","015",12.72
"h6","001","017",12.72
"h6","001","018",38.16
"h6","001","019",63.6
"h6","001","020",25.44
"h6","001","021",38.16
"h6","001","022",12.72
"h6","001","023",12.72
"h6","001","024",12.72
"h6","001","025",25.44
"h6","001","026",12.72
"h6","001","028",12.72
"h6","004","003",12.72
"h6","004","005",25.44
"h6","004","006",25.44
"h6","004","007",25.44
"h6","004","008",25.44
"h6","004","009",12.72
"h6","004","011",12.72
"h6","004","012",50.88
"h6","004","013",12.72
"h6","004","016",12.72
"h6","004","017",25.44
"h6","004","018",25.44
"h6","004","019",12.72
"h6","004","021",25.44
"h6","004","027",12.72
"h6","005","001",12.72
"h6","005","002",12.72
"h6","005","004",25.44
"h6","005","006",12.72
"h6","005","007",25.44
"h6","005","008",50.88
"h6","005","009",76.32
"h6","005","012",38.16
"h6","005","013",12.72
"h6","005","015",25.44
"h6","005","017",25.44
"h6","005","018",12.72
"h6","005","021",25.44
"h6","005","023",12.72
"h6","005","024",25.44
"h6","005","026",12.72
"h6","006","001",12.72
"h6","006","004",25.44
"h6","006","005",38.16
"h6","006","007",50.88
"h6","006","009",12.72
"h6","006","010",12.72
"h6","006","012",50.88
"h6","006","013",25.44
"h6","006","015",25.44
"h6","006","018",38.16
"h6","006","019",12.72
"h6","006","020",12.72
"h6","006","022",12.72
"h6","006","025",12.72
"h6","006","026",12.72
"h6","007","004",25.44
"h6","007","005",25.44
"h6","007","009",12.72
"h6","007","010",25.44
"h6","007","016",50.88
"h6","007","018",12.72
"h6","007","019",25.44
"h6","007","025",25.44
"h6","007","026",12.72
"h6","008","001",12.72
"h6","008","002",12.72
"h6","008","004",12.72
"h6","008","006",25.44
"h6","008","007",12.72
"h6","008","009",25.44
"h6","008","012",25.44
"h6","008","015",12.72
"h6","008","016",25.44
"h6","008","017",12.72
"h6","008","018",50.88
"h6","008","020",25.44
"h6","008","026",12.72
"h6","012","006",25.44
"h6","012","010",12.72
"h6","012","013",50.88
"h6","012","014",25.44
"h6","012","017",12.72
"h6","012","018",25.44
"h6","012","021",25.44
"h6","012","023",12.72
"h6","012","025",12.72
"h6","013","002",12.72
"h6","013","004",12.72
"h6","013","005",38.16
"h6","013","006",12.72
"h6","013","007",12.72
"h6","013","010",12.72
"h6","013","012",25.44
"h6","013","014",25.44
"h6","013","016",25.44
"h6","013","017",25.44
"h6","013","018",12.72
"h6","013","021",63.6
"h6","013","024",12.72
"h6","015","003",12.72
"h6","015","004",12.72
"h6","015","005",12.72
"h6","015","006",25.44
"h6","015","007",25.44
"h6","015","009",12.72
"h6","015","010",12.72
"h6","015","011",12.72
"h6","015","012",38.16
"h6","015","013",12.72
"h6","015","016",12.72
"h6","015","017",12.72
"h6","015","018",12.72
"h6","015","019",12.72
"h6","015","023",12.72
"h6","029","002",12.72
"h6","029","003",12.72
"h6","029","004",25.44
"h6","029","005",12.72
"h6","029","006",12.72
"h6","029","007",152.64
"h6","029","008",12.72
"h6","029","009",25.44
"h6","029","012",12.72
"h6","029","013",76.32
"h6","029","014",25.44
"h6","029","015",50.88
"h6","029","016",25.44
"h6","029","017",89.04
"h6","029","018",25.44
"h6","029","019",50.88
"h6","029","021",50.88
"h6","029","022",12.72
"h6","029","023",152.64
"h6","029","024",25.44
"h6","029","025",89.04
"h6","029","026",38.16
"h6","029","027",12.72
"h7","001","003",38.16
"h7","001","004",152.64
"h7","001","005",76.32
"h7","001","006",228.96
"h7","001","007",89.04
"h7","001","008",63.6
"h7","001","009",89.04
"h7","001","010",25.44
"h7","001","011",63.6
"h7","001","012",152.64
"h7","001","013",178.08
"h7","001","014",38.16
"h7","001","015",25.44
"h7","001","016",50.88
"h7","001","017",127.2
"h7","001","018",152.64
"h7","001","019",89.04
"h7","001","020",76.32
"h7","001","021",63.6
"h7","001","022",38.16
"h7","001","023",50.88
"h7","001","024",25.44
"h7","001","025",63.6
"h7","001","026",12.72
"h7","001","027",50.88
"h7","001","028",12.72
"h7","002","001",12.72
"h7","002","004",101.76
"h7","002","005",89.04
"h7","002","006",76.32
"h7","002","007",63.6
"h7","002","008",38.16
"h7","002","009",38.16
"h7","002","010",25.44
"h7","002","011",63.6
"h7","002","012",63.6
"h7","002","013",89.04
"h7","002","015",25.44
"h7","002","016",50.88
"h7","002","017",38.16
"h7","002","018",38.16
"h7","002","020",12.72
"h7","002","021",12.72
"h7","002","022",63.6
"h7","002","023",12.72
"h7","002","024",25.44
"h7","002","025",25.44
"h7","002","026",12.72
"h7","003","004",12.72
"h7","003","005",12.72
"h7","003","006",38.16
"h7","003","007",38.16
"h7","003","008",12.72
"h7","003","010",50.88
"h7","003","011",12.72
"h7","003","012",25.44
"h7","003","013",25.44
"h7","003","014",12.72
"h7","003","016",12.72
"h7","003","017",25.44
"h7","003","021",12.72
"h7","003","024",12.72
"h7","003","026",12.72
"h7","004","001",12.72
"h7","004","002",25.44
"h7","004","003",38.16
"h7","004","005",89.04
"h7","004","006",76.32
"h7","004","007",127.2
"h7","004","008",38.16
"h7","004","009",38.16
"h7","004","010",12.72
"h7","004","011",76.32
"h7","004","012",139.92
"h7","004","013",38.16
"h7","004","014",12.72
"h7","004","015",12.72
"h7","004","016",63.6
"h7","004","017",127.2
"h7","004","018",50.88
"h7","004","019",50.88
"h7","004","020",12.72
"h7","004","021",63.6
"h7","004","023",63.6
"h7","004","024",38.16
"h7","004","025",63.6
"h7","004","027",38.16
"h7","004","028",12.72
"h7","005","001",12.72
"h7","005","002",63.6
"h7","005","004",89.04
"h7","005","006",89.04
"h7","005","007",139.92
