"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04";"4541.04"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0"
"5am";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"0";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"0";"  0.00";"  0.00";"0";"152.64"
"6am";"216.24";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"241.68";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"407.04"
"7am";"674.16";"432.48";"  0.00";"368.88";"470.64";"228.96";"  0.00";"203.52";"  0.00";"  0.00";"  0.00";"152.64";"178.08";"  0.00";"559.68";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"852.24"
"8am";"1284.72";"1004.88";"   0.00";" 763.20";" 699.60";" 279.84";" 305.28";" 330.72";"   0.00";"   0.00";"   0.00";" 190.80";" 305.28";"   0.00";" 559.68";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 190.80";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"1411.92"
"9am";"1475.52";"1119.36";" 152.64";" 763.20";" 788.64";" 267.12";" 318.00";" 368.88";"   0.00";"   0.00";"   0.00";" 267.12";" 330.72";"   0.00";" 572.40";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 190.80";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"1628.16"
"10am";"1500.96";"1233.84";" 152.64";" 763.20";" 839.52";" 267.12";" 292.56";" 330.72";"   0.00";"   0.00";"   0.00";" 279.84";" 356.16";"   0.00";" 572.40";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 216.24";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"1717.20"
"11am";"1513.68";"1182.96";"   0.00";" 788.64";" 852.24";" 241.68";" 279.84";" 305.28";"   0.00";"   0.00";"   0.00";" 292.56";" 267.12";"   0.00";" 572.40";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 190.80";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"1691.76"
