"district","hour","age1","age2","age3","age4"
"001","4am",318,648.72,2480.4,1958.88
"002","4am",877.68,661.44,2136.96,2136.96
"003","4am",699.6,788.64,3434.4,1653.6
"004","4am",1450.08,1742.64,5736.72,4146.72
"005","4am",1857.12,1399.2,6601.68,4121.28
"006","4am",2404.08,1920.72,9120.24,2633.04
"007","4am",1997.04,1717.2,9222,6461.76
"008","4am",839.52,801.36,3968.64,1882.56
"009","4am",1182.96,775.92,4617.36,1704.48
"010","4am",597.84,483.36,3205.44,1958.88
"011","4am",1144.8,712.32,4057.68,1093.92
"012","4am",1831.68,1462.8,7174.08,3625.2
"013","4am",2365.92,1526.4,8840.4,3014.64
"014","4am",979.44,725.04,4134,1373.76
"015","4am",686.88,915.84,4350.24,1602.72
"016","4am",1170.24,877.68,4770,1182.96
"017","4am",1081.2,903.12,4859.04,1539.12
"018","4am",1411.92,1119.36,4655.52,1284.72
"019","4am",890.4,852.24,3994.08,852.24
"020","4am",585.12,254.4,3180,1539.12
"021","4am",801.36,966.72,4426.56,1093.92
"022","4am",470.64,712.32,3803.28,2124.24
"023","4am",1017.6,775.92,3917.76,1246.56
"024","4am",788.64,750.48,3014.64,1259.28
"025","4am",788.64,763.2,4362.96,1755.36
"026","4am",572.4,508.8,3243.6,1793.52
"027","4am",661.44,457.92,3434.4,1322.88
"028","4am",674.16,763.2,3612.48,979.44
"029","4am",89.04,76.32,674.16,139.92
"001","5am",318,674.16,2645.76,1971.6
"002","5am",877.68,661.44,2162.4,2149.68
"003","5am",712.32,788.64,3434.4,1653.6
"004","5am",1450.08,1755.36,5622.24,4134
"005","5am",1857.12,1386.48,6588.96,4095.84
"006","5am",2378.64,1869.84,9069.36,2620.32
"007","5am",1997.04,1704.48,9107.52,6449.04
"008","5am",839.52,750.48,3943.2,1882.56
"009","5am",1182.96,775.92,4528.32,1704.48
"010","5am",597.84,508.8,3192.72,1946.16
"011","5am",1144.8,725.04,3981.36,1093.92
"012","5am",1844.4,1450.08,7174.08,3625.2
"013","5am",2365.92,1539.12,8700.48,3040.08
"014","5am",979.44,712.32,4108.56,1373.76
"015","5am",686.88,903.12,4324.8,1602.72
"016","5am",1157.52,852.24,4591.92,1182.96
"017","5am",1081.2,890.4,4731.84,1513.68
"018","5am",1411.92,1106.64,4541.04,1297.44
"019","5am",877.68,852.24,3943.2,852.24
"020","5am",585.12,241.68,3154.56,1539.12
"021","5am",788.64,966.72,4362.96,1093.92
"022","5am",470.64,699.6,3726.96,2136.96
"023","5am",1004.88,763.2,3981.36,1246.56
"024","5am",788.64,725.04,2976.48,1259.28
"025","5am",788.64,763.2,4299.36,1742.64
"026","5am",585.12,521.52,3192.72,1780.8
"027","5am",636,457.92,3408.96,1322.88
"028","5am",674.16,750.48,3599.76,979.44
