"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"min";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142";"2.66560995864142"
"max";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177";"65.2620497562177"
"4am";"16.42489";"21.35296";"16.92412";"13.70743";"18.94979";"14.56091";"20.33744";"16.92327";"14.32406";"22.86918";"17.62540";"18.33652";"13.17334";"13.32470";"21.67882";"22.40037";"19.97694";"18.30257";"13.69310";"16.41775";"17.29683";"22.41384";"17.77572";"12.39652";"16.94382";"18.36019";"15.07027";"17.70114";"21.07454";"20.27133";"18.53786";"16.70906";"19.75001";"13.55198";"12.86571";"17.30711";"20.23763";"16.59064";"16.32533";"16.87256";"13.99264"
"5am";"16.30262";"21.26484";"16.86234";"14.36642";"19.23347";"14.63892";"21.02632";"17.64411";"13.73788";"23.34403";"17.50814";"17.47818";"12.93468";"13.66463";"22.09772";"22.50123";"19.67800";"16.50959";"13.95574";"16.72454";"17.37615";"22.40252";"18.63641";"12.75881";"17.62959";"18.79013";"15.51173";"18.47436";"20.16600";"21.31344";"18.21344";"16.56779";"20.05210";"13.74892";"13.94937";"17.37129";"20.25669";"17.47574";"16.65204";"17.50925";"14.21518"
"6am";"16.65416";"22.20999";"16.60956";"14.72143";"19.52374";"15.75975";"21.69452";"17.53748";"14.04653";"24.09811";"18.15165";"17.91707";"13.19377";"14.35486";"23.75060";"23.47526";"20.82822";"16.65428";"13.76461";"17.13404";"18.14099";"23.67848";"18.36274";"13.95937";"18.96179";"19.82347";"17.60206";"19.11514";"21.18847";"21.06950";"18.18344";"16.87145";"20.45136";"14.98218";"14.17271";"18.66635";"20.45160";"17.67768";"17.51045";"18.52757";"15.20641"
"7am";"14.69946";"14.78427";"17.98457";"12.38902";"18.54901";"17.10705";"22.98560";"21.79963";"14.62682";"24.66562";"16.90964";"18.16189";"13.24653";"14.93881";"25.28441";"26.58846";"22.34466";"18.33157";"17.91896";"22.07570";"16.30526";"27.49014";"18.36339";"15.06550";"21.67152";"22.54968";"20.98587";"24.18023";"22.32937";"23.91622";"17.47974";"18.42287";"23.70596";"18.65875";"16.30534";"19.14499";"19.78906";"17.61178";"19.52236";"20.20528";"17.88528"
"8am";"12.68769";"14.03291";"18.80654";"11.44344";"17.32716";"17.73702";"20.09610";"21.27878";"16.36020";"24.58598";"14.44010";"19.64526";"14.76001";"15.65687";"26.80967";"25.17763";"22.23629";"19.31223";"23.57002";"24.99531";"13.97014";"31.72320";"19.43861";"16.30277";"24.32699";"22.83536";"22.63068";"27.31136";"20.71739";"26.16848";"17.49398";"17.01133";"27.24836";"21.28444";"18.91662";"19.90632";"18.12859";"18.33686";"20.20979";"19.00833";"20.31380"
"9am";"12.36153";"12.45049";"19.63610";"13.08900";"18.02147";"16.95369";"24.81856";"20.30365";"16.77808";"23.02934";"13.35127";"20.62865";"13.94013";"14.73216";"27.69065";"24.33482";"22.19346";"20.27369";"22.91876";"24.50394";"17.53897";"29.85044";"16.83569";"14.91328";"22.86755";"25.94111";"24.88784";"29.39019";"21.59957";"24.92105";"18.69118";"15.78242";"27.70077";"23.86108";"19.38896";"20.28418";"18.74233";"18.42461";"21.64577";"19.00935";"21.13001"
"10am";"12.56428";"11.26560";"18.72170";"13.42448";"17.19144";"20.04728";"22.77398";"20.79345";"17.43392";"22.96002";"14.18467";"22.26645";"15.42713";"15.35446";"26.09269";"23.26645";"23.00697";"20.52189";"22.31319";"23.41011";"19.66912";"31.78096";"14.46781";"12.98389";"21.58979";"24.80420";"24.30067";"28.65672";"22.30278";"24.84855";"17.18727";"18.57428";"28.75965";"22.52393";"20.65848";"21.98052";"17.91090";"17.69793";"21.38399";"19.96560";"19.87275"
"11am";"12.21913";"12.40522";"19.77523";"12.45480";"17.12840";"19.10150";"22.94490";"20.83018";"17.17928";"24.32501";"14.83772";"19.93228";"13.68656";"16.85620";"29.23781";"23.42850";"21.26826";"18.60777";"24.15022";"22.78891";"16.08656";"31.06890";"15.57768";"15.30274";"23.31361";"24.91907";"22.38610";"29.12055";"23.45228";"26.85305";"18.39708";"17.85122";"26.33246";"18.59380";"20.19262";"22.05119";"18.22946";"18.55684";"19.36031";"19.39325";"20.86167"
