"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"min";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898";"0.81660013224898"
"max";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207";"74.9551601517207"
"4am";"11.373426";" 1.248178";" 9.091934";" 4.279927";"14.467193";"10.835724";" 7.762709";"12.596854";" 3.018975";" 6.493844";" 9.676156";" 6.509822";"14.503379";"15.034390";"13.690087";"26.584657";" 6.964291";"10.087786";" 8.217769";" 3.415410";"16.829016";"17.580243";"10.594242";"14.396419";" 6.686264";"17.845417";"12.921653";" 5.294845";"14.648212";"20.323775";"10.017320";"10.256852";"11.265285";" 7.904453";"11.754117";"15.081506";"24.635128";" 9.133294";"17.055375";"24.605462";"11.671376"
"5am";"11.258804";" 1.242338";" 9.054113";" 4.512135";"14.713994";"11.298604";" 7.296116";"13.183020";" 2.883885";" 6.644503";" 9.589925";" 6.182504";"12.945918";"15.455296";"13.984547";"29.014110";" 6.849325";" 9.007527";" 8.390836";" 3.485979";"16.913814";"17.570006";"11.150192";"14.866911";" 6.992007";"18.302344";"13.345823";" 5.552375";"13.953429";"21.481700";" 9.826243";"10.161925";"11.450193";" 8.030530";"11.500707";"15.488476";"24.660080";" 9.681931";"17.438401";"25.612318";"11.870928"
"6am";"10.399486";" 1.305317";" 8.693313";" 4.638366";"14.801554";"12.296166";" 6.770721";"13.096035";" 2.926331";" 6.841289";" 9.951668";" 6.282249";"13.795175";"16.171423";"14.731238";"28.644013";" 7.120600";" 9.055674";" 8.264827";" 3.556525";"17.786559";"18.211477";"10.820892";"15.827512";" 7.499279";"19.122034";"14.920748";" 5.997633";"14.343947";"20.727391";"11.657706";" 8.461998";"11.729514";" 6.077908";"11.042516";"16.303572";"23.826072";" 9.991719";"16.575507";"25.205350";"12.765497"
"7am";" 9.296944";" 2.195144";" 9.093039";" 4.766936";"14.452300";"14.244896";" 6.453739";"15.750682";" 3.897339";" 6.654890";"10.274990";" 7.862755";"13.887028";"16.671236";"13.034406";"31.953346";" 7.308527";" 9.732147";"10.595731";" 3.250592";"15.416777";"17.964838";"12.774101";"16.947061";" 7.749785";"21.216356";"16.473481";" 7.180192";"14.461141";"22.258402";"10.824813";"11.170803";"14.036400";" 6.394088";"12.189523";"17.316758";"24.424699";"13.177221";"17.201910";"24.972536";"13.590101"
"8am";" 7.585026";" 2.095032";" 8.930897";" 4.254237";"12.812932";"12.477007";" 7.390074";"17.326053";" 4.300860";" 6.812345";" 9.243031";" 8.537644";"14.701076";"18.476877";"12.625129";"30.408823";" 7.706379";" 9.746894";"12.472038";" 4.871858";"13.719683";"19.239151";"11.211583";"16.405916";" 8.074605";"21.953615";"18.770695";" 8.034309";"12.751361";"24.638622";"11.097529";" 9.232820";"16.144332";" 9.280261";"13.214810";"17.747931";"20.926435";"13.698215";"17.477106";"25.308052";"14.972664"
"9am";" 7.292573";" 1.976708";" 8.707531";" 5.986986";"12.890941";"14.976112";" 7.366737";"17.091565";" 4.515204";" 6.603329";" 8.179055";" 8.791167";"14.056494";"13.969462";"13.576771";"29.471766";" 8.103407";" 9.292156";"11.744118";" 4.776084";"12.600380";"19.816507";"10.760981";"16.419153";" 7.380178";"22.871346";"17.181081";" 8.552903";"12.234075";"24.009034";"10.756127";" 8.699883";"17.288980";"12.893493";"14.498681";"18.791212";"21.513183";"14.265931";"18.221441";"26.074926";"13.631776"
"10am";" 7.228592";" 2.789664";" 9.416682";" 3.467518";"13.745746";"17.331248";" 6.951140";"18.084959";" 4.622173";" 7.998332";" 6.243633";" 8.630713";"14.593743";"14.601879";"13.019609";"27.675648";" 8.226357";" 9.883356";"12.493618";" 4.562885";"12.227844";"20.128113";"14.504553";"18.056876";" 7.090697";"21.369799";"15.847024";" 7.866722";"10.867470";"23.038262";"10.927687";" 9.012655";"18.015630";"12.133828";"14.660589";"18.488173";"23.516492";"12.855019";"18.639791";"25.273716";"13.378051"
"11am";" 6.573570";" 4.465919";"11.365348";" 5.476263";"13.447324";"13.917607";" 7.089498";"16.733058";" 4.354873";" 7.386453";" 7.600837";" 7.493488";"12.165692";"18.985528";"15.901053";"28.483074";" 8.558531";" 8.524900";"12.785842";" 4.479422";"13.756783";"18.827810";"12.848902";"18.703697";" 7.094544";"20.833624";"16.730403";" 8.122890";"14.382215";"23.926203";"10.379893";"11.203343";"15.772927";"11.088982";"14.314446";"18.663441";"22.826453";"12.637185";"18.798369";"26.591348";"14.342164"
