"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472";"3717.93472"
"4am";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";" 0";"0";"0";" 0";"0";"0";"0"
"5am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"922.1888";"  0.0000";"0";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"0";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"6am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"922.1888";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"7am";" 776.3968";"   0.0000";"   0.0000";"   0.0000";" 788.2245";"   0.0000";"   0.0000";"   0.0000";" 744.6213";"   0.0000";"   0.0000";"   0.0000";" 910.3922";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1032.0120";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 598.1152";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"1895.6179";" 712.4413";"   0.0000";"   0.0000";" 959.3738";"   0.0000";"   0.0000";"   0.0000";" 731.8906";" 918.8972";"   0.0000";" 691.6457";"1365.9283";"   0.0000";"   0.0000";"   0.0000";" 603.5153";"1137.9826";"   0.0000";"   0.0000";" 650.5879";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 718.5788";"   0.0000";" 811.0524";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";"2236.2433";" 807.9184";"   0.0000";" 601.3393";" 959.3738";"   0.0000";"   0.0000";"   0.0000";" 809.5905";"1025.8912";" 724.2279";" 612.6611";"1874.5048";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1137.9826";"   0.0000";"   0.0000";" 874.8480";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 718.5788";"   0.0000";" 813.3563";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"10am";"2282.9568";" 790.2469";"   0.0000";"   0.0000";" 927.0069";" 623.3919";"   0.0000";"   0.0000";" 805.4158";"1011.1614";" 786.0376";" 612.6611";"2134.7881";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1137.9826";"   0.0000";"   0.0000";" 822.0388";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 693.9571";"   0.0000";" 777.7068";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"11am";"1763.0085";" 836.0336";"   0.0000";"   0.0000";"1108.7435";" 667.7890";"   0.0000";"   0.0000";" 827.1006";"1035.2977";" 674.9292";" 612.6611";"2020.6201";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1137.9826";"   0.0000";"   0.0000";" 693.4647";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 675.4237";"   0.0000";" 668.1275";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"12am";"1531.3261";" 671.7833";"   0.0000";"   0.0000";"1130.7416";"   0.0000";"   0.0000";"   0.0000";" 704.9495";"   0.0000";" 776.7199";" 584.6159";"1557.3659";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 909.1765";"   0.0000";"   0.0000";" 610.9235";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 686.5302";"   0.0000";" 610.0354";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"1pm";"2141.6957";" 827.4262";"   0.0000";"   0.0000";"1130.5351";"   0.0000";"   0.0000";"   0.0000";" 794.7158";" 915.9715";" 583.7794";" 782.5317";"1643.7444";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 601.2926";"   0.0000";"   0.0000";"1046.4735";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 623.5648";"   0.0000";" 735.6694";" 657.4316";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"2pm";"2423.9619";"1035.0014";"   0.0000";"   0.0000";"1148.7389";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1132.0314";" 768.1107";" 584.2304";"2105.5503";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 973.7968";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 626.5598";"   0.0000";" 754.4753";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"3pm";"2265.4417";"1022.0826";"   0.0000";" 570.0478";"1090.4818";"   0.0000";"   0.0000";"   0.0000";" 725.6388";"1083.5481";" 845.0845";"   0.0000";"2240.2032";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1091.4476";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 691.5103";" 605.3105";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"4pm";"1548.1547";" 919.7106";"   0.0000";" 644.1882";" 786.6864";"   0.0000";"   0.0000";"   0.0000";" 823.9835";"1022.3122";"   0.0000";"   0.0000";"1727.9857";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 831.3665";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 496.1499";" 622.8230";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"5pm";"1127.3819";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1779.1623";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 675.9285";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"6pm";"882.6949";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"835.6503";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"7pm";"668.3107";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"8pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0"
"9pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0"
