"variable","CODE_SEC","RES_SEC","W_IND"
"h14","001","003",32.23812
"h14","001","008",32.95725
"h14","001","010",171.37742
"h14","001","011",50.69709
"h14","001","013",115.98648
"h14","001","015",23.1083
"h14","001","017",40.74878
"h14","001","020",98.41142
"h14","001","022",29.89953
"h14","001","023",48.40556
"h14","001","024",103.1436
"h14","001","035",22.33082
"h14","001","039",65.30237
"h14","021","022",34.6833
"h14","021","023",80.57638
"h14","021","024",74.59099
"h14","021","025",78.03392
"h14","021","026",85.47912
"h14","021","027",22.97042
"h15","001","003",122.1271
"h15","001","010",41.63524
"h15","001","013",115.98648
"h15","001","015",23.1083
"h15","001","020",98.41142
"h15","001","022",29.89953
"h15","001","023",27.32136
"h15","001","024",144.01034
"h15","001","026",31.81172
"h15","001","028",20.98084
"h15","001","036",98.86387
