"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759";"3085.13759"
"4am";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";" 0";"0";"0";" 0";"0";"0";"0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"7am";"659.1994";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"8am";"1672.5551";" 643.3445";"   0.0000";"   0.0000";" 799.5741";"   0.0000";"   0.0000";"   0.0000";" 813.3853";" 843.3394";"   0.0000";" 672.5865";" 661.0544";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 568.9552";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 592.7000";"   0.0000";" 693.9348";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";"1852.7965";" 849.7189";" 638.8875";"   0.0000";" 828.9643";"   0.0000";"   0.0000";"   0.0000";" 868.4164";" 892.8623";"   0.0000";" 672.5865";" 950.7518";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 705.1429";"   0.0000";" 542.1985";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 592.7000";"   0.0000";" 581.8966";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"10am";"1926.0861";" 849.7189";" 557.6887";"   0.0000";" 740.9178";"   0.0000";"   0.0000";"   0.0000";" 933.3301";" 922.3240";"   0.0000";" 672.5865";" 856.5611";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 605.0390";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 646.0702";"   0.0000";" 624.5721";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"11am";"1680.0846";" 878.7929";"   0.0000";"   0.0000";" 658.9222";"   0.0000";"   0.0000";"   0.0000";"1026.7078";"1006.9858";"   0.0000";" 709.1518";" 846.5305";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 599.7636";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 602.4283";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
