"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353";"4958.193353"
"4am";"2139.4374";"1615.1702";"1342.2073";"1094.8090";"2139.9577";"1439.9675";" 950.0813";"2059.8698";"2783.4718";"3538.0464";"1627.2250";"1552.8452";"2659.6088";"1434.1559";"1602.0305";" 824.2476";"1885.1790";"1121.8303";"1822.3797";"1812.9510";"1952.9887";" 573.4193";" 612.2126";"1454.3934";"1482.7267";"1383.6896";"1420.3665";"1155.9673";"1351.4590";"1141.1599";"2223.2071";"1714.2239";"1813.4364";"1095.5910";" 806.8275";"1773.4127";"1713.4707";" 746.8962";"2276.5934";"1487.2665";"1916.6964"
"5am";"2199.8139";"1615.1702";"1342.2073";"1094.8090";"2043.5664";"1439.9675";" 925.8539";"2059.8698";"2754.0125";"3307.8478";"1627.2250";"1640.3751";"2615.5285";"1434.1559";"1620.1228";" 868.3279";"1916.9708";"1143.5922";"1753.4796";"1812.9510";"1952.9887";" 573.4193";" 584.5761";"1454.3934";"1482.7267";"1296.1597";"1367.6721";"1000.9362";"1508.7215";"1054.2262";"2317.1929";"1714.2239";"1813.4364";"1028.2719";" 742.2041";"1811.2905";"1713.4707";" 746.8962";"2227.5653";"1359.3030";"1847.9690"
"6am";"2307.1753";"1433.7734";"1474.7355";"1094.8090";"2051.4552";"1439.9675";" 925.8539";"2133.5375";"2680.4960";"3337.2971";"1672.5766";"1607.8546";"2500.6382";"1343.4525";"1371.9632";" 822.8419";"1758.3889";"1126.2285";"1753.4796";"1638.2091";"1869.0880";" 541.2402";" 559.6432";"1408.8926";"1448.5878";"1200.6408";"1289.9350";" 944.6364";"1449.4580";" 996.4142";"2219.0422";"1697.9415";"1813.4364";" 983.0486";" 750.7135";"1811.2905";"1746.6516";" 746.8962";"2178.0394";"1308.3125";"1801.4273"
"7am";"2589.6746";"2562.8594";"1338.5413";"1357.1162";"2290.7488";"1105.5991";" 799.0107";"1803.8678";"2374.4480";"3034.0954";"1660.5196";"1484.1383";"2494.3020";"1337.3023";"1096.0220";" 759.2877";"1681.1511";"1222.1368";"1314.3718";"1462.2438";"2427.1449";" 328.2414";" 543.5618";"1204.6498";"1181.3478";"1072.7705";" 929.2213";" 754.0013";"1593.1758";" 806.8059";"2557.5802";"1348.2907";"1625.0647";" 794.4377";" 643.0140";"1633.0167";"1721.2653";" 664.9230";"1803.9271";"1283.1459";"1558.2441"
"8am";"3399.2887";"2839.6712";"1482.1239";"1460.9115";"2415.7958";"1213.5165";" 706.6614";"1629.1257";"1953.6521";"2723.0154";"1728.8027";"1300.5817";"2944.9400";"1224.9392";" 944.6204";" 576.3604";"1674.3546";"1297.8855";"1150.2007";"1462.2438";"2391.1797";" 297.5973";" 772.6567";"1075.4101";"1029.1318";" 742.7581";" 838.3255";" 690.3078";"1576.1489";" 670.9879";"2528.9942";"1538.5082";"1317.4039";" 655.7298";" 564.5613";"1499.0445";"1975.2453";" 660.6053";"1572.4557";"1272.8767";"1391.2483"
"9am";"4170.0502";"2836.4177";"1568.4546";"1387.2646";"2133.8512";"1196.9285";" 719.4579";"1533.9015";"1759.1317";"2731.9471";"1924.4139";"1343.8814";"3254.8231";"1192.5747";" 944.6204";" 544.9669";"1473.0127";"1291.5001";"1101.1726";"1345.0031";"2680.9741";" 309.2586";" 678.9231";" 910.1675";" 999.4452";" 796.4012";" 778.6580";" 674.1561";"1565.9749";" 677.7337";"2453.9418";"1542.6193";"1311.6901";" 655.7298";" 465.3501";"1509.6085";"1855.8083";" 701.1156";"1537.4129";"1327.8502";"1211.9988"
"10am";"4334.4851";"2636.7723";"1598.8145";"1403.6383";"2286.8683";"1221.4892";" 834.3799";"1604.4309";"1702.3006";"2627.5107";"2062.9156";"1300.5817";"3160.9364";"1171.5029";" 955.9106";" 512.1737";"1372.3406";"1251.3696";"1088.8242";"1462.2438";"2930.4332";" 251.3796";" 637.6291";" 802.3714";" 957.9851";" 796.4012";" 709.6280";" 477.9327";"1454.9941";" 677.7337";"2225.5986";"1696.1292";"1312.7455";" 681.4599";" 653.2782";"1386.8646";"1800.7913";" 612.3082";"1519.8419";"1300.6524";"1173.1431"
"11am";"3956.5032";"2732.8938";"1377.8309";"1580.8146";"2278.7713";"1367.2587";" 749.6686";"1564.4911";"1716.2634";"2756.2011";"1892.5360";"1236.5909";"2965.8829";"1160.5612";" 944.6204";" 594.0218";"1490.9333";"1504.1236";"1042.7872";"1510.4210";"2708.5930";" 281.6395";" 671.9270";" 994.6963";" 925.3817";" 884.9687";" 829.0949";" 498.7565";"1654.3102";" 532.0565";"2465.6788";"1555.0386";"1381.6685";" 726.6831";" 626.5391";"1442.7140";"1533.2407";" 602.1227";"1529.8954";"1386.3767";"1205.6312"
