"variable","CODE_SEC","RES_SEC","W_IND"
"h7","002","004",48.71676
"h7","002","005",74.53429
"h7","002","006",74.30071
"h7","002","008",149.52065
"h7","002","009",160.82894
"h7","002","014",37.58716
"h7","002","015",48.44543
"h7","002","019",253.92365
"h7","002","027",30.44677
"h7","002","031",132.62523
"h7","002","039",129.78149
"h7","002","040",180.1555
"h7","005","001",67.44981
"h7","005","004",118.23295
"h7","005","006",131.90476
"h7","005","008",93.5908
"h7","005","010",71.69291
"h7","005","013",35.64953
"h7","005","017",66.29616
"h7","005","018",96.14558
"h7","005","027",25.74652
"h7","005","031",63.79995
"h7","005","034",58.58998
"h7","005","040",63.98173
"h8","001","002",113.99468
"h8","001","003",40.85328
"h8","001","004",171.7032
"h8","001","006",58.06728
"h8","001","010",60.37656
"h8","001","013",193.21534
"h8","001","015",53.48632
"h8","001","019",68.9001
"h8","001","020",96.3365
"h8","001","025",77.98631
"h8","001","026",59.49113
"h8","001","028",26.19255
"h8","001","033",64.45294
"h8","001","035",45.70946
"h8","001","036",89.84839
"h8","001","037",35.23217
"h8","001","040",106.31684
"h8","001","041",35.01899
"h8","002","001",138.40163
"h8","002","003",107.76993
"h8","002","004",48.71676
"h8","002","005",74.53429
"h8","002","006",74.30071
"h8","002","008",149.52065
"h8","002","009",216.16993
"h8","002","010",64.87109
"h8","002","014",37.58716
"h8","002","015",48.44543
"h8","002","018",44.08094
"h8","002","019",417.5892
"h8","002","021",66.83734
"h8","002","027",53.41719
"h8","002","031",132.62523
"h8","002","039",129.78149
"h8","002","040",180.1555
"h8","004","001",61.16721
"h8","004","007",24.99011
"h8","004","010",132.5273
"h8","004","012",97.37543
"h8","004","013",39.33791
"h8","004","014",37.58716
"h8","004","015",30.37802
"h8","004","016",82.73993
"h8","004","019",96.04462
"h8","004","028",43.66813
"h8","005","002",29.87933
"h8","005","003",41.16414
"h8","005","004",118.23295
"h8","005","006",131.90476
"h8","005","007",24.22736
"h8","005","008",93.5908
"h8","005","010",71.69291
"h8","005","013",35.64953
"h8","005","017",66.29616
"h8","005","018",96.14558
"h8","005","027",25.74652
"h8","005","031",63.79995
"h8","005","034",78.68937
"h8","005","040",63.98173
"h8","009","002",29.88228
"h8","009","004",56.27008
"h8","009","005",165.11503
"h8","009","006",61.55482
"h8","009","008",98.20953
"h8","009","016",31.74262
"h8","009","018",59.42227
"h8","009","019",71.29807
"h8","009","028",76.75113
"h8","009","035",27.10944
"h8","009","038",26.15996
"h8","010","001",140.07389
"h8","010","002",54.23602
"h8","010","005",68.72368
"h8","010","009",151.70734
"h8","010","015",29.62795
"h8","010","017",157.83454
"h8","010","019",107.52258
"h8","010","020",59.88291
"h8","010","029",46.61462
"h8","010","039",45.21475
"h8","010","041",35.01899
"h8","011","001",126.32851
"h8","011","002",54.23602
"h8","011","004",39.72314
"h8","011","007",40.49698
"h8","011","010",64.87109
"h8","011","014",45.35169
"h8","011","020",41.47799
"h8","011","028",145.4335
"h8","011","031",85.84423
"h8","011","035",27.03653
"h8","011","036",47.20016
"h8","012","004",163.25999
"h8","012","017",78.98455
"h8","012","020",93.03389
"h8","012","022",11.66132
"h8","012","025",106.64922
"h8","012","026",87.5299
"h8","012","028",110.94943
"h8","012","029",37.14888
"h8","012","034",30.18308
"h8","013","003",118.09692
"h8","013","006",95.44476
"h8","013","008",117.1605
"h8","013","010",75.78085
"h8","013","014",90.70338
"h8","013","015",23.1083
"h8","013","019",120.51978
"h8","013","025",77.98631
"h8","013","033",47.31515
"h8","013","041",38.70287
"h8","021","003",40.85328
"h8","021","009",80.41447
"h8","021","011",47.43585
"h8","021","022",30.44246
"h8","021","025",217.33708
"h8","021","027",88.87052
"h8","021","029",124.89853
"h8","031","001",39.71111
"h8","031","010",71.69291
"h8","031","017",66.29616
"h8","031","019",25.22828
"h8","031","032",35.81515
"h8","031","033",145.67885
"h8","031","034",74.9337
"h8","031","035",51.05955
"h8","031","040",130.60651
"h8","031","041",188.97256
"h9","001","002",113.99468
"h9","001","003",40.85328
"h9","001","004",242.87278
"h9","001","005",47.91085
"h9","001","006",99.84114
"h9","001","009",132.43853
"h9","001","010",60.37656
"h9","001","011",68.22201
"h9","001","012",64.22636
"h9","001","013",156.6501
"h9","001","015",90.33835
"h9","001","018",30.34423
"h9","001","019",68.9001
"h9","001","025",77.98631
"h9","001","026",59.49113
"h9","001","028",69.86068
"h9","001","033",64.45294
"h9","001","035",45.70946
"h9","001","036",89.84839
"h9","001","037",35.23217
"h9","001","040",106.31684
"h9","001","041",35.01899
"h9","002","001",77.23442
"h9","002","003",166.81839
"h9","002","004",98.9975
"h9","002","005",74.53429
"h9","002","006",148.60142
"h9","002","008",149.52065
"h9","002","009",216.16993
"h9","002","010",64.87109
"h9","002","014",37.58716
"h9","002","015",48.44543
"h9","002","018",44.08094
"h9","002","019",417.5892
"h9","002","021",66.83734
"h9","002","027",53.41719
"h9","002","031",132.62523
"h9","002","033",47.31515
"h9","002","039",129.78149
"h9","002","040",180.1555
"h9","004","001",61.16721
"h9","004","007",24.99011
"h9","004","009",125.4529
"h9","004","010",132.5273
"h9","004","012",97.37543
"h9","004","013",39.33791
"h9","004","014",37.58716
"h9","004","015",30.37802
"h9","004","016",47.17194
"h9","004","019",96.04462
"h9","004","028",43.66813
"h9","005","002",29.87933
"h9","005","003",41.16414
"h9","005","004",118.23295
"h9","005","006",131.90476
"h9","005","007",24.22736
"h9","005","008",93.5908
"h9","005","010",71.69291
"h9","005","011",41.41621
"h9","005","013",35.64953
"h9","005","017",66.29616
"h9","005","018",96.14558
"h9","005","027",25.74652
"h9","005","031",63.79995
"h9","005","034",78.68937
"h9","005","040",63.98173
"h9","009","004",56.27008
"h9","009","005",165.11503
"h9","009","006",61.55482
"h9","009","008",98.20953
"h9","009","016",31.74262
"h9","009","018",59.42227
"h9","009","019",56.56824
"h9","009","028",76.75113
"h9","009","035",27.10944
"h9","009","038",26.15996
"h9","010","001",140.07389
"h9","010","002",54.23602
"h9","010","003",25.02974
"h9","010","005",68.72368
"h9","010","009",151.70734
"h9","010","015",29.62795
"h9","010","017",157.83454
"h9","010","019",107.52258
"h9","010","020",59.88291
"h9","010","029",46.61462
"h9","010","039",45.21475
"h9","010","041",35.01899
"h9","011","001",126.32851
"h9","011","002",54.23602
"h9","011","007",40.49698
"h9","011","010",141.8356
"h9","011","014",45.35169
"h9","011","020",41.47799
"h9","011","028",56.29971
"h9","011","031",85.84423
"h9","011","035",27.03653
"h9","011","036",47.20016
"h9","012","004",163.25999
"h9","012","020",93.03389
"h9","012","022",11.66132
"h9","012","025",106.64922
"h9","012","026",87.5299
"h9","012","028",110.94943
"h9","012","029",37.14888
"h9","012","034",30.18308
"h9","013","002",29.87933
"h9","013","003",118.09692
"h9","013","005",96.39135
"h9","013","006",185.48186
"h9","013","008",117.1605
"h9","013","010",75.78085
"h9","013","014",90.70338
"h9","013","015",23.1083
"h9","013","019",120.51978
"h9","013","025",77.98631
"h9","013","033",94.6303
"h9","013","041",38.70287
"h9","021","003",40.85328
"h9","021","009",80.41447
"h9","021","011",47.43585
"h9","021","017",40.74878
"h9","021","022",61.83054
"h9","021","023",36.18456
"h9","021","025",217.33708
"h9","021","027",88.87052
"h9","021","029",194.33595
"h9","031","001",39.71111
"h9","031","017",66.29616
"h9","031","019",25.22828
"h9","031","032",35.81515
"h9","031","033",96.497
"h9","031","034",74.9337
"h9","031","035",51.05955
"h9","031","040",130.60651
"h9","031","041",244.81948
"h10","001","002",113.99468
"h10","001","003",40.85328
"h10","001","004",171.7032
"h10","001","005",123.09677
"h10","001","006",99.84114
"h10","001","009",127.83732
"h10","001","010",60.37656
"h10","001","011",68.22201
"h10","001","012",64.22636
"h10","001","013",156.6501
"h10","001","015",90.33835
"h10","001","017",66.29616
"h10","001","019",68.9001
"h10","001","025",77.98631
"h10","001","026",59.49113
"h10","001","028",69.86068
"h10","001","033",64.45294
"h10","001","035",45.70946
"h10","001","036",89.84839
"h10","001","037",35.23217
"h10","001","040",106.31684
"h10","001","041",73.87464
"h10","002","001",77.23442
"h10","002","003",107.76993
"h10","002","004",98.9975
"h10","002","005",74.53429
"h10","002","006",148.60142
"h10","002","008",95.39616
"h10","002","009",216.16993
"h10","002","010",64.87109
"h10","002","014",37.58716
"h10","002","015",48.44543
"h10","002","018",44.08094
"h10","002","019",417.5892
"h10","002","021",66.83734
"h10","002","027",53.41719
"h10","002","031",132.62523
"h10","002","033",47.31515
"h10","002","039",129.78149
"h10","002","040",180.1555
"h10","005","002",29.87933
"h10","005","003",41.16414
"h10","005","004",118.23295
"h10","005","006",131.90476
"h10","005","007",24.22736
"h10","005","008",93.5908
"h10","005","010",71.69291
"h10","005","011",41.41621
"h10","005","013",35.64953
"h10","005","017",66.29616
"h10","005","018",96.14558
"h10","005","027",25.74652
"h10","005","031",63.79995
"h10","005","034",78.68937
"h10","005","040",63.98173
"h10","009","004",56.27008
"h10","009","005",165.11503
"h10","009","006",61.55482
"h10","009","008",98.20953
"h10","009","016",31.74262
"h10","009","018",59.42227
"h10","009","019",56.56824
"h10","009","028",76.75113
"h10","009","035",27.10944
"h10","009","038",26.15996
"h10","010","001",140.07389
"h10","010","002",54.23602
"h10","010","005",68.72368
"h10","010","009",151.70734
"h10","010","015",29.62795
"h10","010","017",157.83454
"h10","010","019",107.52258
"h10","010","020",59.88291
"h10","010","029",46.61462
"h10","010","039",45.21475
"h10","010","041",35.01899
"h10","011","001",126.32851
"h10","011","002",54.23602
"h10","011","007",40.49698
"h10","011","010",181.9472
"h10","011","014",45.35169
"h10","011","020",41.47799
"h10","011","028",133.05084
"h10","011","031",85.84423
"h10","011","035",27.03653
"h10","011","036",47.20016
"h10","011","041",35.01899
"h10","012","004",163.25999
"h10","012","020",93.03389
"h10","012","022",11.66132
"h10","012","025",106.64922
"h10","012","026",87.5299
"h10","012","028",110.94943
"h10","012","029",37.14888
"h10","012","034",30.18308
"h10","013","002",29.87933
"h10","013","003",118.09692
"h10","013","005",114.49821
"h10","013","006",230.91746
"h10","013","008",171.28499
"h10","013","009",62.72645
"h10","013","010",75.78085
"h10","013","014",90.70338
"h10","013","015",23.1083
"h10","013","016",74.61386
"h10","013","019",120.51978
"h10","013","025",77.98631
"h10","013","029",32.81751
"h10","013","033",94.6303
"h10","013","039",49.02805
"h10","013","041",38.70287
"h10","021","003",40.85328
"h10","021","009",80.41447
"h10","021","011",47.43585
"h10","021","017",40.74878
"h10","021","022",30.44246
"h10","021","023",57.84797
"h10","021","024",46.2376
"h10","021","025",217.33708
"h10","021","027",88.87052
"h10","021","029",194.33595
"h10","031","001",39.71111
"h10","031","017",66.29616
"h10","031","019",25.22828
"h10","031","032",77.3726
"h10","031","033",96.497
"h10","031","034",74.9337
"h10","031","035",51.05955
"h10","031","040",130.60651
"h10","031","041",244.81948
"h11","001","002",143.87401
"h11","001","004",171.7032
"h11","001","005",123.09677
"h11","001","006",99.84114
"h11","001","009",80.41447
"h11","001","011",68.22201
"h11","001","013",156.6501
"h11","001","015",90.33835
"h11","001","019",68.9001
"h11","001","025",77.98631
"h11","001","026",59.49113
"h11","001","028",26.19255
"h11","001","033",64.45294
"h11","001","035",45.70946
"h11","001","036",89.84839
"h11","001","037",35.23217
"h11","001","040",61.87534
"h11","001","041",35.01899
"h11","002","001",113.24665
"h11","002","003",107.76993
"h11","002","004",98.9975
"h11","002","005",74.53429
"h11","002","006",148.60142
"h11","002","008",95.39616
"h11","002","009",234.65548
"h11","002","010",64.87109
"h11","002","014",37.58716
"h11","002","015",48.44543
"h11","002","018",44.08094
"h11","002","019",323.71174
"h11","002","021",66.83734
"h11","002","027",53.41719
"h11","002","031",132.62523
"h11","002","033",47.31515
"h11","002","039",129.78149
"h11","002","040",180.1555
"h11","004","001",61.16721
"h11","004","007",24.99011
"h11","004","009",62.72645
"h11","004","010",132.5273
"h11","004","012",97.37543
"h11","004","013",39.33791
"h11","004","014",37.58716
"h11","004","015",30.37802
"h11","004","016",47.17194
"h11","004","019",96.04462
"h11","004","028",43.66813
"h11","005","001",127.97529
"h11","005","002",29.87933
"h11","005","003",41.16414
"h11","005","004",118.23295
"h11","005","006",131.90476
"h11","005","007",24.22736
"h11","005","008",93.5908
"h11","005","010",71.69291
"h11","005","013",35.64953
"h11","005","017",66.29616
"h11","005","018",96.14558
"h11","005","019",53.76129
"h11","005","027",25.74652
"h11","005","031",63.79995
"h11","005","034",78.68937
"h11","005","040",63.98173
"h11","009","004",56.27008
"h11","009","005",165.11503
"h11","009","006",61.55482
"h11","009","008",98.20953
"h11","009","016",31.74262
"h11","009","018",59.42227
"h11","009","019",56.56824
"h11","009","028",76.75113
"h11","009","035",27.10944
"h11","009","038",26.15996
"h11","010","001",79.54841
"h11","010","002",54.23602
"h11","010","005",68.72368
"h11","010","009",151.70734
"h11","010","015",29.62795
"h11","010","017",157.83454
"h11","010","019",107.52258
"h11","010","020",59.88291
"h11","010","029",46.61462
"h11","010","039",45.21475
"h11","010","041",35.01899
"h11","011","001",126.32851
"h11","011","002",54.23602
"h11","011","007",40.49698
"h11","011","010",111.7034
"h11","011","014",45.35169
"h11","011","020",41.47799
"h11","011","028",133.05084
"h11","011","031",85.84423
"h11","011","035",27.03653
"h11","011","036",47.20016
"h11","011","038",38.9243
"h11","011","041",35.01899
"h11","012","004",163.25999
"h11","012","020",93.03389
"h11","012","022",11.66132
"h11","012","025",106.64922
"h11","012","026",87.5299
"h11","012","028",110.94943
"h11","012","029",37.14888
"h11","012","034",30.18308
"h11","013","002",29.87933
"h11","013","003",118.09692
"h11","013","005",61.96063
"h11","013","006",230.91746
"h11","013","008",117.1605
"h11","013","010",75.78085
"h11","013","014",151.64866
"h11","013","015",23.1083
"h11","013","019",120.51978
"h11","013","025",77.98631
"h11","013","027",22.24759
"h11","013","033",94.6303
"h11","013","041",38.70287
"h11","021","003",40.85328
"h11","021","009",80.41447
"h11","021","011",47.43585
"h11","021","022",30.44246
"h11","021","023",44.86439
"h11","021","025",217.33708
"h11","021","027",61.78829
"h11","021","029",194.33595
"h11","031","001",39.71111
"h11","031","017",66.29616
"h11","031","019",25.22828
"h11","031","032",81.00293
"h11","031","033",49.18185
"h11","031","034",74.9337
"h11","031","035",51.05955
"h11","031","040",130.60651
"h11","031","041",244.81948
"h12","001","002",54.23602
"h12","001","003",40.85328
"h12","001","004",53.4907
"h12","001","005",123.09677
"h12","001","006",103.08583
"h12","001","009",80.41447
"h12","001","010",64.87109
"h12","001","011",68.22201
"h12","001","013",156.6501
"h12","001","015",59.96033
"h12","001","019",116.92241
"h12","001","020",59.88291
"h12","001","025",77.98631
"h12","001","026",59.49113
"h12","001","028",26.19255
"h12","001","033",64.45294
"h12","001","034",58.58998
"h12","001","035",45.70946
"h12","001","036",89.84839
"h12","001","037",35.23217
"h12","001","039",67.84357
"h12","001","040",61.87534
"h12","001","041",35.01899
"h12","002","001",113.24665
"h12","002","003",59.04846
"h12","002","004",98.9975
"h12","002","005",74.53429
"h12","002","006",148.60142
"h12","002","008",95.39616
"h12","002","009",55.34099
"h12","002","014",37.58716
"h12","002","015",48.44543
"h12","002","019",275.68943
"h12","002","021",66.83734
"h12","002","027",53.41719
"h12","002","031",132.62523
"h12","002","033",47.31515
"h12","002","039",61.93792
"h12","002","040",180.1555
"h12","005","001",127.97529
"h12","005","002",29.87933
"h12","005","003",41.16414
"h12","005","004",118.23295
"h12","005","006",131.90476
"h12","005","007",24.22736
"h12","005","009",60.27936
"h12","005","010",71.69291
"h12","005","013",35.64953
"h12","005","017",66.29616
"h12","005","018",140.22652
"h12","005","019",53.76129
"h12","005","029",59.26351
"h12","005","031",63.79995
"h12","005","034",20.09939
"h12","005","037",73.00856
"h12","005","040",63.98173
"h12","011","001",126.32851
"h12","011","002",54.23602
"h12","011","003",41.16414
"h12","011","004",60.13595
"h12","011","007",40.49698
"h12","011","014",45.35169
"h12","011","017",66.29616
"h12","011","028",56.29971
"h12","011","035",27.03653
"h12","011","036",47.20016
"h12","011","038",38.9243
"h12","011","041",35.01899
"h12","012","004",60.13595
"h12","012","020",93.03389
"h12","012","022",11.66132
"h12","012","025",106.64922
"h12","012","026",87.5299
"h12","012","028",110.94943
"h12","012","029",37.14888
"h12","012","034",30.18308
"h12","012","039",86.45495
"h12","013","002",29.87933
"h12","013","003",118.09692
"h12","013","005",61.96063
"h12","013","006",137.21862
"h12","013","010",75.78085
"h12","013","014",155.7976
"h12","013","019",72.49747
"h12","013","027",22.24759
"h12","013","029",32.81751
"h12","013","031",85.84423
"h12","013","033",47.31515
"h12","013","041",38.70287
"h12","021","003",40.85328
"h12","021","009",80.41447
"h12","021","011",47.43585
"h12","021","022",18.78114
"h12","021","025",139.35077
"h12","021","027",61.78829
"h12","021","029",194.33595
"h12","031","001",39.71111
"h12","031","017",66.29616
"h12","031","019",50.45656
"h12","031","033",49.18185
"h12","031","034",74.9337
"h12","031","035",32.45953
"h12","031","040",130.60651
"h12","031","041",153.95357
"h13","001","002",84.11535
"h13","001","003",40.85328
"h13","001","004",105.33383
"h13","001","005",123.09677
"h13","001","006",103.08583
"h13","001","008",32.95725
"h13","001","009",80.41447
"h13","001","011",68.22201
"h13","001","013",156.6501
"h13","001","015",59.96033
"h13","001","019",116.92241
"h13","001","020",59.88291
"h13","001","021",81.11707
"h13","001","025",77.98631
"h13","001","026",59.49113
"h13","001","028",26.19255
"h13","001","035",27.10944
"h13","001","036",89.84839
"h13","001","037",108.24073
"h13","001","040",61.87534
"h13","001","041",35.01899
"h13","002","001",113.24665
"h13","002","003",107.76993
"h13","002","004",98.9975
"h13","002","005",74.53429
"h13","002","006",148.60142
"h13","002","008",95.39616
"h13","002","009",135.75546
"h13","002","010",64.87109
"h13","002","014",37.58716
"h13","002","015",48.44543
"h13","002","018",88.16188
"h13","002","019",417.5892
"h13","002","021",66.83734
"h13","002","027",53.41719
"h13","002","031",132.62523
"h13","002","033",47.31515
"h13","002","034",114.25374
"h13","002","039",129.78149
"h13","002","040",180.1555
"h13","002","041",38.70287
"h13","005","001",67.44981
"h13","005","002",29.87933
"h13","005","003",41.16414
"h13","005","004",60.62262
"h13","005","006",131.90476
"h13","005","007",24.22736
"h13","005","009",60.27936
"h13","005","010",71.69291
"h13","005","013",35.64953
"h13","005","017",66.29616
"h13","005","018",140.22652
"h13","005","019",53.76129
"h13","005","029",59.26351
"h13","005","034",20.09939
"h13","005","037",73.00856
"h13","005","040",127.96346
"h13","010","001",98.35682
"h13","010","002",54.23602
"h13","010","005",68.72368
"h13","010","009",82.30569
"h13","010","015",29.62795
"h13","010","017",157.83454
"h13","010","019",107.52258
"h13","010","029",46.61462
"h13","010","039",121.02651
"h13","010","041",35.01899
"h13","011","001",126.32851
"h13","011","002",54.23602
"h13","011","003",41.16414
"h13","011","007",40.49698
"h13","011","010",71.69291
"h13","011","014",45.35169
"h13","011","022",31.38808
"h13","011","028",56.29971
"h13","011","031",85.84423
"h13","011","035",27.03653
"h13","011","036",47.20016
"h13","011","041",35.01899
"h13","012","004",105.64966
"h13","012","007",23.27433
"h13","012","020",93.03389
"h13","012","022",11.66132
"h13","012","023",18.09228
"h13","012","025",71.03141
"h13","012","026",87.5299
"h13","012","028",110.94943
"h13","012","029",150.24258
"h13","012","034",30.18308
"h13","012","039",86.45495
"h13","013","002",29.87933
"h13","013","003",168.1564
"h13","013","005",61.96063
"h13","013","006",137.21862
"h13","013","008",117.1605
"h13","013","009",62.72645
"h13","013","010",75.78085
