"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883";"6531.47883"
"4am";"2990.2603";"2829.7693";"3012.8049";"3031.0763";"2672.7400";"2849.6873";"1529.8740";"3905.8270";"5005.1649";"3334.5666";"2190.3272";"3632.4157";"3630.5612";"1757.8670";"1772.7636";"1634.7355";"3541.1809";"3527.9139";"2990.7470";"4197.2019";"3720.3229";" 596.9276";"1218.5274";"2927.1463";"2895.5257";"2592.7346";"1803.1295";"3010.7486";"3497.4663";"1538.8577";"3469.3861";"2182.9847";"3731.1017";"2395.1776";"2513.7876";"3034.0272";"2462.0078";"1963.5080";"3321.4183";"3330.7304";"3750.2108"
"5am";"3050.6369";"2851.5269";"3036.4297";"2755.8735";"2560.4104";"2812.3599";"1411.7346";"3541.4960";"5383.0635";"3149.5827";"2230.8816";"4069.8358";"3775.7555";"1633.8120";"1670.6304";"1569.8446";"3672.1684";"4305.1933";"2889.5145";"4046.1592";"3679.8844";" 597.9933";"1064.7149";"2716.4405";"2591.4437";"2437.8448";"1692.5985";"2722.2420";"3822.6244";"1350.0105";"3611.7113";"2260.9710";"3617.4824";"2327.8585";"2148.2098";"3003.8832";"2493.7504";"1775.3609";"3172.3569";"3005.0571";"3646.4644"
"6am";"2957.4931";"2656.6224";"3009.2479";"2675.4408";"2612.2750";"2316.8417";"1304.3118";"3593.5007";"5260.5674";"2920.2331";"2065.4637";"3971.4758";"3622.7154";"1437.5865";"1483.4329";"1507.6583";"3369.8740";"4266.6014";"2962.8020";"3901.1572";"3286.0959";" 493.2817";"1153.9126";"2325.1408";"2219.6109";"2257.2099";"1337.1862";"2323.7334";"3557.9992";"1470.6361";"3813.5977";"2220.1736";"3452.6421";"2006.8991";"2075.6355";"2619.4750";"2541.5808";"1694.1263";"3036.8744";"2530.7151";"3221.2422"
"7am";"3618.9826";"3140.1330";"2617.9727";"2368.4714";"3181.4500";"1605.4759";"1241.1075";"2378.2303";"5243.2031";"3202.0082";"1807.9414";"3920.0679";"3527.3362";"1143.8174";"1505.8779";"1192.2846";"3232.6925";"3799.0986";"1948.1620";"3122.2471";"3048.8693";" 400.6332";"1215.3276";"2013.1193";"1893.0332";"1608.1109";" 918.2587";"1453.0918";"3567.2119";"1142.6953";"4420.6500";"1713.1883";"2679.3425";"1435.4851";"1677.2821";"2801.0508";"2068.3308";"1831.3820";"2540.5285";"2310.0365";"2503.0425"
"8am";"5628.6414";"3242.0883";"2174.5279";"1994.6113";"3811.2358";"1737.4262";"1285.3539";"2253.8250";"4943.9313";"3275.5986";"2203.0627";"3272.6961";"4104.6419";"1162.3281";"1317.7662";"1355.6950";"3100.7131";"3797.5620";"1318.6522";"2198.2805";"3207.4233";" 287.1246";"1642.7041";"1959.1031";"1434.4760";"1377.9122";" 624.0566";"1271.2138";"3715.1366";"1067.1828";"4361.5110";"1811.4161";"1823.7041";"1104.7559";"1363.8483";"2566.5653";"2471.0658";"1781.5847";"2476.3193";"2418.3901";"2174.6711"
"9am";"5980.0599";"3433.4869";"2266.3484";"1887.3601";"3548.7696";"1650.3921";"1289.2638";"2176.2089";"4705.5271";"3397.5387";"2315.2043";"3208.4697";"4777.5402";"1110.0448";"1186.4804";"1368.4492";"2850.8418";"3390.3082";"1403.1161";"2277.1274";"3315.8886";" 339.4819";"1706.2863";"1832.4344";"1534.4299";"1289.6844";" 552.4925";"1046.0565";"3552.3524";"1048.6494";"4284.0165";"1936.8493";"1677.5533";" 964.9655";"1282.6824";"2581.5341";"2135.6182";"1742.1970";"2551.1696";"2520.7865";"2026.4385"
"10am";"6265.8562";"3257.9624";"2075.1989";"1794.7294";"3428.5914";"1664.4196";"1354.8080";"2192.1359";"4679.4883";"3407.7431";"2509.1954";"3035.6681";"5045.1555";"1084.3483";"1295.6067";"1286.6089";"2757.4963";"3541.8025";"1457.7528";"2424.5258";"3460.3659";" 285.4068";"1630.3172";"1662.8995";"1553.2997";"1325.3339";" 506.5404";" 952.0032";"3611.0156";"1022.1377";"4075.7063";"1942.8993";"1553.9071";"1052.6452";"1356.9727";"2586.3165";"1908.3232";"1857.9902";"2302.1718";"2473.2550";"2025.4446"
"11am";"6008.716";"3526.858";"1820.704";"1889.379";"3282.859";"2041.817";"1163.153";"2115.992";"4884.670";"3421.659";"2613.348";"3154.030";"4698.028";"1003.599";"1130.917";"1290.339";"3028.922";"3901.116";"1291.678";"2485.671";"3450.650";" 296.500";"1463.184";"1758.382";"1553.300";"1293.522";" 702.954";"1049.252";"3487.547";"1078.172";"4164.711";"1780.243";"1709.537";"1224.066";"1358.720";"2392.351";"1933.689";"1806.403";"2368.598";"2524.152";"1925.024"
"12am";"5574.5268";"2994.1971";"1529.7390";"2053.9308";"3807.5383";"1779.9457";"1225.3145";"2425.7390";"5305.1602";"2992.9362";"2622.7972";"3406.4387";"4294.3401";" 986.1101";"1246.6147";"1328.5628";"3258.9653";"3453.3167";"1563.1578";"2435.2614";"3213.5092";" 421.4294";"1556.8066";"1534.1810";"1712.2456";"1400.9202";" 694.7548";"1280.6463";"3623.0654";"1053.8185";"4067.4577";"2393.8867";"2015.3229";"1360.7623";"1266.6178";"2718.6873";"1801.0228";"1965.8035";"2424.6255";"2414.0423";"1823.2211"
"1pm";"6506.9185";"3707.8290";"1622.0715";"2161.5501";"3926.2785";"1795.1169";"1231.1379";"2031.6536";"5282.0462";"3329.2863";"2155.0929";"3672.5315";"4148.2129";"1282.8018";"1382.4202";"1400.5716";"2992.7022";"2853.7300";"1163.3770";"2418.1009";"3829.7137";" 388.2490";"1629.9333";"1405.8260";"1471.0100";"1297.6523";" 605.7611";"1203.9540";"3101.2718";"1132.1819";"4393.6425";"2385.6561";"1826.9621";"1092.6180";"1372.6375";"2812.0892";"1716.8731";"1926.1401";"2149.2517";"2251.5822";"1698.3645"
"2pm";"6256.3931";"3873.4339";"1811.2290";"2311.8809";"3696.8069";"2096.0868";"1048.3038";"2272.0050";"4367.7477";"3166.1380";"2420.3990";"3435.5654";"4972.6577";"1193.2054";"1492.1107";"1477.3120";"2868.1519";"2727.8239";"1102.5054";"2233.3202";"3737.3110";" 266.5530";"1528.6187";"1601.5208";"1529.5687";"1534.5917";" 602.7166";"1211.7226";"3245.3180";"1205.5865";"4271.1269";"2140.9935";"1909.1044";" 929.2760";"1489.5981";"2313.9956";"1968.6067";"1923.6446";"2527.3723";"2086.7989";"1587.4244"
"3pm";"6531.4788";"3764.1271";"1966.4758";"2135.9041";"3760.6695";"2112.4099";"1319.6542";"2127.7006";"4458.5995";"2971.9149";"2271.2905";"3384.5941";"5159.2202";"1056.4807";"1437.1992";"1515.8664";"2960.0844";"2917.0313";"1118.1953";"2316.3372";"3975.0679";" 237.7038";"1901.1523";"1444.7753";"1398.8016";"1813.6407";" 710.4971";"1448.6037";"3164.6753";"1040.7501";"3830.5587";"2277.2402";"1825.7706";"1115.6260";"1653.8531";"2617.9385";"2160.6201";"1693.3521";"2699.0640";"1943.1901";"1583.7406"
"4pm";"5916.6824";"3628.1301";"1741.2090";"2203.1714";"3376.9647";"2228.8902";"1162.9081";"3029.4453";"4188.1052";"3392.9432";"2499.7489";"2592.7493";"5132.7134";"1349.0054";"1298.5890";"1792.7213";"3111.8097";"3284.8067";"1124.8443";"2645.0389";"4041.2347";" 276.8534";"1782.7514";"1588.9475";"1857.2975";"1603.2849";"1070.1980";"1659.2898";"3185.0785";"1003.8275";"3679.6835";"2438.5758";"2271.7623";"1491.3037";"1828.0190";"2766.6925";"1979.9358";"1295.2446";"2499.5695";"2552.2689";"1796.2399"
"5pm";"4792.452";"2394.152";"2054.164";"2241.669";"3035.656";"2990.774";"1344.471";"2537.530";"4407.900";"2667.650";"2302.871";"3143.770";"5457.844";"1241.766";"1622.256";"1481.154";"3354.370";"3652.728";"1564.938";"3433.733";"4400.543";" 450.869";"1174.403";"2317.577";"2332.349";"1825.548";"1293.771";"2276.038";"3579.960";"1303.692";"3779.740";"2578.121";"2426.185";"1876.135";"1920.604";"2882.605";"2300.669";"1566.747";"2919.622";"3163.640";"2073.968"
"6pm";"4572.6065";"2652.6439";"2654.7039";"2368.7565";"3338.4224";"2730.5113";"1350.4341";"3174.9269";"5164.7773";"2418.9473";"2270.2794";"3415.1778";"5122.7000";"1696.5567";"1802.1225";"1632.4037";"3140.0180";"3328.8553";"1913.7676";"3624.9268";"4009.3757";" 615.0564";"1214.4785";"2455.0999";"2603.2392";"2129.2315";"1925.6157";"2919.5744";"3482.6744";"1310.0549";"3707.5110";"2454.5862";"3459.4267";"2232.1082";"2338.7163";"2742.3560";"2261.9014";"1730.5040";"3133.1442";"3173.7540";"2800.4215"
"7pm";"4004.3120";"2732.9722";"2640.2155";"2916.7004";"3001.3825";"2670.1937";"1511.7071";"3801.8677";"4825.0328";"2848.2731";"2477.1625";"3538.6375";"4347.4233";"1915.6962";"2085.0152";"1819.8855";"3159.9670";"3390.2709";"2325.7330";"3898.7220";"3833.4832";" 604.3284";"1334.2260";"2550.2920";"2693.0150";"2359.7215";"1808.3893";"2894.0832";"3495.9246";"1337.2043";"3396.2240";"2549.8432";"3828.2383";"2340.0172";"2471.1629";"2694.6273";"2474.7452";"1787.5361";"3580.8405";"3217.1100";"3272.3360"
"8pm";"3820.5366";"2610.9122";"3080.6127";"3078.9693";"2707.6213";"2645.9579";"1590.8068";"4110.1716";"4662.0936";"2852.0770";"2105.7964";"3447.8299";"3989.7791";"1884.7322";"2100.8528";"1763.8181";"3496.8727";"3584.9116";"2529.2837";"4222.4027";"3868.2373";" 616.9826";"1294.6761";"2643.8584";"2535.9857";"2461.6698";"1845.9120";"2995.9000";"3588.9103";"1508.6230";"3289.6498";"2194.3520";"3810.8984";"2556.6635";"2524.5329";"3058.6671";"2486.2999";"1851.6024";"3544.9767";"3222.6175";"3644.0628"
